VALEUR,#endymion,#polydamon,#parthenopee,#diane,#ismene,#i-nymphe,#ii-nymphe,#nymphe,#sthenobee,#i-homme,#ii-homme,#iii-homme,#diophanie,#hermodan,#esclave,#thymotee,#pyridor,#stenobee,#admon,#clindor,#alcyonnee,#felicie,#l-esclave,#troupe-de-peuple,#choeur-de-filles
#i-nymphe,0.1832579185520362,0.07692307692307693,0.038461538461538464,6.782051282051281,0.15384615384615385,24.038461538461537,24.038461538461537,0.038461538461538464,0.3076923076923077,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464
#nymphe,0.1832579185520362,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.15384615384615385,0.038461538461538464,0.038461538461538464,24.038461538461537,0.3076923076923077,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464
#sthenobee,0.9513574660633484,0.6153846153846154,0.3076923076923077,0.9230769230769231,0.04326923076923079,0.3076923076923077,0.3076923076923077,0.3076923076923077,12.46153846153846,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.6153846153846154,0.24038461538461534,0.48076923076923067,0.24038461538461534,0.3076923076923077,0.006410256410256401,1.5576923076923075,6.23076923076923,3.115384615384615,1.5576923076923075,1.5576923076923075,1.5576923076923075
#i-homme,0.6538461538461539,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.3076923076923077,24.038461538461537,24.038461538461537,24.038461538461537,24.038461538461537,11.076923076923078,11.076923076923078,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464
#i-homme,0.6538461538461539,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.3076923076923077,24.038461538461537,24.038461538461537,24.038461538461537,24.038461538461537,11.076923076923078,11.076923076923078,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464
#i-homme,0.6538461538461539,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.3076923076923077,24.038461538461537,24.038461538461537,24.038461538461537,24.038461538461537,11.076923076923078,11.076923076923078,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464
#i-homme,0.6538461538461539,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.3076923076923077,24.038461538461537,24.038461538461537,24.038461538461537,24.038461538461537,11.076923076923078,11.076923076923078,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464
#hermodan,1.3076923076923077,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.6153846153846154,11.076923076923078,11.076923076923078,11.076923076923078,11.076923076923078,22.153846153846157,4.653846153846153,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693
#esclave,1.3076923076923077,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.24038461538461534,11.076923076923078,11.076923076923078,11.076923076923078,11.076923076923078,4.653846153846153,22.153846153846157,1.5576923076923075,4.653846153846153,0.07692307692307693,2.5641025641025634,11.076923076923078,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693
#thymotee,0.14479638009049775,0.3076923076923077,0.15384615384615385,0.46153846153846156,0.24038461538461534,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.48076923076923067,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.3076923076923077,1.5576923076923075,18.615384615384613,9.307692307692307,4.653846153846153,13.96153846153846,4.653846153846153,0.24038461538461534,0.3076923076923077,4.653846153846153,4.653846153846153,4.653846153846153
#pyridor,1.3076923076923077,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.24038461538461534,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,4.653846153846153,9.307692307692307,22.153846153846157,11.076923076923078,13.564102564102562,11.076923076923078,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693
#stenobee,0.6538461538461539,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.3076923076923077,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.07692307692307693,4.653846153846153,11.076923076923078,24.038461538461537,6.782051282051281,0.038461538461538464,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464
#admon,0.4713423831070891,0.23076923076923078,0.11538461538461539,0.34615384615384615,0.46153846153846156,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.006410256410256401,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.23076923076923078,2.5641025641025634,13.96153846153846,13.564102564102562,6.782051282051281,20.346153846153843,6.782051282051281,0.46153846153846156,0.23076923076923078,0.11538461538461539,0.11538461538461539,0.11538461538461539
#clindor,0.6538461538461539,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.038461538461538464,1.5576923076923075,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,11.076923076923078,4.653846153846153,11.076923076923078,0.038461538461538464,6.782051282051281,24.038461538461537,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464
#alcyonnee,0.9977375565610861,0.3076923076923077,0.15384615384615385,0.46153846153846156,0.24038461538461534,0.15384615384615385,0.15384615384615385,0.15384615384615385,6.23076923076923,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.3076923076923077,0.24038461538461534,0.3076923076923077,0.15384615384615385,0.46153846153846156,0.15384615384615385,18.615384615384613,1.5576923076923075,4.653846153846153,4.653846153846153,4.653846153846153
#felicie,0.07239819004524888,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.07692307692307693,3.115384615384615,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.07692307692307693,1.5576923076923075,22.153846153846157,0.07692307692307693,0.07692307692307693,0.07692307692307693
#l-esclave,0.1832579185520362,0.07692307692307693,0.038461538461538464,0.11538461538461539,4.653846153846153,0.038461538461538464,0.038461538461538464,0.038461538461538464,1.5576923076923075,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.07692307692307693,4.653846153846153,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.038461538461538464,4.653846153846153,0.07692307692307693,24.038461538461537,24.038461538461537,24.038461538461537
#l-esclave,0.1832579185520362,0.07692307692307693,0.038461538461538464,0.11538461538461539,4.653846153846153,0.038461538461538464,0.038461538461538464,0.038461538461538464,1.5576923076923075,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.07692307692307693,4.653846153846153,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.038461538461538464,4.653846153846153,0.07692307692307693,24.038461538461537,24.038461538461537,24.038461538461537
#l-esclave,0.1832579185520362,0.07692307692307693,0.038461538461538464,0.11538461538461539,4.653846153846153,0.038461538461538464,0.038461538461538464,0.038461538461538464,1.5576923076923075,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.07692307692307693,4.653846153846153,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.038461538461538464,4.653846153846153,0.07692307692307693,24.038461538461537,24.038461538461537,24.038461538461537
Successions,#endymion,#polydamon,#parthenopee,#diane,#ismene,#i-nymphe,#ii-nymphe,#nymphe,#sthenobee,#i-homme,#ii-homme,#iii-homme,#diophanie,#hermodan,#esclave,#thymotee,#pyridor,#stenobee,#admon,#clindor,#alcyonnee,#felicie,#l-esclave,#troupe-de-peuple,#choeur-de-filles
#endymion,0.014285714285714285,0.1,0.02857142857142857,0.11428571428571428,0.17142857142857143,0.0,0.014285714285714285,0.11428571428571428,0.2714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.15714285714285714,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0
#polydamon,0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#parthenopee,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#diane,0.75,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#parthenopee,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#i-nymphe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ii-nymphe,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#parthenopee,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sthenobee,0.4523809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11904761904761904,0.023809523809523808,0.0,0.0,0.0,0.30952380952380953,0.047619047619047616,0.0,0.023809523809523808,0.023809523809523808
#i-homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ii-homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#iii-homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#diophanie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#hermodan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#esclave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
#thymotee,0.4,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.04,0.08,0.0,0.0,0.04,0.08,0.08,0.08,0.0,0.0,0.04,0.0
#pyridor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#stenobee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#admon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pyridor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#alcyonnee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0
#felicie,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-esclave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#troupe-de-peuple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
#l-esclave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
