VALEUR,#arlequin,#colombine,#pierrot,#isabelle,#la-fille,#autre-fille,#une-des-filles,#filles,#l-hymen,#le-cabaretier,#la-coquette,#le-procureur,#le-jardinier,#la-jardiniere,#leandre
#une-des-filles,0.04040404040404038,0.2727272727272727,0.2727272727272727,0.36363636363636365,3.681818181818181,3.681818181818181,9.09090909090909,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
#filles,0.04040404040404038,1.9393939393939397,0.2727272727272727,1.1136363636363635,0.18181818181818182,0.18181818181818182,0.09090909090909091,9.09090909090909,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
#l-hymen,0.16161616161616152,1.0909090909090908,1.0909090909090908,0.14204545454545456,0.7272727272727273,0.7272727272727273,0.36363636363636365,0.36363636363636365,4.454545454545454,1.1136363636363635,1.1136363636363635,1.1136363636363635,2.227272727272727,1.1136363636363635,1.1136363636363635
#le-cabaretier,0.04040404040404038,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,1.1136363636363635,9.09090909090909,9.09090909090909,9.09090909090909,0.18181818181818182,0.09090909090909091,0.09090909090909091
#le-cabaretier,0.04040404040404038,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,1.1136363636363635,9.09090909090909,9.09090909090909,9.09090909090909,0.18181818181818182,0.09090909090909091,0.09090909090909091
#le-cabaretier,0.04040404040404038,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,1.1136363636363635,9.09090909090909,9.09090909090909,9.09090909090909,0.18181818181818182,0.09090909090909091,0.09090909090909091
#le-jardinier,0.08080808080808076,0.5454545454545454,0.5454545454545454,0.10227272727272725,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.18181818181818182,2.227272727272727,0.18181818181818182,0.18181818181818182,0.18181818181818182,7.363636363636362,3.681818181818181,3.681818181818181
#la-jardiniere,0.04040404040404038,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,1.1136363636363635,0.09090909090909091,0.09090909090909091,0.09090909090909091,3.681818181818181,9.09090909090909,0.09090909090909091
#leandre,0.04040404040404038,0.2727272727272727,0.2727272727272727,1.1136363636363635,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,1.1136363636363635,0.09090909090909091,0.09090909090909091,0.09090909090909091,3.681818181818181,0.09090909090909091,9.09090909090909
Successions,#arlequin,#colombine,#pierrot,#isabelle,#la-fille,#autre-fille,#une-des-filles,#filles,#l-hymen,#le-cabaretier,#la-coquette,#le-procureur,#le-jardinier,#la-jardiniere,#leandre
#arlequin,0.041666666666666664,0.20833333333333334,0.010416666666666666,0.21875,0.125,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.03125,0.020833333333333332,0.10416666666666667,0.052083333333333336,0.07291666666666667,0.020833333333333332,0.052083333333333336
#colombine,0.8,0.0,0.04,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pierrot,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.5555555555555556,0.16666666666666666,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#isabelle,0.5833333333333334,0.1111111111111111,0.3055555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-fille,0.6842105263157895,0.0,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#autre-fille,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#une-des-filles,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#filles,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-hymen,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
#le-cabaretier,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0
#la-coquette,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0
#une-des-filles,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-jardinier,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
#la-jardiniere,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
#une-des-filles,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
