VALEUR,#poquelin,#la-couture,#drouillac,#moliere,#cresse,#bejart,#louis,#duparc,#madeleine,#genevieve,#madeleine #duparc,#louis #genevieve,#madeleine #genevieve,#tous,#l-echevin
#madeleine #duparc,0.3,0.2666666666666667,0.10000000000000002,0.049999999999999975,0.6,1.633333333333333,1.633333333333333,0.10000000000000002,3.2000000000000006,3.2000000000000006,8.1,8.1,8.1,8.1,0.10000000000000002
#madeleine #duparc,0.3,0.2666666666666667,0.10000000000000002,0.049999999999999975,0.6,1.633333333333333,1.633333333333333,0.10000000000000002,3.2000000000000006,3.2000000000000006,8.1,8.1,8.1,8.1,0.10000000000000002
#madeleine #duparc,0.3,0.2666666666666667,0.10000000000000002,0.049999999999999975,0.6,1.633333333333333,1.633333333333333,0.10000000000000002,3.2000000000000006,3.2000000000000006,8.1,8.1,8.1,8.1,0.10000000000000002
#madeleine #duparc,0.3,0.2666666666666667,0.10000000000000002,0.049999999999999975,0.6,1.633333333333333,1.633333333333333,0.10000000000000002,3.2000000000000006,3.2000000000000006,8.1,8.1,8.1,8.1,0.10000000000000002
#l-echevin,0.3,0.6,0.10000000000000002,0.049999999999999975,0.6,0.3,0.3,0.10000000000000002,0.20000000000000004,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,8.1
Successions,#poquelin,#la-couture,#drouillac,#moliere,#cresse,#bejart,#louis,#duparc,#madeleine,#genevieve,#madeleine #duparc,#louis #genevieve,#madeleine #genevieve,#tous,#l-echevin
#poquelin,0.0,0.43243243243243246,0.13513513513513514,0.32432432432432434,0.10810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-couture,0.2459016393442623,0.01639344262295082,0.11475409836065574,0.29508196721311475,0.14754098360655737,0.03278688524590164,0.0,0.0,0.04918032786885246,0.06557377049180328,0.0,0.01639344262295082,0.01639344262295082,0.0,0.0
#drouillac,0.5833333333333334,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#moliere,0.2033898305084746,0.3728813559322034,0.0,0.03389830508474576,0.15254237288135594,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.0,0.0,0.0,0.0,0.13559322033898305
#cresse,0.13043478260869565,0.17391304347826086,0.0,0.5652173913043478,0.0,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
#bejart,0.0,0.4,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#louis,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#duparc,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madeleine,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
#genevieve,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
#madeleine #duparc,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#louis #genevieve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#madeleine #genevieve,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madeleine #genevieve,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madeleine #duparc,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
