VALEUR,#dejanire,#dirce,#hilus,#le-choeur,#une-thessalienne,#junon,#la-jalousie,#junon #la-jalousie,#iole,#iole #hilus,#le-choeur-des-captifs,#une-captive,#hercule,#philoctete,#hercule #philoctete,#le-choeur #alcide,#un-thessalien,#le-thessalien #le-choeur,#le-choeur #dejanire,#le-grand-pretre #le-choeur,#le-grand-pretre,#le-choeur-de-femmes,#hercule #hilus #le-choeur,#hilus #le-choeur,#jupiter
#iole,0.43577075098814233,0.6956521739130435,0.8768115942028987,0.019565217391304356,0.17391304347826086,0.17391304347826086,0.34782608695652173,0.17391304347826086,15.695652173913043,3.9239130434782608,3.9239130434782608,3.9239130434782608,0.11005434782608693,0.1331521739130435,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,3.9239130434782608,3.9239130434782608,0.17391304347826086
#iole #hilus,0.4782608695652174,0.17391304347826086,2.094202898550724,0.21739130434782608,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,3.9239130434782608,21.043478260869566,0.043478260869565216,0.043478260869565216,0.34782608695652173,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
#le-choeur-des-captifs,0.5691699604743082,0.17391304347826086,0.2608695652173913,0.21739130434782608,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,3.9239130434782608,0.043478260869565216,21.043478260869566,21.043478260869566,0.34782608695652173,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
#le-choeur-des-captifs,0.5691699604743082,0.17391304347826086,0.2608695652173913,0.21739130434782608,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,3.9239130434782608,0.043478260869565216,21.043478260869566,21.043478260869566,0.34782608695652173,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
#hercule,3.8260869565217392,1.391304347826087,0.3994565217391305,0.9141304347826088,0.34782608695652173,0.34782608695652173,0.6956521739130435,0.34782608695652173,0.11005434782608693,0.34782608695652173,0.34782608695652173,0.34782608695652173,9.782608695652174,4.891304347826087,1.2228260869565217,1.2228260869565217,1.2228260869565217,1.2228260869565217,0.34782608695652173,0.34782608695652173,0.34782608695652173,1.2228260869565217,1.2228260869565217,1.2228260869565217,1.2228260869565217
#philoctete,1.9130434782608696,0.6956521739130435,0.8768115942028987,0.019565217391304356,0.17391304347826086,0.17391304347826086,0.34782608695652173,0.17391304347826086,0.1331521739130435,0.17391304347826086,0.17391304347826086,0.17391304347826086,4.891304347826087,15.695652173913043,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,3.9239130434782608,3.9239130434782608,0.17391304347826086
#hercule #philoctete,0.4782608695652174,0.17391304347826086,0.2608695652173913,2.8173913043478267,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.2228260869565217,0.17391304347826086,21.043478260869566,21.043478260869566,21.043478260869566,21.043478260869566,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
#hercule #philoctete,0.4782608695652174,0.17391304347826086,0.2608695652173913,2.8173913043478267,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.2228260869565217,0.17391304347826086,21.043478260869566,21.043478260869566,21.043478260869566,21.043478260869566,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
#hercule #philoctete,0.4782608695652174,0.17391304347826086,0.2608695652173913,2.8173913043478267,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.2228260869565217,0.17391304347826086,21.043478260869566,21.043478260869566,21.043478260869566,21.043478260869566,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
#hercule #philoctete,0.4782608695652174,0.17391304347826086,0.2608695652173913,2.8173913043478267,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.2228260869565217,0.17391304347826086,21.043478260869566,21.043478260869566,21.043478260869566,21.043478260869566,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
#le-choeur #dejanire,0.5691699604743082,0.17391304347826086,0.2608695652173913,0.21739130434782608,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.34782608695652173,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,21.043478260869566,21.043478260869566,21.043478260869566,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
#le-choeur #dejanire,0.5691699604743082,0.17391304347826086,0.2608695652173913,0.21739130434782608,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.34782608695652173,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,21.043478260869566,21.043478260869566,21.043478260869566,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
#le-choeur #dejanire,0.5691699604743082,0.17391304347826086,0.2608695652173913,0.21739130434782608,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.34782608695652173,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,21.043478260869566,21.043478260869566,21.043478260869566,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
#le-choeur-de-femmes,0.4782608695652174,0.17391304347826086,2.094202898550724,0.21739130434782608,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.2228260869565217,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,21.043478260869566,0.043478260869565216,0.043478260869565216,0.043478260869565216
#hercule #hilus #le-choeur,0.4782608695652174,0.17391304347826086,2.094202898550724,2.8173913043478267,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,3.9239130434782608,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.2228260869565217,3.9239130434782608,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,21.043478260869566,21.043478260869566,0.043478260869565216
#hercule #hilus #le-choeur,0.4782608695652174,0.17391304347826086,2.094202898550724,2.8173913043478267,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,3.9239130434782608,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.2228260869565217,3.9239130434782608,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,21.043478260869566,21.043478260869566,0.043478260869565216
#jupiter,0.4782608695652174,0.17391304347826086,0.2608695652173913,2.8173913043478267,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.2228260869565217,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,21.043478260869566
