VALEUR,#zamor,#mirza,#valere,#sophie,#l-indien,#betzi,#azor,#coraline,#madame-de-saint-fremont,#monsieur-de-saint-fremont,#le-juge,#le-major,#le-commandeur,#un-esclave,#esclaves,#habitants,#tous
#valere,0.04878048780487805,0.14634146341463414,0.024390243902439025,0.4146341463414634,0.04878048780487805,0.0,0.0,0.0,0.024390243902439025,0.12195121951219512,0.04878048780487805,0.0975609756097561,0.024390243902439025,0.0,0.0,0.0,0.0
#sophie,0.3142857142857143,0.08571428571428572,0.17142857142857143,0.0,0.08571428571428572,0.02857142857142857,0.0,0.0,0.11428571428571428,0.14285714285714285,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.0,0.0
#l-indien,0.375,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#betzi,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.8260869565217391,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#azor,0.0,0.0,0.0,0.0,0.0,0.6,0.08,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#coraline,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.25,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-de-saint-fremont,0.038461538461538464,0.0,0.038461538461538464,0.15384615384615385,0.0,0.07692307692307693,0.038461538461538464,0.15384615384615385,0.11538461538461539,0.34615384615384615,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-de-saint-fremont,0.10810810810810811,0.02702702702702703,0.16216216216216217,0.08108108108108109,0.0,0.0,0.0,0.0,0.2702702702702703,0.05405405405405406,0.21621621621621623,0.0,0.0,0.02702702702702703,0.0,0.02702702702702703,0.02702702702702703
#le-juge,0.0,0.0,0.2777777777777778,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
#le-major,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.1,0.0,0.0,0.1
#le-commandeur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-esclave,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#esclaves,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#habitants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#tous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
