VALEUR,#ninon,#gourvile,#lisette,#monsieur-garant,#le-jeune-gourvile,#gourvile-l-aine,#picard,#le-jeune-gourvil,#le-jeune-gourvlle,#l-avocat-placet,#gourville,#madame-armand,#monsieur-armand,#monsieur-armand-,#monsieur-garand,#monsieur-armand #madame-armand
#gourvile-l-aine,0.10810810810810811,0.0,0.0,0.4864864864864865,0.24324324324324326,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.10810810810810811,0.02702702702702703,0.0,0.0,0.0
#picard,0.175,0.2,0.5,0.0,0.025,0.0,0.075,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0
#le-jeune-gourvil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-jeune-gourvlle,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-avocat-placet,0.0,0.3142857142857143,0.0,0.0,0.14285714285714285,0.02857142857142857,0.0,0.0,0.0,0.08571428571428572,0.14285714285714285,0.11428571428571428,0.17142857142857143,0.0,0.0,0.0
#gourville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-armand,0.08955223880597014,0.04477611940298507,0.0,0.029850746268656716,0.208955223880597,0.08955223880597014,0.0,0.0,0.0,0.08955223880597014,0.0,0.0,0.2537313432835821,0.029850746268656716,0.16417910447761194,0.0
#monsieur-armand,0.08888888888888889,0.0,0.0,0.022222222222222223,0.35555555555555557,0.0,0.022222222222222223,0.0,0.0,0.044444444444444446,0.0,0.4222222222222222,0.0,0.0,0.044444444444444446,0.0
#monsieur-armand-,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0
#monsieur-garand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.21428571428571427,0.0,0.07142857142857142,0.0
#monsieur-armand #madame-armand,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
