VALEUR,#baza,#saül,#agag,#samuel,#le-messager,#michol,#david,#abigail,#abiar,#ebind,#la-pythonisse,#joab,#abiezer,#un-messager,#tous-les-capitaines,#bethsabee,#urie,#nathan,#un-clerc-de-la-tresorerie,#yeses,#un-officier,#gag,#abisag,#salomon,#adonias,#tous-ensemble
#la-pythonisse,2.8173913043478267,1.590062111801242,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.2608695652173913,0.5652173913043478,0.30434782608695654,0.043478260869565216,0.043478260869565216,21.043478260869566,0.30434782608695654,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.34782608695652173,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.043478260869565216
#joab,1.5217391304347825,2.130434782608696,0.6086956521739131,0.30434782608695654,0.30434782608695654,1.826086956521739,2.3411371237458196,2.130434782608696,0.30434782608695654,0.30434782608695654,0.30434782608695654,11.130434782608695,1.590062111801242,1.590062111801242,1.590062111801242,1.0062111801242233,0.30434782608695654,1.590062111801242,1.590062111801242,1.590062111801242,3.180124223602484,1.590062111801242,3.180124223602484,3.180124223602484,1.590062111801242,1.590062111801242
#abiezer,0.21739130434782608,0.30434782608695654,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.2608695652173913,0.3344481605351171,0.30434782608695654,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.590062111801242,21.043478260869566,21.043478260869566,21.043478260869566,0.34782608695652173,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.043478260869565216
#abiezer,0.21739130434782608,0.30434782608695654,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.2608695652173913,0.3344481605351171,0.30434782608695654,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.590062111801242,21.043478260869566,21.043478260869566,21.043478260869566,0.34782608695652173,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.043478260869565216
#abiezer,0.21739130434782608,0.30434782608695654,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.2608695652173913,0.3344481605351171,0.30434782608695654,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.590062111801242,21.043478260869566,21.043478260869566,21.043478260869566,0.34782608695652173,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.043478260869565216
#bethsabee,1.7391304347826086,2.4347826086956523,0.6956521739130435,0.34782608695652173,0.34782608695652173,2.0869565217391304,1.3582775919732446,0.07763975155279508,0.34782608695652173,0.34782608695652173,0.34782608695652173,1.0062111801242233,0.34782608695652173,0.34782608695652173,0.34782608695652173,9.782608695652174,1.2228260869565217,1.2228260869565217,0.34782608695652173,0.34782608695652173,0.1331521739130435,0.34782608695652173,2.4456521739130435,2.4456521739130435,1.2228260869565217,1.2228260869565217
#urie,0.21739130434782608,0.30434782608695654,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.2608695652173913,0.3344481605351171,0.30434782608695654,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.30434782608695654,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.2228260869565217,21.043478260869566,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.043478260869565216
#nathan,0.21739130434782608,0.30434782608695654,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.2608695652173913,0.3344481605351171,0.30434782608695654,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.590062111801242,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.2228260869565217,0.043478260869565216,21.043478260869566,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.043478260869565216
#un-clerc-de-la-tresorerie,0.21739130434782608,0.30434782608695654,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.2608695652173913,0.3344481605351171,0.30434782608695654,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.590062111801242,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.34782608695652173,0.043478260869565216,0.043478260869565216,21.043478260869566,21.043478260869566,9.58695652173913,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.043478260869565216
#un-clerc-de-la-tresorerie,0.21739130434782608,0.30434782608695654,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.2608695652173913,0.3344481605351171,0.30434782608695654,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.590062111801242,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.34782608695652173,0.043478260869565216,0.043478260869565216,21.043478260869566,21.043478260869566,9.58695652173913,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.043478260869565216
#un-officier,0.43478260869565216,0.6086956521739131,0.17391304347826086,0.08695652173913043,0.08695652173913043,0.5217391304347826,0.6688963210702342,0.6086956521739131,0.08695652173913043,0.08695652173913043,0.08695652173913043,3.180124223602484,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.1331521739130435,0.08695652173913043,0.08695652173913043,9.58695652173913,9.58695652173913,19.17391304347826,0.08695652173913043,3.9239130434782608,3.9239130434782608,9.58695652173913,9.58695652173913
#gag,0.21739130434782608,0.30434782608695654,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.2608695652173913,0.3344481605351171,0.30434782608695654,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.590062111801242,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.34782608695652173,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.08695652173913043,21.043478260869566,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.043478260869565216
#abisag,0.43478260869565216,0.6086956521739131,0.17391304347826086,0.08695652173913043,0.08695652173913043,0.5217391304347826,0.6688963210702342,0.6086956521739131,0.08695652173913043,0.08695652173913043,0.08695652173913043,3.180124223602484,0.08695652173913043,0.08695652173913043,0.08695652173913043,2.4456521739130435,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,3.9239130434782608,0.08695652173913043,19.17391304347826,19.17391304347826,9.58695652173913,9.58695652173913
#abisag,0.43478260869565216,0.6086956521739131,0.17391304347826086,0.08695652173913043,0.08695652173913043,0.5217391304347826,0.6688963210702342,0.6086956521739131,0.08695652173913043,0.08695652173913043,0.08695652173913043,3.180124223602484,0.08695652173913043,0.08695652173913043,0.08695652173913043,2.4456521739130435,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,3.9239130434782608,0.08695652173913043,19.17391304347826,19.17391304347826,9.58695652173913,9.58695652173913
#adonias,0.21739130434782608,0.30434782608695654,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.2608695652173913,0.3344481605351171,0.30434782608695654,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.590062111801242,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.2228260869565217,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,9.58695652173913,0.043478260869565216,9.58695652173913,9.58695652173913,21.043478260869566,21.043478260869566
#adonias,0.21739130434782608,0.30434782608695654,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.2608695652173913,0.3344481605351171,0.30434782608695654,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.590062111801242,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.2228260869565217,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,9.58695652173913,0.043478260869565216,9.58695652173913,9.58695652173913,21.043478260869566,21.043478260869566
Successions,#baza,#saül,#agag,#samuel,#le-messager,#michol,#david,#abigail,#abiar,#ebind,#la-pythonisse,#joab,#abiezer,#un-messager,#tous-les-capitaines,#bethsabee,#urie,#nathan,#un-clerc-de-la-tresorerie,#yeses,#un-officier,#gag,#abisag,#salomon,#adonias,#tous-ensemble
#baza,0.0,0.7647058823529411,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#saül,0.4,0.0,0.11428571428571428,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#agag,0.1,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#samuel,0.07142857142857142,0.5,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-messager,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#michol,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.4090909090909091,0.36363636363636365,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#david,0.0,0.0,0.0,0.0,0.0,0.13580246913580246,0.037037037037037035,0.06172839506172839,0.012345679012345678,0.0,0.012345679012345678,0.18518518518518517,0.024691358024691357,0.012345679012345678,0.012345679012345678,0.32098765432098764,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.037037037037037035,0.012345679012345678,0.04938271604938271,0.024691358024691357,0.0
#abigail,0.0,0.125,0.0,0.0,0.0,0.16666666666666666,0.2916666666666667,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#abiar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ebind,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-pythonisse,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#joab,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0
#abiezer,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-messager,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-messager,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#bethsabee,0.0,0.0,0.0,0.0,0.0,0.0,0.5897435897435898,0.20512820512820512,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.02564102564102564,0.05128205128205128,0.0,0.0,0.0,0.0,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.0
#un-messager,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nathan,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-messager,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-messager,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-officier,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-messager,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#abisag,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
#salomon,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
#nathan,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous-ensemble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
