VALEUR,#mademoiselle-raimond,#l-acteur,#le-procureur,#le-gascon,#monsieur-clamart,#mademoiselle-raimond #l-acteur,#la-critique,#une-actrice,#marthon,#l-antiquite,#la-nouveaute,#chanteur
#la-critique,0.22857142857142854,0.22857142857142854,0.2857142857142857,0.3214285714285715,0.2857142857142857,0.2857142857142857,3.5714285714285716,1.7857142857142858,1.7857142857142858,0.2857142857142857,0.2857142857142857,0.2857142857142857
#une-actrice,0.11428571428571427,0.11428571428571427,0.14285714285714285,1.7857142857142858,0.14285714285714285,0.14285714285714285,1.7857142857142858,5.142857142857144,5.142857142857144,0.14285714285714285,0.14285714285714285,0.14285714285714285
#une-actrice,0.11428571428571427,0.11428571428571427,0.14285714285714285,1.7857142857142858,0.14285714285714285,0.14285714285714285,1.7857142857142858,5.142857142857144,5.142857142857144,0.14285714285714285,0.14285714285714285,0.14285714285714285
#l-antiquite,0.7142857142857143,0.11428571428571427,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,5.142857142857144,5.142857142857144,0.14285714285714285
#l-antiquite,0.7142857142857143,0.11428571428571427,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,5.142857142857144,5.142857142857144,0.14285714285714285
#chanteur,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,5.142857142857144
Successions,#mademoiselle-raimond,#l-acteur,#le-procureur,#le-gascon,#monsieur-clamart,#mademoiselle-raimond #l-acteur,#la-critique,#une-actrice,#marthon,#l-antiquite,#la-nouveaute,#chanteur
#mademoiselle-raimond,0.0,0.359375,0.140625,0.078125,0.140625,0.015625,0.265625,0.0,0.0,0.0,0.0,0.0
#l-acteur,0.4107142857142857,0.0,0.0,0.0,0.0,0.0,0.4107142857142857,0.03571428571428571,0.0,0.05357142857142857,0.08928571428571429,0.0
#le-procureur,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-gascon,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
#monsieur-clamart,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mademoiselle-raimond #l-acteur,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-critique,0.36538461538461536,0.4423076923076923,0.0,0.019230769230769232,0.0,0.0,0.019230769230769232,0.1346153846153846,0.019230769230769232,0.0,0.0,0.0
#une-actrice,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#marthon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#l-antiquite,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0
#la-nouveaute,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
#mademoiselle-raimond #l-acteur,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
