VALEUR,#sifroy,#golo,#rodolphe,#clotilde,#gertrude,#genevieve,#benoni,#la-vierge,#l-ambassadeur,#henry,#othon,#germaine
#henry,0.9324009324009324,0.9230769230769231,0.09157509157509156,1.2410256410256404,0.08391608391608396,0.5584045584045583,0.006410256410256401,0.23076923076923078,0.23443223443223446,15.384615384615381,7.091575091575091,0.020512820512820544
#othon,0.3121878121878123,1.076923076923077,0.4152276295133438,0.6351648351648349,0.0004995004995004959,0.07387057387057382,0.7912087912087908,0.2692307692307693,0.007064364207221354,7.091575091575091,13.884615384615383,2.0318681318681318
#germaine,0.006293706293706297,0.7692307692307693,0.31758241758241773,0.44307692307692315,1.679020979020979,0.9307692307692307,1.9692307692307693,0.19230769230769232,5.231868131868134,0.020512820512820544,2.031868131868132,16.96153846153846
Successions,#sifroy,#golo,#rodolphe,#clotilde,#gertrude,#genevieve,#benoni,#la-vierge,#l-ambassadeur,#henry,#othon,#germaine
#sifroy,0.02631578947368421,0.19298245614035087,0.09649122807017543,0.18421052631578946,0.13157894736842105,0.14035087719298245,0.017543859649122806,0.0,0.14912280701754385,0.03508771929824561,0.02631578947368421,0.0
#golo,0.5833333333333334,0.0,0.0,0.027777777777777776,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#rodolphe,0.3103448275862069,0.0,0.0,0.06896551724137931,0.10344827586206896,0.034482758620689655,0.0,0.0,0.3103448275862069,0.06896551724137931,0.0,0.10344827586206896
#clotilde,0.1743119266055046,0.0,0.009174311926605505,0.0,0.26605504587155965,0.03669724770642202,0.0,0.0,0.0,0.23853211009174313,0.14678899082568808,0.12844036697247707
#gertrude,0.24390243902439024,0.17073170731707318,0.04878048780487805,0.32926829268292684,0.0,0.036585365853658534,0.012195121951219513,0.0,0.10975609756097561,0.04878048780487805,0.0,0.0
#genevieve,0.12643678160919541,0.0,0.0,0.022988505747126436,0.034482758620689655,0.011494252873563218,0.4942528735632184,0.1724137931034483,0.022988505747126436,0.05747126436781609,0.034482758620689655,0.022988505747126436
#benoni,0.08695652173913043,0.0,0.0,0.0,0.021739130434782608,0.8913043478260869,0.0,0.0,0.0,0.0,0.0,0.0
#la-vierge,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-ambassadeur,0.43902439024390244,0.0,0.24390243902439024,0.024390243902439025,0.04878048780487805,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.1951219512195122
#henry,0.12,0.0,0.04,0.6,0.1,0.04,0.0,0.0,0.0,0.0,0.1,0.0
#othon,0.10344827586206896,0.0,0.034482758620689655,0.27586206896551724,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,0.0,0.27586206896551724
#germaine,0.0,0.0,0.0,0.4857142857142857,0.2857142857142857,0.05714285714285714,0.0,0.0,0.11428571428571428,0.0,0.05714285714285714,0.0
