VALEUR,#julie,#adelaïde,#clarice,#hiradot,#le-choeur,#le-suisse,#tous-les-acteurs,#isidore,#rigaut,#un-garçon-de-theatre,#monsieur-mouton,#monsieur-jourdain,#clarice #julie,#adelaïde #rigaut
#clarice #julie,2.960526315789474,0.5789473684210527,2.960526315789474,0.2631578947368421,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.3157894736842105,0.05263157894736842,1.4824561403508774,1.4824561403508774,17.05263157894737,0.05263157894736842
#adelaïde #rigaut,0.21052631578947367,0.30622009569377984,0.21052631578947367,0.2631578947368421,4.491228070175438,0.05263157894736842,0.05263157894736842,0.05263157894736842,1.4824561403508774,0.05263157894736842,0.3157894736842105,0.3157894736842105,0.05263157894736842,17.05263157894737
Successions,#julie,#adelaïde,#clarice,#hiradot,#le-choeur,#le-suisse,#tous-les-acteurs,#isidore,#rigaut,#un-garçon-de-theatre,#monsieur-mouton,#monsieur-jourdain,#clarice #julie,#adelaïde #rigaut
#julie,0.0,0.16666666666666666,0.2777777777777778,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
#adelaïde,0.15217391304347827,0.0,0.10869565217391304,0.2608695652173913,0.043478260869565216,0.021739130434782608,0.0,0.0,0.34782608695652173,0.0,0.0,0.043478260869565216,0.0,0.021739130434782608
#clarice,0.16666666666666666,0.6666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0
#hiradot,0.0,0.75,0.0,0.05,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-suisse,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous-les-acteurs,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#isidore,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
#rigaut,0.0,0.4666666666666667,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.2,0.0,0.0,0.03333333333333333,0.23333333333333334,0.0,0.0
