VALEUR,#murel,#pierre,#gruchet,#madame-rousselin,#miss-arabelle,#onesime,#louise,#rousselin,#tous,#marchais,#dodart,#bouvigny,#heurtelot,#hombourg,#ledru,#voinchet,#beaumesnil,#les-electeurs,#julien,#le-garde-champetre,#la-foule,#des-voix,#felicite,#le-garçon-de-cafe,#le-president,#un-electeur,#l-agriculteur,#le-mendiant
#louise,0.0013876040703052915,0.6382978723404255,0.6148936170212768,8.687943262411348,0.6304176516942477,0.9940898345153671,35.76595744680852,0.1002294534835212,0.2049645390070923,0.5106382978723404,0.01266464032421483,0.3829787234042552,0.5106382978723404,0.6382978723404255,0.5106382978723404,0.3829787234042552,0.3829787234042552,0.3829787234042552,0.5106382978723404,0.5106382978723404,0.1276595744680851,0.1276595744680851,0.3829787234042552,0.2553191489361702,0.1276595744680851,0.1276595744680851,0.1276595744680851,0.1276595744680851
#rousselin,0.7955868748979695,0.10525657071339178,0.3157697121401753,0.007822277847309177,0.04005006257822276,0.013350020859407563,0.1002294534835212,3.5957446808510616,0.5287859824780975,0.003911138923654588,0.7403003754693367,0.31727158948685874,0.2759699624530662,0.04055068836045053,0.42302878598247834,0.31727158948685874,0.31727158948685874,0.013350020859407563,0.2759699624530662,0.2759699624530662,0.7234042553191489,0.7234042553191489,0.6309970796829368,0.21151439299123917,0.10575719649561958,0.10575719649561958,0.10575719649561958,0.10575719649561958
#tous,0.12506938020351532,0.5319148936170213,3.6224113475177306,0.02606382978723404,0.9574468085106382,0.3191489361702127,0.2049645390070923,0.5287859824780975,37.53191489361703,0.7755319148936171,0.7446808510638298,0.3191489361702127,5.8255319148936175,11.45191489361702,5.8255319148936175,8.852482269503549,8.852482269503549,8.852482269503549,0.42553191489361697,0.7755319148936171,0.10638297872340424,0.10638297872340424,0.3191489361702127,0.21276595744680848,7.506382978723403,7.506382978723403,7.506382978723403,0.10638297872340424
#marchais,0.0009250693802035179,0.7755319148936171,0.05992907801418442,0.6808510638297872,0.0715130023640662,0.2553191489361702,0.5106382978723404,0.0039111389236545545,0.7755319148936171,39.340425531914896,3.3100303951367787,0.2553191489361702,8.090425531914894,0.7755319148936171,1.2779255319148934,2.171985815602837,2.171985815602837,2.171985815602837,0.3404255319148936,8.090425531914894,9.835106382978724,0.0851063829787234,0.2553191489361702,0.1702127659574468,9.835106382978724,9.835106382978724,9.835106382978724,0.0851063829787234
#dodart,0.05286110744020081,0.08753799392097267,0.6816616008105372,1.1914893617021276,0.08645727794663967,0.6849037487335361,0.012664640324214804,0.7403003754693367,0.7446808510638298,3.3100303951367787,34.04255319148937,5.399189463019251,0.5957446808510638,0.7446808510638298,0.27431610942249246,0.44680851063829785,0.44680851063829785,0.44680851063829785,0.5957446808510638,0.5957446808510638,0.14893617021276595,0.14893617021276595,0.44680851063829785,0.2978723404255319,0.14893617021276595,0.14893617021276595,0.14893617021276595,0.14893617021276595
#bouvigny,0.14924452667283367,0.3191489361702127,0.9574468085106382,0.5106382978723404,0.5744680851063829,3.4137115839243517,0.3829787234042552,0.31727158948685874,0.3191489361702127,0.2553191489361702,5.399189463019252,41.19148936170214,0.2553191489361702,0.3191489361702127,2.171985815602837,0.1914893617021276,0.1914893617021276,0.1914893617021276,0.2553191489361702,0.2553191489361702,0.06382978723404255,0.06382978723404255,0.1914893617021276,0.1276595744680851,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.06382978723404255
#heurtelot,0.5552728954671602,0.42553191489361697,0.40992907801418427,0.6808510638297872,0.7659574468085105,0.2553191489361702,0.5106382978723404,0.27596996245306643,5.8255319148936175,8.090425531914894,0.5957446808510638,0.2553191489361702,39.340425531914896,5.8255319148936175,8.090425531914894,11.92198581560284,11.92198581560284,29.505319148936174,0.3404255319148936,8.090425531914894,9.835106382978724,0.0851063829787234,0.2553191489361702,0.1702127659574468,9.835106382978724,9.835106382978724,9.835106382978724,0.0851063829787234
#hombourg,0.12506938020351532,0.5319148936170213,1.235744680851064,0.8510638297872339,0.9574468085106382,0.3191489361702127,0.6382978723404255,0.04055068836045053,11.45191489361702,0.7755319148936171,0.7446808510638298,0.3191489361702127,5.8255319148936175,37.53191489361703,15.575531914893617,22.519148936170218,22.519148936170218,8.852482269503549,0.42553191489361697,0.7755319148936171,0.10638297872340424,7.506382978723403,1.4524822695035466,0.21276595744680848,7.506382978723403,7.506382978723403,7.506382978723403,0.10638297872340424
#ledru,0.5552728954671602,0.42553191489361697,0.05992907801418442,0.6808510638297872,0.7659574468085105,2.171985815602837,0.5106382978723404,0.4230287859824779,5.8255319148936175,1.2779255319148934,0.27431610942249246,2.171985815602837,8.090425531914894,15.575531914893617,39.340425531914896,29.505319148936174,29.505319148936174,11.92198581560284,0.3404255319148936,1.2779255319148934,0.0851063829787234,0.0851063829787234,0.2553191489361702,0.1702127659574468,9.835106382978724,9.835106382978724,9.835106382978724,0.0851063829787234
#voinchet,0.19272278754239922,0.3191489361702127,0.0018912529550827479,0.5106382978723404,0.5744680851063829,0.1914893617021276,0.3829787234042552,0.31727158948685874,8.852482269503549,2.171985815602837,0.44680851063829774,0.1914893617021276,11.92198581560284,22.519148936170218,29.505319148936174,41.19148936170214,41.19148936170214,17.080378250591025,0.2553191489361702,2.171985815602837,0.06382978723404255,0.06382978723404255,0.1914893617021276,0.1276595744680851,13.730496453900711,13.730496453900711,13.730496453900711,0.06382978723404255
