VALEUR,#apollon,#les-muses,#la-gloire,#l-amour,#le-choeur,#doris,#egle,#hesiode,#un-songe,#euterpe,#ovide,#erithie,#homme,#chef-des-sarmates,#ovide #erithie,#anacreon,#polycrate,#troupe-de-sammiennes,#themire,#themire #anacreon
#egle,0.0,0.0,0.09523809523809523,0.09523809523809523,0.5714285714285714,3.4404761904761907,17.190476190476193,0.38095238095238093,8.595238095238097,0.09523809523809523,0.38095238095238093,0.2857142857142857,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.38095238095238093,0.47619047619047616,0.09523809523809523,0.38095238095238093,0.19047619047619047
#hesiode,0.0,0.0,0.19047619047619047,0.19047619047619047,0.017857142857142842,0.38095238095238093,0.38095238095238093,13.761904761904763,0.19047619047619047,3.4404761904761907,0.7619047619047619,0.5714285714285714,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.7619047619047619,0.9523809523809523,0.19047619047619047,0.7619047619047619,0.38095238095238093
#un-songe,0.0,0.0,0.047619047619047616,0.047619047619047616,0.2857142857142857,0.09523809523809523,8.595238095238097,0.19047619047619047,19.047619047619047,0.047619047619047616,0.19047619047619047,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.047619047619047616,0.19047619047619047,0.09523809523809523
#euterpe,0.0,0.0,0.047619047619047616,0.047619047619047616,0.2857142857142857,0.09523809523809523,0.09523809523809523,3.4404761904761907,0.047619047619047616,19.047619047619047,0.19047619047619047,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.047619047619047616,0.19047619047619047,0.09523809523809523
#ovide,0.0,0.0,0.19047619047619047,0.19047619047619047,0.642857142857143,0.38095238095238093,0.38095238095238093,0.7619047619047619,0.19047619047619047,0.19047619047619047,13.761904761904763,3.5714285714285716,3.4404761904761907,3.4404761904761907,3.4404761904761907,0.7619047619047619,0.9523809523809523,0.19047619047619047,0.7619047619047619,0.38095238095238093
#erithie,0.0,0.0,0.14285714285714285,0.14285714285714285,0.023809523809523826,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.14285714285714285,3.5714285714285716,15.428571428571432,5.142857142857144,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.7142857142857142,0.14285714285714285,0.5714285714285714,0.2857142857142857
#homme,0.0,0.0,0.047619047619047616,0.047619047619047616,1.7857142857142858,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.047619047619047616,3.4404761904761907,5.142857142857144,19.047619047619047,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.047619047619047616,0.19047619047619047,0.09523809523809523
#chef-des-sarmates,0.0,0.0,0.047619047619047616,0.047619047619047616,1.7857142857142858,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.047619047619047616,3.4404761904761907,0.14285714285714285,0.047619047619047616,19.047619047619047,19.047619047619047,0.19047619047619047,0.23809523809523808,0.047619047619047616,0.19047619047619047,0.09523809523809523
#chef-des-sarmates,0.0,0.0,0.047619047619047616,0.047619047619047616,1.7857142857142858,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.047619047619047616,3.4404761904761907,0.14285714285714285,0.047619047619047616,19.047619047619047,19.047619047619047,0.19047619047619047,0.23809523809523808,0.047619047619047616,0.19047619047619047,0.09523809523809523
#anacreon,0.0,0.0,0.19047619047619047,0.19047619047619047,0.017857142857142842,0.38095238095238093,0.38095238095238093,0.7619047619047619,0.19047619047619047,0.19047619047619047,0.7619047619047619,0.5714285714285714,0.19047619047619047,0.19047619047619047,0.19047619047619047,13.761904761904763,1.1523809523809525,3.4404761904761907,0.07440476190476193,1.0059523809523812
