VALEUR,#dame-paque,#maitre-bernard,#perillo,#carmosine,#ser-vespasiano,#minuccio,#un-domestique,#l-officier,#le-roi,#la-reine,#premiere-demoiselle,#deuxieme-demoiselle,#troisieme-demoiselle,#les-demoiselles,#michel
Successions,#dame-paque,#maitre-bernard,#perillo,#carmosine,#ser-vespasiano,#minuccio,#un-domestique,#l-officier,#le-roi,#la-reine,#premiere-demoiselle,#deuxieme-demoiselle,#troisieme-demoiselle,#les-demoiselles,#michel
#dame-paque,0.0,0.5405405405405406,0.0,0.08108108108108109,0.35135135135135137,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#maitre-bernard,0.2289156626506024,0.0,0.1927710843373494,0.3614457831325301,0.04819277108433735,0.12048192771084337,0.0,0.0,0.04819277108433735,0.0,0.0,0.0,0.0,0.0,0.0
#perillo,0.014285714285714285,0.2,0.0,0.24285714285714285,0.07142857142857142,0.2714285714285714,0.0,0.014285714285714285,0.17142857142857143,0.014285714285714285,0.0,0.0,0.0,0.0,0.0
#carmosine,0.04424778761061947,0.25663716814159293,0.13274336283185842,0.008849557522123894,0.061946902654867256,0.07964601769911504,0.008849557522123894,0.0,0.035398230088495575,0.37168141592920356,0.0,0.0,0.0,0.0,0.0
#ser-vespasiano,0.17567567567567569,0.06756756756756757,0.06756756756756757,0.0945945945945946,0.0,0.32432432432432434,0.0,0.013513513513513514,0.04054054054054054,0.06756756756756757,0.06756756756756757,0.04054054054054054,0.013513513513513514,0.02702702702702703,0.0
#minuccio,0.0,0.12359550561797752,0.21348314606741572,0.11235955056179775,0.2696629213483146,0.0,0.0,0.0,0.1797752808988764,0.0898876404494382,0.0,0.011235955056179775,0.0,0.0,0.0
#un-domestique,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-officier,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-roi,0.0,0.07142857142857142,0.21428571428571427,0.05357142857142857,0.05357142857142857,0.26785714285714285,0.0,0.0,0.03571428571428571,0.2857142857142857,0.0,0.0,0.017857142857142856,0.0,0.0
#la-reine,0.0,0.0,0.012658227848101266,0.5316455696202531,0.0759493670886076,0.11392405063291139,0.0,0.0,0.17721518987341772,0.012658227848101266,0.0,0.0,0.02531645569620253,0.0,0.05063291139240506
#premiere-demoiselle,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.125,0.0,0.0
#deuxieme-demoiselle,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0
#troisieme-demoiselle,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
#les-demoiselles,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#michel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
