VALEUR,#jupiter,#mercure,#sosie,#le-trompette,#le-guerrier,#alcmene,#amphitryon,#l-echo,#ecclisse,#leda,#un-escalve,#la-voix-celeste,#la-foule,#la-danseuse,#une-danseuse,#aclmene
#amphitryon,0.1096491228070175,0.1096491228070175,0.631578947368421,0.631578947368421,0.3157894736842105,0.011695906432748562,8.894736842105264,0.21491228070175444,0.212280701754386,0.3157894736842105,1.4824561403508774,0.4298245614035089,0.21491228070175444,0.3157894736842105,0.3157894736842105,1.4824561403508774
#l-echo,0.029605263157894756,0.029605263157894756,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.4298245614035089,0.21491228070175444,15.210526315789474,0.5263157894736842,0.10526315789473684,7.605263157894737,0.42105263157894735,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.10526315789473684
#ecclisse,2.1052631578947367,0.5802631578947367,0.42631578947368426,0.42631578947368426,0.2631578947368421,0.007894736842105269,0.212280701754386,0.5263157894736842,10.31578947368421,2.0631578947368427,0.2631578947368421,0.8526315789473685,4.1263157894736855,2.0631578947368427,2.0631578947368427,0.2631578947368421
#leda,0.42105263157894735,0.42105263157894735,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.21491228070175444,0.3157894736842105,0.10526315789473684,2.0631578947368427,17.05263157894737,0.05263157894736842,0.21052631578947367,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842
#un-escalve,0.42105263157894735,0.42105263157894735,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.21491228070175444,1.4824561403508774,7.605263157894737,0.2631578947368421,0.05263157894736842,17.05263157894737,0.21052631578947367,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842
#la-voix-celeste,0.2779605263157894,1.6842105263157894,0.7960526315789475,0.7960526315789475,0.21052631578947367,0.1096491228070175,0.4298245614035089,0.42105263157894735,0.8526315789473685,0.21052631578947367,0.21052631578947367,11.842105263157896,5.921052631578948,2.960526315789474,2.960526315789474,2.960526315789474
#la-foule,0.8421052631578947,0.8421052631578947,2.960526315789474,2.960526315789474,0.10526315789473684,1.263157894736842,0.21491228070175444,0.21052631578947367,4.1263157894736855,0.10526315789473684,0.10526315789473684,5.921052631578948,15.210526315789474,7.605263157894737,7.605263157894737,0.10526315789473684
#la-danseuse,0.42105263157894735,0.42105263157894735,7.605263157894737,7.605263157894737,0.05263157894736842,0.631578947368421,0.3157894736842105,0.10526315789473684,2.0631578947368427,0.05263157894736842,0.05263157894736842,2.960526315789474,7.605263157894737,17.05263157894737,17.05263157894737,0.05263157894736842
#la-danseuse,0.42105263157894735,0.42105263157894735,7.605263157894737,7.605263157894737,0.05263157894736842,0.631578947368421,0.3157894736842105,0.10526315789473684,2.0631578947368427,0.05263157894736842,0.05263157894736842,2.960526315789474,7.605263157894737,17.05263157894737,17.05263157894737,0.05263157894736842
#aclmene,0.42105263157894735,0.42105263157894735,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.21491228070175444,1.4824561403508774,0.10526315789473684,0.2631578947368421,0.05263157894736842,0.05263157894736842,2.960526315789474,0.10526315789473684,0.05263157894736842,0.05263157894736842,17.05263157894737
