VALEUR,#pan,#bacchus,#melpomene,#apollon,#hebe,#venus,#mars,#pluton,#diane,#endymion,#le-choeur,#choeur-des-dieux,#le-choeur-des-dieux
#le-choeur,0.08333333333333333,0.08333333333333333,0.08333333333333333,4.166666666666668,4.166666666666668,4.166666666666668,0.08333333333333333,1.3333333333333337,2.25,4.166666666666668,10.083333333333332,10.083333333333332,10.083333333333332
#le-choeur,0.08333333333333333,0.08333333333333333,0.08333333333333333,4.166666666666668,4.166666666666668,4.166666666666668,0.08333333333333333,1.3333333333333337,2.25,4.166666666666668,10.083333333333332,10.083333333333332,10.083333333333332
Successions,#pan,#bacchus,#melpomene,#apollon,#hebe,#venus,#mars,#pluton,#diane,#endymion,#le-choeur,#choeur-des-dieux,#le-choeur-des-dieux
#pan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#bacchus,0.2926829268292683,0.0975609756097561,0.17073170731707318,0.0,0.07317073170731707,0.1951219512195122,0.07317073170731707,0.024390243902439025,0.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0
#pan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#apollon,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
#hebe,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
#venus,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0
#pan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pluton,0.0,0.15789473684210525,0.0,0.0,0.0,0.15789473684210525,0.0,0.05263157894736842,0.5263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0
#diane,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.0,0.3793103448275862,0.034482758620689655,0.5172413793103449,0.0,0.0,0.0
#endymion,0.0,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.0,0.05263157894736842,0.7368421052631579,0.0,0.05263157894736842,0.0,0.0
#le-choeur,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
#choeur-des-dieux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#le-choeur-des-dieux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
