VALEUR,#arthenice,#madame-sorbin,#timagene,#monsieur-sorbin,#persinet,#lina,#une-des-deputees,#la-femme,#une-des-femmes,#une-autre-femme,#une-femme,#une-autre,#toutes-les-femmes,#hermocrate,#un-autre-homme,#un-homme
#une-des-deputees,0.06349206349206349,0.03333333333333332,0.3888888888888889,0.3333333333333333,0.3888888888888889,0.4444444444444444,16.055555555555557,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2777777777777778,0.1111111111111111,0.05555555555555555
#la-femme,0.06349206349206349,0.03333333333333332,0.3888888888888889,0.3333333333333333,0.3888888888888889,0.6944444444444445,0.05555555555555555,16.055555555555557,7.111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2777777777777778,0.1111111111111111,0.05555555555555555
#une-des-femmes,0.12698412698412698,0.06666666666666664,0.7777777777777778,0.6666666666666666,0.7777777777777778,1.388888888888889,0.1111111111111111,7.111111111111111,14.222222222222221,7.111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,0.5555555555555556,0.2222222222222222,0.1111111111111111
#une-autre-femme,0.06349206349206349,0.03333333333333332,0.3888888888888889,0.3333333333333333,0.3888888888888889,0.6944444444444445,0.05555555555555555,0.05555555555555555,7.111111111111111,16.055555555555557,16.055555555555557,16.055555555555557,16.055555555555557,0.2777777777777778,0.1111111111111111,0.05555555555555555
#une-autre-femme,0.06349206349206349,0.03333333333333332,0.3888888888888889,0.3333333333333333,0.3888888888888889,0.6944444444444445,0.05555555555555555,0.05555555555555555,7.111111111111111,16.055555555555557,16.055555555555557,16.055555555555557,16.055555555555557,0.2777777777777778,0.1111111111111111,0.05555555555555555
#une-autre-femme,0.06349206349206349,0.03333333333333332,0.3888888888888889,0.3333333333333333,0.3888888888888889,0.6944444444444445,0.05555555555555555,0.05555555555555555,7.111111111111111,16.055555555555557,16.055555555555557,16.055555555555557,16.055555555555557,0.2777777777777778,0.1111111111111111,0.05555555555555555
#une-autre-femme,0.06349206349206349,0.03333333333333332,0.3888888888888889,0.3333333333333333,0.3888888888888889,0.6944444444444445,0.05555555555555555,0.05555555555555555,7.111111111111111,16.055555555555557,16.055555555555557,16.055555555555557,16.055555555555557,0.2777777777777778,0.1111111111111111,0.05555555555555555
#hermocrate,0.20317460317460317,0.3266666666666668,2.1730158730158724,1.0666666666666669,0.5730158730158731,2.2222222222222223,0.2777777777777778,0.2777777777777778,0.5555555555555556,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,9.38888888888889,3.755555555555555,1.8777777777777775
#un-autre-homme,0.19841269841269843,0.2666666666666667,1.920634920634921,0.1666666666666667,0.06349206349206349,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,3.755555555555555,14.222222222222221,7.111111111111111
#un-homme,0.06349206349206349,0.03333333333333332,0.9603174603174605,0.3333333333333333,0.3888888888888889,0.4444444444444444,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,1.8777777777777775,7.111111111111111,16.055555555555557
Successions,#arthenice,#madame-sorbin,#timagene,#monsieur-sorbin,#persinet,#lina,#une-des-deputees,#la-femme,#une-des-femmes,#une-autre-femme,#une-femme,#une-autre,#toutes-les-femmes,#hermocrate,#un-autre-homme,#un-homme
#arthenice,0.0,0.47058823529411764,0.12941176470588237,0.11764705882352941,0.03529411764705882,0.023529411764705882,0.011764705882352941,0.011764705882352941,0.03529411764705882,0.023529411764705882,0.058823529411764705,0.0,0.0,0.08235294117647059,0.0,0.0
#madame-sorbin,0.44660194174757284,0.0,0.05825242718446602,0.18446601941747573,0.02912621359223301,0.1262135922330097,0.0,0.0,0.019417475728155338,0.009708737864077669,0.019417475728155338,0.019417475728155338,0.009708737864077669,0.04854368932038835,0.009708737864077669,0.019417475728155338
#timagene,0.25925925925925924,0.25925925925925924,0.0,0.2222222222222222,0.1111111111111111,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0
#monsieur-sorbin,0.20512820512820512,0.46153846153846156,0.10256410256410256,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.02564102564102564,0.0
#persinet,0.0,0.21621621621621623,0.05405405405405406,0.05405405405405406,0.0,0.5135135135135135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16216216216216217,0.0,0.0
#lina,0.10526315789473684,0.42105263157894735,0.0,0.0,0.39473684210526316,0.0,0.0,0.0,0.02631578947368421,0.02631578947368421,0.0,0.02631578947368421,0.0,0.0,0.0,0.0
#une-des-deputees,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-femme,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#une-des-femmes,0.5,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#une-autre-femme,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.1,0.0,0.0,0.0,0.0,0.0
#une-femme,0.7777777777777778,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#une-autre,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.0,0.0,0.0,0.0
#toutes-les-femmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#hermocrate,0.24,0.28,0.12,0.08,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-autre-homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#une-des-deputees,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
