VALEUR,#alonse,#enrique,#blanche,#jacinte,#don-lope,#don-sanche,#cassandre,#flore,#don-alvar,#don-ramire,#brave-1er,#brave-2eme,#brave-3eme,#don-louis
#cassandre,1.4054054054054055,0.12577962577962573,2.810810810810811,0.4492243723012954,0.15010395010395014,1.1665800415800416,15.567567567567563,4.79002079002079,0.013860013860013851,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137
#flore,0.43243243243243246,2.8412162162162162,0.8648648648648649,0.11694386694386699,2.1621621621621623,0.8648648648648649,4.79002079002079,29.43243243243243,0.08828828828828823,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.10810810810810811
#don-alvar,1.6216216216216217,0.044144144144144117,0.01824324324324327,0.9779625779625779,0.4414414414414411,0.17657657657657647,0.013860013860013851,0.08828828828828823,13.08108108108108,0.40540540540540543,0.8720720720720717,0.8720720720720717,0.8720720720720717,0.40540540540540543
#don-ramire,0.10810810810810811,0.05405405405405406,0.21621621621621623,0.35135135135135137,0.5405405405405406,2.8412162162162162,0.35135135135135137,0.10810810810810811,0.40540540540540543,35.02702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703
#brave-1er,0.10810810810810811,0.05405405405405406,0.21621621621621623,0.35135135135135137,0.39054054054054044,0.21621621621621623,0.35135135135135137,0.10810810810810811,0.8720720720720717,0.02702702702702703,35.02702702702703,35.02702702702703,35.02702702702703,0.02702702702702703
#brave-1er,0.10810810810810811,0.05405405405405406,0.21621621621621623,0.35135135135135137,0.39054054054054044,0.21621621621621623,0.35135135135135137,0.10810810810810811,0.8720720720720717,0.02702702702702703,35.02702702702703,35.02702702702703,35.02702702702703,0.02702702702702703
#brave-1er,0.10810810810810811,0.05405405405405406,0.21621621621621623,0.35135135135135137,0.39054054054054044,0.21621621621621623,0.35135135135135137,0.10810810810810811,0.8720720720720717,0.02702702702702703,35.02702702702703,35.02702702702703,35.02702702702703,0.02702702702702703
#don-louis,0.10810810810810811,0.05405405405405406,0.21621621621621623,0.35135135135135137,0.39054054054054044,0.21621621621621623,0.35135135135135137,0.10810810810810811,0.40540540540540543,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,35.02702702702703
Successions,#alonse,#enrique,#blanche,#jacinte,#don-lope,#don-sanche,#cassandre,#flore,#don-alvar,#don-ramire,#brave-1er,#brave-2eme,#brave-3eme,#don-louis
#alonse,0.03571428571428571,0.32142857142857145,0.03571428571428571,0.0,0.25,0.32142857142857145,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0
#enrique,0.75,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
#blanche,0.045454545454545456,0.0,0.0,0.5,0.36363636363636365,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0
#jacinte,0.011235955056179775,0.0,0.12359550561797752,0.033707865168539325,0.4044943820224719,0.14606741573033707,0.15730337078651685,0.056179775280898875,0.06741573033707865,0.0,0.0,0.0,0.0,0.0
#don-lope,0.053691275167785234,0.0,0.04697986577181208,0.2483221476510067,0.026845637583892617,0.026845637583892617,0.087248322147651,0.006711409395973154,0.4697986577181208,0.0,0.0,0.0,0.013422818791946308,0.020134228187919462
#don-sanche,0.140625,0.0,0.0,0.1875,0.046875,0.015625,0.0,0.0,0.46875,0.140625,0.0,0.0,0.0,0.0
#cassandre,0.0,0.0,0.0,0.19402985074626866,0.23880597014925373,0.0,0.014925373134328358,0.08955223880597014,0.4626865671641791,0.0,0.0,0.0,0.0,0.0
#flore,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#don-alvar,0.0,0.02097902097902098,0.02097902097902098,0.055944055944055944,0.4825174825174825,0.1888111888111888,0.21678321678321677,0.0,0.0,0.0,0.006993006993006993,0.006993006993006993,0.0,0.0
#don-ramire,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
#brave-1er,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#brave-1er,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#brave-3eme,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
#don-louis,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
