VALEUR,#caïphe,#pilate,#madeleine,#jesus,#un-docteur,#le-bourgeois,#un-pretre,#zeline,#un-autre-docteur,#un-negociant,#un-bourgeois,#la-femme,#le-disciple,#pierre,#un-disciple,#judas,#le-docteur,#le-peuple,#le-pretre,#un-membre-de-la-suite-de-caïphe,#l-un-d-eux
#zeline,0.17543859649122806,0.21052631578947367,3.3748006379585336,0.2982456140350877,0.08771929824561403,0.017543859649122806,0.10526315789473684,55.017543859649116,0.017543859649122806,0.05263157894736842,0.07017543859649122,0.017543859649122806,0.03508771929824561,0.12280701754385964,0.05263157894736842,0.03508771929824561,0.017543859649122806,0.03508771929824561,0.017543859649122806,0.017543859649122806,0.017543859649122806
#un-autre-docteur,0.17543859649122806,2.960526315789474,0.19298245614035087,0.2982456140350877,9.487719298245613,0.017543859649122806,0.10526315789473684,0.017543859649122806,55.017543859649116,0.05263157894736842,0.07017543859649122,0.017543859649122806,0.03508771929824561,0.12280701754385964,0.05263157894736842,0.03508771929824561,0.017543859649122806,0.03508771929824561,0.017543859649122806,0.017543859649122806,0.017543859649122806
#un-negociant,0.5263157894736842,0.21491228070175444,0.5789473684210527,0.894736842105263,0.2631578947368421,0.05263157894736842,0.3157894736842105,0.05263157894736842,0.05263157894736842,51.15789473684211,0.21052631578947367,0.05263157894736842,0.10526315789473684,0.3684210526315789,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842
#un-bourgeois,0.7017543859649122,0.8421052631578947,0.7719298245614035,0.031217750257997917,0.3508771929824561,0.07017543859649122,0.42105263157894735,0.07017543859649122,0.07017543859649122,0.21052631578947367,49.280701754385966,0.07017543859649122,0.14035087719298245,0.49122807017543857,0.21052631578947367,0.14035087719298245,0.07017543859649122,0.14035087719298245,0.07017543859649122,0.07017543859649122,0.07017543859649122
#la-femme,0.17543859649122806,0.21052631578947367,0.19298245614035087,1.6511867905056758,0.08771929824561403,0.017543859649122806,0.10526315789473684,0.017543859649122806,0.017543859649122806,0.05263157894736842,0.07017543859649122,55.017543859649116,0.03508771929824561,0.12280701754385964,0.05263157894736842,0.03508771929824561,0.017543859649122806,0.03508771929824561,0.017543859649122806,0.017543859649122806,0.017543859649122806
#le-disciple,0.3508771929824561,0.42105263157894735,0.38596491228070173,0.2729618163054696,0.17543859649122806,0.03508771929824561,0.21052631578947367,0.03508771929824561,0.03508771929824561,0.10526315789473684,0.14035087719298245,0.03508771929824561,53.07017543859649,2.317042606516291,0.10526315789473684,0.07017543859649122,0.03508771929824561,0.07017543859649122,0.03508771929824561,0.03508771929824561,0.03508771929824561
#pierre,1.2280701754385963,0.1522556390977443,0.09113693324219639,1.751584844464102,0.6140350877192982,0.12280701754385964,0.7368421052631579,0.12280701754385964,0.12280701754385964,0.3684210526315789,0.49122807017543857,0.12280701754385964,2.317042606516291,43.85964912280702,0.3684210526315789,2.317042606516291,0.12280701754385964,0.24561403508771928,0.12280701754385964,0.12280701754385964,0.12280701754385964
#un-disciple,0.5263157894736842,0.21491228070175444,0.5789473684210527,0.894736842105263,0.2631578947368421,0.05263157894736842,0.3157894736842105,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.21052631578947367,0.05263157894736842,0.10526315789473684,0.3684210526315789,51.15789473684211,0.10526315789473684,0.05263157894736842,7.605263157894737,0.05263157894736842,0.05263157894736842,0.05263157894736842
#judas,0.3508771929824561,0.7960526315789475,0.38596491228070173,0.2729618163054696,0.17543859649122806,0.03508771929824561,0.21052631578947367,0.03508771929824561,0.03508771929824561,0.10526315789473684,0.14035087719298245,0.03508771929824561,0.07017543859649122,2.317042606516291,0.10526315789473684,53.07017543859649,0.03508771929824561,0.07017543859649122,0.03508771929824561,0.03508771929824561,0.03508771929824561
#le-docteur,0.17543859649122806,0.21052631578947367,0.19298245614035087,1.6511867905056758,9.487719298245613,0.017543859649122806,0.10526315789473684,0.017543859649122806,0.017543859649122806,0.05263157894736842,0.07017543859649122,0.017543859649122806,0.03508771929824561,0.12280701754385964,0.05263157894736842,0.03508771929824561,55.017543859649116,0.03508771929824561,0.017543859649122806,0.017543859649122806,0.017543859649122806
#le-peuple,1.2008771929824562,5.921052631578948,0.38596491228070173,0.2729618163054696,0.17543859649122806,0.03508771929824561,0.21052631578947367,0.03508771929824561,0.03508771929824561,0.10526315789473684,0.14035087719298245,0.03508771929824561,0.07017543859649122,0.24561403508771928,7.605263157894737,0.07017543859649122,0.03508771929824561,53.07017543859649,0.03508771929824561,0.03508771929824561,0.03508771929824561
#le-pretre,0.17543859649122806,0.21052631578947367,0.19298245614035087,0.2982456140350877,0.08771929824561403,0.017543859649122806,0.10526315789473684,0.017543859649122806,0.017543859649122806,0.05263157894736842,0.07017543859649122,0.017543859649122806,0.03508771929824561,0.12280701754385964,0.05263157894736842,0.03508771929824561,0.017543859649122806,0.03508771929824561,55.017543859649116,0.017543859649122806,0.017543859649122806
#un-membre-de-la-suite-de-caïphe,3.875438596491229,0.21052631578947367,0.19298245614035087,0.2982456140350877,0.08771929824561403,0.017543859649122806,0.10526315789473684,0.017543859649122806,0.017543859649122806,0.05263157894736842,0.07017543859649122,0.017543859649122806,0.03508771929824561,0.12280701754385964,0.05263157894736842,0.03508771929824561,0.017543859649122806,0.03508771929824561,0.017543859649122806,55.017543859649116,0.017543859649122806
