VALEUR,#monsieur-le-comte,#la-france,#monsieur-dancourt,#madame-de-chanvallon,#monsieur-barry,#jodelet,#garguille,#spacamonte,#zerbinette,#mostelin,#isabelle,#cascaret,#tous-ensemble,#margot
Successions,#monsieur-le-comte,#la-france,#monsieur-dancourt,#madame-de-chanvallon,#monsieur-barry,#jodelet,#garguille,#spacamonte,#zerbinette,#mostelin,#isabelle,#cascaret,#tous-ensemble,#margot
#monsieur-le-comte,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-france,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-france,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-de-chanvallon,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-barry,0.0,0.0,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
#jodelet,0.0,0.0,0.0,0.023255813953488372,0.13953488372093023,0.0,0.046511627906976744,0.11627906976744186,0.4186046511627907,0.06976744186046512,0.13953488372093023,0.0,0.023255813953488372,0.023255813953488372
#garguille,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.45714285714285713,0.4857142857142857,0.0,0.02857142857142857,0.0,0.0,0.0
#spacamonte,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,0.48484848484848486,0.0,0.06060606060606061,0.18181818181818182,0.12121212121212122,0.0,0.0,0.0
#zerbinette,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.23076923076923078,0.046153846153846156,0.015384615384615385,0.13846153846153847,0.23076923076923078,0.03076923076923077,0.0,0.0
#mostelin,0.0,0.0,0.0,0.0,0.1,0.25,0.0,0.2,0.4,0.0,0.05,0.0,0.0,0.0
#isabelle,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.07407407407407407,0.14814814814814814,0.5555555555555556,0.07407407407407407,0.0,0.037037037037037035,0.0,0.0
#cascaret,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
#tous-ensemble,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#margot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
