VALEUR,#doraste,#panoppe,#le-paysan,#la-paysanne,#fauvye,#le-page,#agatocles,#conseiller,#androcle,#pilote,#pandoste,#le-prevot,#les-ambassadeurs
#androcle,0.37037037037037035,0.25925925925925924,0.25925925925925924,0.07407407407407407,0.48148148148148145,0.037037037037037035,7.111111111111111,11.574074074074076,25.03703703703704,0.037037037037037035,0.25925925925925924,0.1111111111111111,0.1111111111111111
#pilote,1.0703703703703706,2.1164021164021163,2.1164021164021163,0.07407407407407407,0.5584045584045586,0.037037037037037035,0.1111111111111111,0.07407407407407407,0.037037037037037035,25.03703703703704,0.25925925925925924,0.1111111111111111,0.1111111111111111
#pandoste,0.13544973544973543,1.8148148148148147,0.36583522297808,0.5185185185185185,0.04070004070004067,0.25925925925925924,0.7777777777777776,0.5185185185185185,0.25925925925925924,0.25925925925925924,14.814814814814815,1.9206349206349211,1.9206349206349211
#le-prevot,0.01111111111111112,0.7777777777777776,0.7777777777777776,0.2222222222222222,0.13675213675213674,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,1.9206349206349211,21.333333333333332,0.3333333333333333
#les-ambassadeurs,0.01111111111111112,0.7777777777777776,0.06349206349206356,0.2222222222222222,0.13675213675213674,0.1111111111111111,1.3333333333333337,0.2222222222222222,0.1111111111111111,0.1111111111111111,1.9206349206349211,0.3333333333333333,21.333333333333332
Successions,#doraste,#panoppe,#le-paysan,#la-paysanne,#fauvye,#le-page,#agatocles,#conseiller,#androcle,#pilote,#pandoste,#le-prevot,#les-ambassadeurs
#doraste,0.0,0.24074074074074073,0.0,0.0,0.5555555555555556,0.0,0.018518518518518517,0.0,0.0,0.05555555555555555,0.07407407407407407,0.037037037037037035,0.018518518518518517
#panoppe,0.7619047619047619,0.0,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-paysan,0.07142857142857142,0.2857142857142857,0.0,0.35714285714285715,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0
#la-paysanne,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#fauvye,0.5357142857142857,0.017857142857142856,0.05357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.017857142857142856,0.0
#le-page,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#agatocles,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.375,0.125,0.0,0.125,0.0,0.25
#conseiller,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#conseiller,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#pilote,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pandoste,0.2,0.0,0.02857142857142857,0.0,0.5714285714285714,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.08571428571428572,0.08571428571428572
#le-prevot,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
#les-ambassadeurs,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0
