VALEUR,#lisette,#eraste,#la-fleche,#mariane,#monsieur-bernard,#thibaut,#le-soldat,#monsieur-griffard,#le-marquis,#le-baron,#madame-bernard,#le-cousin,#la-cousine,#nicole,#dorante,#premier-houbereau,#deuxieme-houbereau,#troisieme-houbereau
#le-soldat,0.29411764705882354,0.08823529411764706,0.11764705882352941,0.11764705882352941,0.09529411764705878,0.3235294117647059,32.029411764705884,0.17647058823529413,0.17647058823529413,0.08823529411764706,0.20588235294117646,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705
#monsieur-griffard,1.7647058823529411,0.5294117647058824,0.7058823529411764,0.7058823529411764,0.5717647058823526,0.5775401069518714,0.1764705882352941,23.058823529411764,0.0032679738562091517,0.41830065359477125,1.2352941176470589,0.3529411764705882,0.1764705882352941,0.1764705882352941,0.1225490196078432,1.1862745098039218,1.1862745098039218,1.1862745098039218
#le-marquis,1.7647058823529411,0.5294117647058824,0.7058823529411764,0.7058823529411764,0.07843137254901952,0.5775401069518714,0.1764705882352941,0.0032679738562091517,23.058823529411764,11.529411764705882,0.47338935574229685,0.3529411764705882,0.1764705882352941,0.1764705882352941,0.7058823529411764,0.3529411764705882,0.3529411764705882,0.3529411764705882
#le-baron,0.8823529411764706,0.2647058823529412,0.3529411764705882,0.3529411764705882,0.019215686274509834,1.0918003565062384,0.08823529411764705,0.41830065359477125,11.529411764705882,28.264705882352942,0.23669467787114842,0.1764705882352941,0.08823529411764705,0.08823529411764705,0.3529411764705882,0.1764705882352941,0.1764705882352941,0.1764705882352941
#madame-bernard,0.5445378151260506,0.23669467787114842,0.037815126050420186,0.8235294117647058,0.6670588235294115,2.264705882352941,0.20588235294117646,1.2352941176470589,0.47338935574229685,0.23669467787114842,21.441176470588232,0.8403361344537816,3.063025210084034,0.20588235294117646,0.8235294117647058,0.4117647058823529,0.4117647058823529,0.4117647058823529
#le-cousin,0.28823529411764703,0.17647058823529413,0.23529411764705882,2.485294117647059,0.1505882352941177,0.6470588235294118,0.058823529411764705,0.35294117647058826,0.35294117647058826,0.17647058823529413,0.8403361344537816,30.11764705882353,15.058823529411764,0.058823529411764705,0.23529411764705882,0.11764705882352941,0.11764705882352941,0.11764705882352941
#la-cousine,0.29411764705882354,0.08823529411764706,0.11764705882352941,0.11764705882352941,0.09529411764705878,0.3235294117647059,0.029411764705882353,0.17647058823529413,0.17647058823529413,0.08823529411764706,3.063025210084034,15.058823529411764,32.029411764705884,0.029411764705882353,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705
#nicole,0.29411764705882354,0.08823529411764706,0.11764705882352941,0.11764705882352941,0.09529411764705878,0.3235294117647059,0.029411764705882353,0.17647058823529413,0.17647058823529413,0.08823529411764706,0.20588235294117646,0.058823529411764705,0.029411764705882353,32.029411764705884,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705
#dorante,1.1764705882352942,0.35294117647058826,0.47058823529411764,0.47058823529411764,0.3011764705882354,0.06684491978609627,0.11764705882352941,0.1225490196078431,0.7058823529411765,0.35294117647058826,0.8235294117647058,0.23529411764705882,0.11764705882352941,0.11764705882352941,26.470588235294116,13.235294117647058,13.235294117647058,13.235294117647058
#premier-houbereau,0.5882352941176471,0.17647058823529413,0.23529411764705882,0.23529411764705882,0.1505882352941177,0.6470588235294118,0.058823529411764705,1.1862745098039214,0.35294117647058826,0.17647058823529413,0.4117647058823529,0.11764705882352941,0.058823529411764705,0.058823529411764705,13.235294117647058,30.11764705882353,30.11764705882353,30.11764705882353
#premier-houbereau,0.5882352941176471,0.17647058823529413,0.23529411764705882,0.23529411764705882,0.1505882352941177,0.6470588235294118,0.058823529411764705,1.1862745098039214,0.35294117647058826,0.17647058823529413,0.4117647058823529,0.11764705882352941,0.058823529411764705,0.058823529411764705,13.235294117647058,30.11764705882353,30.11764705882353,30.11764705882353
#premier-houbereau,0.5882352941176471,0.17647058823529413,0.23529411764705882,0.23529411764705882,0.1505882352941177,0.6470588235294118,0.058823529411764705,1.1862745098039214,0.35294117647058826,0.17647058823529413,0.4117647058823529,0.11764705882352941,0.058823529411764705,0.058823529411764705,13.235294117647058,30.11764705882353,30.11764705882353,30.11764705882353
Successions,#lisette,#eraste,#la-fleche,#mariane,#monsieur-bernard,#thibaut,#le-soldat,#monsieur-griffard,#le-marquis,#le-baron,#madame-bernard,#le-cousin,#la-cousine,#nicole,#dorante,#premier-houbereau,#deuxieme-houbereau,#troisieme-houbereau
#lisette,0.03508771929824561,0.19298245614035087,0.08771929824561403,0.24561403508771928,0.22807017543859648,0.10526315789473684,0.0,0.017543859649122806,0.0,0.0,0.017543859649122806,0.07017543859649122,0.0,0.0,0.0,0.0,0.0,0.0
#eraste,0.43478260869565216,0.0,0.13043478260869565,0.17391304347826086,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-fleche,0.4,0.26666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mariane,0.56,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-bernard,0.08695652173913043,0.028985507246376812,0.036231884057971016,0.0,0.0,0.15942028985507245,0.036231884057971016,0.21014492753623187,0.08695652173913043,0.036231884057971016,0.10144927536231885,0.043478260869565216,0.0,0.028985507246376812,0.13043478260869565,0.007246376811594203,0.007246376811594203,0.0
#thibaut,0.15789473684210525,0.0,0.0,0.0,0.6842105263157895,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.02631578947368421,0.0,0.0,0.10526315789473684,0.0,0.0,0.0
#le-soldat,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-griffard,0.0,0.0,0.0,0.0,0.8709677419354839,0.06451612903225806,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0
#le-marquis,0.0,0.0,0.0,0.0,0.6086956521739131,0.043478260869565216,0.0,0.0,0.0,0.17391304347826086,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-baron,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-bernard,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.0,0.5238095238095238,0.0,0.0,0.0,0.19047619047619047,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0
#le-cousin,0.2727272727272727,0.0,0.0,0.3181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0
#la-cousine,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#le-soldat,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dorante,0.0,0.0,0.0,0.0,0.47058823529411764,0.14705882352941177,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.14705882352941177,0.11764705882352941
#premier-houbereau,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
#deuxieme-houbereau,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0,0.0
#troisieme-houbereau,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0
