VALEUR,#sulpice,#alcandre,#premier-paysan,#filipin,#mauricette,#constance,#helene,#licaste,#premier-soldat,#second-soldat,#soldat,#le-roi,#isabelle,#sabine,#paysan,#le-prince
#helene,0.0,0.45,0.08333333333333333,0.03333333333333332,0.8166666666666664,2.083333333333334,30.25,0.1666666666666667,0.08333333333333333,0.08333333333333333,0.16666666666666666,1.0,1.1666666666666667,0.3333333333333333,0.08333333333333333,0.25
#licaste,0.041666666666666706,1.6333333333333335,0.2222222222222222,0.27222222222222214,1.1111111111111112,1.8368055555555554,0.1666666666666667,21.77777777777778,2.7222222222222223,2.7222222222222223,5.444444444444445,0.6666666666666669,0.39682539682539686,0.8888888888888888,0.2222222222222222,0.6666666666666666
#premier-soldat,0.3333333333333333,0.4166666666666667,0.027777777777777776,0.2777777777777778,0.1388888888888889,0.4444444444444444,0.08333333333333333,2.7222222222222223,34.02777777777778,34.02777777777778,16.055555555555557,0.3333333333333333,0.3888888888888889,0.1111111111111111,0.027777777777777776,0.08333333333333333
#premier-soldat,0.3333333333333333,0.4166666666666667,0.027777777777777776,0.2777777777777778,0.1388888888888889,0.4444444444444444,0.08333333333333333,2.7222222222222223,34.02777777777778,34.02777777777778,16.055555555555557,0.3333333333333333,0.3888888888888889,0.1111111111111111,0.027777777777777776,0.08333333333333333
#soldat,0.6666666666666666,0.8333333333333334,0.05555555555555555,0.3555555555555555,0.2777777777777778,0.8888888888888888,0.16666666666666666,5.444444444444445,16.055555555555557,16.055555555555557,32.111111111111114,0.6666666666666666,0.7777777777777778,0.2222222222222222,0.05555555555555555,0.16666666666666666
#le-roi,0.25,0.8,0.3333333333333333,0.13333333333333328,0.06666666666666664,0.3333333333333332,1.0,0.6666666666666669,0.3333333333333333,0.3333333333333333,0.6666666666666666,16.0,0.38095238095238076,0.3333333333333334,0.3333333333333333,4.0
#isabelle,0.3809523809523814,0.004761904761904728,0.3888888888888888,0.31746031746031717,0.0015873015873015758,0.7936507936507932,1.1666666666666665,0.3968253968253966,0.3888888888888888,0.3888888888888888,0.7777777777777776,0.3809523809523814,13.444444444444445,3.8412698412698423,0.3888888888888888,2.880952380952382
#sabine,0.3333333333333334,0.2666666666666667,0.1111111111111111,0.01111111111111112,0.5555555555555556,1.7777777777777777,0.3333333333333333,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333334,3.841269841269842,28.444444444444443,0.1111111111111111,0.3333333333333333
#paysan,0.3333333333333333,0.4166666666666667,0.027777777777777776,0.2777777777777778,5.3388888888888895,0.4444444444444444,0.08333333333333333,0.2222222222222222,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.3333333333333333,0.3888888888888889,0.1111111111111111,34.02777777777778,0.08333333333333333
#le-prince,1.0,0.45,0.08333333333333333,1.6333333333333329,6.016666666666666,0.0833333333333333,0.25,0.6666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,4.0,2.8809523809523805,0.3333333333333333,0.08333333333333333,30.25
Successions,#sulpice,#alcandre,#premier-paysan,#filipin,#mauricette,#constance,#helene,#licaste,#premier-soldat,#second-soldat,#soldat,#le-roi,#isabelle,#sabine,#paysan,#le-prince
#sulpice,0.0,0.2786885245901639,0.0,0.4426229508196721,0.0,0.18032786885245902,0.0,0.0,0.0,0.0,0.0,0.04918032786885246,0.04918032786885246,0.0,0.0,0.0
#alcandre,0.19540229885057472,0.0,0.0,0.04597701149425287,0.0,0.42528735632183906,0.0,0.022988505747126436,0.0,0.0,0.0,0.011494252873563218,0.27586206896551724,0.0,0.0,0.022988505747126436
#premier-paysan,0.0,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#filipin,0.3373493975903614,0.060240963855421686,0.07228915662650602,0.0,0.12048192771084337,0.012048192771084338,0.0,0.1927710843373494,0.0,0.0,0.0,0.12048192771084337,0.04819277108433735,0.024096385542168676,0.0,0.012048192771084338
#mauricette,0.058823529411764705,0.058823529411764705,0.0,0.5294117647058824,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.23529411764705882,0.0
#constance,0.12903225806451613,0.3763440860215054,0.0,0.07526881720430108,0.0,0.010752688172043012,0.03225806451612903,0.053763440860215055,0.0,0.0,0.0,0.13978494623655913,0.17204301075268819,0.0,0.0,0.010752688172043012
#helene,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#licaste,0.0,0.07894736842105263,0.0,0.3684210526315789,0.0,0.15789473684210525,0.02631578947368421,0.0,0.0,0.02631578947368421,0.13157894736842105,0.18421052631578946,0.02631578947368421,0.0,0.0,0.0
#premier-soldat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#second-soldat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-soldat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-roi,0.03389830508474576,0.05084745762711865,0.0,0.1864406779661017,0.0,0.23728813559322035,0.0,0.1016949152542373,0.0,0.0,0.0,0.0,0.13559322033898305,0.0,0.01694915254237288,0.23728813559322035
#isabelle,0.029411764705882353,0.3235294117647059,0.0,0.058823529411764705,0.0,0.25,0.0,0.029411764705882353,0.0,0.0,0.0,0.11764705882352941,0.014705882352941176,0.14705882352941177,0.0,0.029411764705882353
#sabine,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.8333333333333334,0.0,0.0,0.0
#paysan,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-prince,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.75,0.05,0.0,0.0,0.0
