VALEUR,#hector,#nerine,#valere,#geronte,#toutabas,#angelique,#la-comtesse,#laquais,#le-marquis,#laquais-1er,#laquais-2nd,#laquais-3eme,#madame-la-ressource,#dorante,#madame-adam,#monsieur-galonier,#madame-adam #monsieur-galonier
#le-marquis,0.8449540655423007,1.1569313039901277,0.010078157136980681,2.1029411764705883,0.1911764705882353,0.4807692307692308,1.2684766214177974,0.1911764705882353,44.485294117647065,3.421945701357467,3.421945701357467,3.421945701357467,0.18325791855203616,2.485294117647059,0.1911764705882353,0.1911764705882353,0.1911764705882353
#laquais-1er,0.4852941176470588,0.3235294117647059,0.3235294117647059,0.16176470588235295,0.014705882352941176,0.25,0.17647058823529413,0.014705882352941176,3.421945701357467,66.01470588235296,0.014705882352941176,0.014705882352941176,0.11764705882352941,0.1911764705882353,0.014705882352941176,0.014705882352941176,0.014705882352941176
#laquais-2nd,0.4852941176470588,0.3235294117647059,0.3235294117647059,0.16176470588235295,0.014705882352941176,0.25,0.17647058823529413,0.014705882352941176,3.421945701357467,0.014705882352941176,66.01470588235296,0.014705882352941176,0.11764705882352941,0.1911764705882353,0.014705882352941176,0.014705882352941176,0.014705882352941176
#laquais-3eme,0.4852941176470588,0.3235294117647059,0.3235294117647059,0.16176470588235295,0.014705882352941176,0.25,0.17647058823529413,0.014705882352941176,3.421945701357467,0.014705882352941176,0.014705882352941176,66.01470588235296,0.11764705882352941,0.1911764705882353,0.014705882352941176,0.014705882352941176,0.014705882352941176
#madame-la-ressource,0.003565062388591802,2.247326203208556,0.13368983957219255,1.2941176470588236,0.11764705882352941,8.0,0.2450980392156862,0.11764705882352941,0.18325791855203616,0.11764705882352941,0.11764705882352941,0.11764705882352941,52.94117647058823,7.875565610859729,0.11764705882352941,0.11764705882352941,0.11764705882352941
#dorante,0.8449540655423007,5.464623611682435,2.443644590703414,0.0050390785684903405,0.1911764705882353,4.326923076923077,0.03770739064856719,0.1911764705882353,2.485294117647059,0.1911764705882353,0.1911764705882353,0.1911764705882353,7.875565610859729,44.485294117647065,0.1911764705882353,0.1911764705882353,0.1911764705882353
#madame-adam,0.5459001782531193,0.3235294117647059,1.414438502673797,0.16176470588235295,0.014705882352941176,0.25,0.17647058823529413,0.014705882352941176,0.1911764705882353,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.11764705882352941,0.1911764705882353,66.01470588235296,66.01470588235296,66.01470588235296
#madame-adam,0.5459001782531193,0.3235294117647059,1.414438502673797,0.16176470588235295,0.014705882352941176,0.25,0.17647058823529413,0.014705882352941176,0.1911764705882353,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.11764705882352941,0.1911764705882353,66.01470588235296,66.01470588235296,66.01470588235296
#madame-adam,0.5459001782531193,0.3235294117647059,1.414438502673797,0.16176470588235295,0.014705882352941176,0.25,0.17647058823529413,0.014705882352941176,0.1911764705882353,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.11764705882352941,0.1911764705882353,66.01470588235296,66.01470588235296,66.01470588235296
Successions,#hector,#nerine,#valere,#geronte,#toutabas,#angelique,#la-comtesse,#laquais,#le-marquis,#laquais-1er,#laquais-2nd,#laquais-3eme,#madame-la-ressource,#dorante,#madame-adam,#monsieur-galonier,#madame-adam #monsieur-galonier
