VALEUR,#chapelle,#un-seigneur,#ninon,#tous,#un-valet,#saint-alban,#laforet,#moliere,#corneille,#la-fontaine,#boileau,#racine,#le-prince,#un-page
#moliere,0.6944444444444444,0.013888888888888888,0.003787878787878788,0.013888888888888888,0.013888888888888888,0.25,3.0,6.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.75,0.6805555555555556,1.0416666666666667
#corneille,0.16666666666666666,0.08333333333333333,0.5681818181818182,2.0833333333333335,2.0833333333333335,0.16666666666666666,0.5,0.16666666666666666,9.0,4.5,4.5,4.5,6.75,2.25
#la-fontaine,2.0833333333333335,0.375,0.2840909090909091,0.375,0.375,0.08333333333333333,0.0,0.08333333333333333,4.5,12.25,12.25,2.25,1.0416666666666667,0.125
#la-fontaine,2.0833333333333335,0.375,0.2840909090909091,0.375,0.375,0.08333333333333333,0.0,0.08333333333333333,4.5,12.25,12.25,2.25,1.0416666666666667,0.125
#racine,0.08333333333333333,0.375,0.2840909090909091,1.0416666666666667,1.0416666666666667,0.75,0.0,0.75,4.5,2.25,2.25,12.25,1.0416666666666667,0.125
#le-prince,0.013888888888888888,0.3402777777777778,0.42613636363636365,3.673611111111111,3.673611111111111,0.6805555555555556,1.5,0.6805555555555556,6.75,1.0416666666666667,1.0416666666666667,1.0416666666666667,10.5625,3.5208333333333335
#un-page,0.375,3.5208333333333335,0.14204545454545456,3.5208333333333335,3.5208333333333335,1.0416666666666667,0.5,1.0416666666666667,2.25,0.125,0.125,0.125,3.5208333333333335,14.0625
Successions,#chapelle,#un-seigneur,#ninon,#tous,#un-valet,#saint-alban,#laforet,#moliere,#corneille,#la-fontaine,#boileau,#racine,#le-prince,#un-page
#chapelle,0.0,0.2,0.65,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
#un-seigneur,0.4,0.0,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ninon,0.15853658536585366,0.06097560975609756,0.012195121951219513,0.024390243902439025,0.012195121951219513,0.18292682926829268,0.08536585365853659,0.3048780487804878,0.024390243902439025,0.04878048780487805,0.012195121951219513,0.036585365853658534,0.036585365853658534,0.0
#tous,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-valet,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
#saint-alban,0.06,0.0,0.32,0.0,0.0,0.0,0.32,0.12,0.06,0.02,0.0,0.0,0.06,0.04
#laforet,0.0,0.027777777777777776,0.2222222222222222,0.0,0.0,0.4444444444444444,0.0,0.3055555555555556,0.0,0.0,0.0,0.0,0.0,0.0
#moliere,0.0,0.0,0.6046511627906976,0.0,0.0,0.11627906976744186,0.27906976744186046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#corneille,0.0,0.0,0.2857142857142857,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0
#la-fontaine,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
#boileau,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
#racine,0.16666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
#le-prince,0.0,0.0,0.125,0.125,0.0,0.5,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0
#un-page,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
