VALEUR,#elisabeth,#le-comte-d-essex,#alix,#le-capitaine-des-gardes,#le-comte-de-soubtantonne,#le-capitaine,#cecile,#le-comte-de-salisbury,#madame-cecile,#raleig,#popham,#l-huissier,#leonore
#l-huissier,0.44708994708994715,0.3333333333333333,0.25925925925925924,0.037037037037037035,0.18518518518518517,0.07407407407407407,0.14814814814814814,0.037037037037037035,0.2962962962962963,0.18518518518518517,0.037037037037037035,25.03703703703704,0.07407407407407407
#leonore,0.8941798941798943,0.6666666666666666,0.44708994708994715,0.07407407407407407,0.37037037037037035,0.14814814814814814,0.2962962962962963,0.07407407407407407,0.5925925925925926,0.37037037037037035,0.07407407407407407,0.07407407407407407,23.148148148148152
Successions,#elisabeth,#le-comte-d-essex,#alix,#le-capitaine-des-gardes,#le-comte-de-soubtantonne,#le-capitaine,#cecile,#le-comte-de-salisbury,#madame-cecile,#raleig,#popham,#l-huissier,#leonore
#elisabeth,0.075,0.1,0.2,0.025,0.125,0.0,0.05,0.025,0.225,0.0,0.0,0.05,0.125
#le-comte-d-essex,0.11764705882352941,0.0,0.0,0.0,0.14705882352941177,0.14705882352941177,0.058823529411764705,0.0,0.35294117647058826,0.08823529411764706,0.08823529411764706,0.0,0.0
#alix,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-capitaine-des-gardes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-comte-de-soubtantonne,0.3333333333333333,0.3333333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.2,0.0,0.0,0.0
#le-capitaine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cecile,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.125,0.0,0.0,0.0
#le-capitaine-des-gardes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-cecile,0.375,0.4583333333333333,0.041666666666666664,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
#raleig,0.14285714285714285,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#popham,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
#le-capitaine-des-gardes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leonore,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
