VALEUR,#arcas,#danaüs,#hypermnestre,#le-choeur,#un-du-choeur,#l-ombre,#le-choeur-des-matelots,#lyncee,#hypermnestre #lyncee,#le-grand-pretre,#un-paysan,#une-bergere,#hyypermnestre,#choeur-des-fils-d-egyptus,#l-egyptien,#choeur-des-argiens
#l-egyptien,0.1111111111111111,0.5,0.24747474747474738,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.6944444444444445,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,16.055555555555557,16.055555555555557
Successions,#arcas,#danaüs,#hypermnestre,#le-choeur,#un-du-choeur,#l-ombre,#le-choeur-des-matelots,#lyncee,#hypermnestre #lyncee,#le-grand-pretre,#un-paysan,#une-bergere,#hyypermnestre,#choeur-des-fils-d-egyptus,#l-egyptien,#choeur-des-argiens
#arcas,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
#danaüs,0.18181818181818182,0.0,0.5454545454545454,0.0,0.0,0.06060606060606061,0.0,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#hypermnestre,0.02857142857142857,0.5142857142857142,0.05714285714285714,0.02857142857142857,0.0,0.0,0.02857142857142857,0.34285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
#un-du-choeur,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-ombre,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur-des-matelots,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lyncee,0.0,0.25,0.5416666666666666,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
#le-choeur-des-matelots,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-grand-pretre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-paysan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-du-choeur,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-paysan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-grand-pretre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-grand-pretre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur-des-argiens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
