VALEUR,#calander,#lyzidor,#pyrocle,#bazyle,#dametas,#pamele,#gynecie,#phyloclee,#zelmane,#amphyale,#lycas,#cecropie,#soldats,#le-prevot,#courrier
#cecropie,0.32432432432432434,1.0810810810810811,0.8648648648648649,1.0810810810810811,0.7567567567567567,1.2972972972972974,1.0810810810810811,0.30785472972972977,1.2972972972972974,8.52364864864865,0.32432432432432434,29.43243243243243,0.21621621621621623,0.10810810810810811,0.10810810810810811
#soldats,0.16216216216216217,0.39054054054054044,0.43243243243243246,0.5405405405405406,0.37837837837837834,0.19031531531531526,0.5405405405405406,0.02111486486486485,0.19031531531531526,1.4076576576576574,0.16216216216216217,0.21621621621621623,33.108108108108105,0.05405405405405406,0.05405405405405406
#le-prevot,0.08108108108108109,0.2702702702702703,0.21621621621621623,0.2702702702702703,0.18918918918918917,1.4076576576576574,0.2702702702702703,0.7449324324324323,1.4076576576576574,0.16216216216216217,0.08108108108108109,0.10810810810810811,0.05405405405405406,35.02702702702703,0.02702702702702703
#courrier,10.414414414414413,1.9702702702702701,2.8412162162162162,1.9702702702702701,0.18918918918918917,1.4076576576576574,1.9702702702702701,0.7449324324324323,0.32432432432432434,0.16216216216216217,0.08108108108108109,0.10810810810810811,0.05405405405405406,0.02702702702702703,35.02702702702703
Successions,#calander,#lyzidor,#pyrocle,#bazyle,#dametas,#pamele,#gynecie,#phyloclee,#zelmane,#amphyale,#lycas,#cecropie,#soldats,#le-prevot,#courrier
#calander,0.0,0.5,0.3888888888888889,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555
#lyzidor,0.2,0.0,0.08,0.08,0.04,0.02,0.04,0.02,0.38,0.12,0.0,0.02,0.0,0.0,0.0
#pyrocle,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.11904761904761904,0.023809523809523808,0.023809523809523808,0.2619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#bazyle,0.04,0.02,0.2,0.02,0.14,0.08,0.26,0.04,0.2,0.0,0.0,0.0,0.0,0.0,0.0
#dametas,0.0,0.05405405405405406,0.1891891891891892,0.1891891891891892,0.02702702702702703,0.16216216216216217,0.05405405405405406,0.02702702702702703,0.08108108108108109,0.0,0.21621621621621623,0.0,0.0,0.0,0.0
#pamele,0.0,0.08333333333333333,0.0,0.08333333333333333,0.2222222222222222,0.0,0.08333333333333333,0.3611111111111111,0.027777777777777776,0.0,0.1388888888888889,0.0,0.0,0.0,0.0
#gynecie,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.1891891891891892,0.08108108108108109,0.08108108108108109,0.0,0.08108108108108109,0.40540540540540543,0.02702702702702703,0.0,0.0,0.0,0.0,0.0
#phyloclee,0.0,0.014285714285714285,0.15714285714285714,0.04285714285714286,0.02857142857142857,0.15714285714285714,0.04285714285714286,0.0,0.3,0.014285714285714285,0.02857142857142857,0.18571428571428572,0.014285714285714285,0.014285714285714285,0.0
#zelmane,0.0,0.26582278481012656,0.0,0.12658227848101267,0.0379746835443038,0.0379746835443038,0.16455696202531644,0.3037974683544304,0.012658227848101266,0.0,0.0379746835443038,0.0,0.012658227848101266,0.0,0.0
#amphyale,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.7,0.03333333333333333,0.0,0.0
#lycas,0.0,0.0,0.0,0.05555555555555555,0.2777777777777778,0.3333333333333333,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
#cecropie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.05555555555555555,0.5833333333333334,0.0,0.027777777777777776,0.0,0.0,0.0
#soldats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
#le-prevot,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#courrier,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
