VALEUR,#colin,#nicolas,#claudine,#gros-jean,#grand-françois,#le-juge,#le-greffier,#tous-ensemble,#bertrand,#marion,#le-vielleux,#un-choeur-de-paysans,#un-autre-choeur
#marion,0.0,0.29761904761904756,0.1285714285714286,0.8571428571428571,0.22857142857142854,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.3214285714285715,3.5714285714285716,1.7857142857142858,1.7857142857142858,1.7857142857142858
#le-vielleux,0.0,0.023809523809523826,0.7142857142857143,0.42857142857142855,0.11428571428571427,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,1.7857142857142858,5.142857142857144,5.142857142857144,5.142857142857144
#le-vielleux,0.0,0.023809523809523826,0.7142857142857143,0.42857142857142855,0.11428571428571427,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,1.7857142857142858,5.142857142857144,5.142857142857144,5.142857142857144
#le-vielleux,0.0,0.023809523809523826,0.7142857142857143,0.42857142857142855,0.11428571428571427,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,1.7857142857142858,5.142857142857144,5.142857142857144,5.142857142857144
Successions,#colin,#nicolas,#claudine,#gros-jean,#grand-françois,#le-juge,#le-greffier,#tous-ensemble,#bertrand,#marion,#le-vielleux,#un-choeur-de-paysans,#un-autre-choeur
#colin,0.010309278350515464,0.44329896907216493,0.12371134020618557,0.041237113402061855,0.12371134020618557,0.17525773195876287,0.010309278350515464,0.0,0.030927835051546393,0.0,0.041237113402061855,0.0,0.0
#nicolas,0.86,0.0,0.02,0.02,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#claudine,0.5882352941176471,0.11764705882352941,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0
#gros-jean,0.2916666666666667,0.08333333333333333,0.0,0.0,0.5833333333333334,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#grand-françois,0.2619047619047619,0.047619047619047616,0.047619047619047616,0.38095238095238093,0.0,0.047619047619047616,0.0,0.0,0.16666666666666666,0.023809523809523808,0.0,0.0,0.023809523809523808
#le-juge,0.7083333333333334,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0
#le-greffier,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous-ensemble,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#bertrand,0.25,0.0,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#marion,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-vielleux,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
#tous-ensemble,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-autre-choeur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
