VALEUR,#merlin,#monsieur-grasset,#monsieur-la-montagne,#lisette,#gillette,#sotencour,#mathieu-crochet,#geronte,#leonore,#valere,#le-baron,#les-masques,#une-bergere,#le-choeur
#lisette,0.46551724137931033,0.0,0.0,0.0,0.034482758620689655,0.2413793103448276,0.05172413793103448,0.017241379310344827,0.10344827586206896,0.034482758620689655,0.05172413793103448,0.0,0.0,0.0
#gillette,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
#sotencour,0.15151515151515152,0.0,0.0,0.25757575757575757,0.045454545454545456,0.0,0.12121212121212122,0.18181818181818182,0.0,0.030303030303030304,0.21212121212121213,0.0,0.0,0.0
#mathieu-crochet,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#geronte,0.04,0.0,0.0,0.0,0.08,0.36,0.0,0.0,0.08,0.08,0.36,0.0,0.0,0.0
#leonore,0.35714285714285715,0.0,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.21428571428571427,0.0,0.0,0.0,0.0
#valere,0.2,0.0,0.0,0.1,0.0,0.2,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0
#le-baron,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.7037037037037037,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
#les-masques,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#les-masques,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
