VALEUR,#le-sergent,#clitandre,#crispin,#guillemin,#angelique,#fillon,#madame-pernelle,#crassin,#la-comtesse,#robichon,#le-chevalier,#chonchon,#la-marquise,#monsieur-guillemin
#crispin,0.0,0.11016949152542373,0.025423728813559324,0.00847457627118644,0.00847457627118644,0.059322033898305086,0.00847457627118644,0.09322033898305085,0.2033898305084746,0.1271186440677966,0.0423728813559322,0.19491525423728814,0.09322033898305085,0.025423728813559324
#guillemin,0.0,0.0,0.125,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#angelique,0.0,0.10638297872340426,0.06382978723404255,0.14893617021276595,0.0,0.48936170212765956,0.19148936170212766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#fillon,0.0,0.11864406779661017,0.1694915254237288,0.0,0.3898305084745763,0.0,0.2033898305084746,0.0,0.0847457627118644,0.0,0.0,0.0,0.0,0.03389830508474576
#madame-pernelle,0.0,0.0,0.06451612903225806,0.0,0.3548387096774194,0.2903225806451613,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,0.0,0.1935483870967742
#crassin,0.0,0.14285714285714285,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0
#la-comtesse,0.0,0.0,0.7586206896551724,0.0,0.0,0.2413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#robichon,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0
#le-chevalier,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#chonchon,0.0,0.07407407407407407,0.8888888888888888,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-chevalier,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-guillemin,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.2727272727272727,0.45454545454545453,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0
