VALEUR,#abner,#joad,#josabet,#choeur,#zacharie,#salomith,#agar,#athalie,#mathan,#joas,#nabal,#azarias,#ismael,#levites
#agar,0.17142857142857143,0.4857142857142857,0.42857142857142855,0.20000000000000004,0.08571428571428572,0.14285714285714285,33.02857142857143,3.2000000000000006,0.20000000000000004,0.17142857142857143,0.08571428571428572,0.05714285714285714,0.05714285714285714,0.05714285714285714
#athalie,6.533333333333332,0.5764705882352941,1.3333333333333333,1.4000000000000001,0.6,1.0,3.200000000000001,22.399999999999995,0.257142857142857,0.03333333333333332,0.6,0.39999999999999997,0.9000000000000004,0.39999999999999997
#mathan,0.03333333333333332,1.6941176470588235,1.3333333333333333,0.11428571428571435,0.2666666666666667,1.0,0.19999999999999998,0.257142857142857,22.399999999999995,1.2,9.6,0.39999999999999997,0.39999999999999997,0.39999999999999997
#joas,0.0007936507936507881,0.404481792717087,0.07142857142857152,0.03333333333333339,0.5142857142857142,0.023809523809523826,0.17142857142857143,0.03333333333333339,1.2000000000000002,24.028571428571432,0.5142857142857142,1.2595238095238095,1.2595238095238095,0.34285714285714286
#nabal,0.5142857142857142,0.14341736694677867,1.2857142857142856,0.2666666666666665,0.2571428571428571,0.42857142857142855,0.08571428571428572,0.6000000000000001,9.599999999999998,0.5142857142857142,29.257142857142863,0.17142857142857143,0.17142857142857143,0.17142857142857143
#azarias,0.34285714285714286,1.0890756302521007,0.023809523809523826,0.8999999999999999,0.17142857142857143,0.2857142857142857,0.05714285714285714,0.4000000000000001,0.4000000000000001,1.2595238095238095,0.17142857142857143,31.114285714285714,6.864285714285714,0.11428571428571428
#ismael,0.34285714285714286,1.0890756302521007,0.8571428571428571,0.4000000000000001,0.17142857142857143,0.2857142857142857,0.05714285714285714,0.8999999999999999,0.4000000000000001,1.2595238095238095,0.17142857142857143,6.864285714285714,31.114285714285714,0.11428571428571428
#levites,0.34285714285714286,1.0890756302521007,0.023809523809523826,0.4000000000000001,0.17142857142857143,0.2857142857142857,0.05714285714285714,0.4000000000000001,0.4000000000000001,0.34285714285714286,0.17142857142857143,0.11428571428571428,0.11428571428571428,31.114285714285714
Successions,#abner,#joad,#josabet,#choeur,#zacharie,#salomith,#agar,#athalie,#mathan,#joas,#nabal,#azarias,#ismael,#levites
#abner,0.0,0.52,0.04,0.0,0.0,0.0,0.0,0.32,0.12,0.0,0.0,0.0,0.0,0.0
#joad,0.1935483870967742,0.04838709677419355,0.3064516129032258,0.04838709677419355,0.016129032258064516,0.0,0.0,0.08064516129032258,0.03225806451612903,0.1935483870967742,0.0,0.04838709677419355,0.016129032258064516,0.016129032258064516
#josabet,0.038461538461538464,0.28846153846153844,0.019230769230769232,0.038461538461538464,0.1346153846153846,0.019230769230769232,0.0,0.19230769230769232,0.11538461538461539,0.09615384615384616,0.019230769230769232,0.019230769230769232,0.0,0.019230769230769232
#choeur,0.0,0.06153846153846154,0.03076923076923077,0.8307692307692308,0.0,0.046153846153846156,0.0,0.0,0.015384615384615385,0.015384615384615385,0.0,0.0,0.0,0.0
#zacharie,0.0,0.0,0.46153846153846156,0.0,0.0,0.46153846153846156,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
#salomith,0.0,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.36363636363636365,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#agar,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#athalie,0.1875,0.08333333333333333,0.1875,0.0,0.0,0.0,0.020833333333333332,0.0,0.0625,0.4375,0.0,0.0,0.020833333333333332,0.0
#mathan,0.14285714285714285,0.14285714285714285,0.23809523809523808,0.047619047619047616,0.047619047619047616,0.0,0.0,0.14285714285714285,0.047619047619047616,0.0,0.19047619047619047,0.0,0.0,0.0
#joas,0.0,0.28205128205128205,0.1794871794871795,0.0,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0
#nabal,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
#azarias,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ismael,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
#azarias,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
