VALEUR,#le-vicomte,#mezzetin,#le-laqauis,#la-veuve,#isabelle,#colombine,#pierrot,#brocantin,#isabelle #colombine,#le-fiacre,#pasquariel,#arlequin,#le-docteur,#monsieur-bassinet
Successions,#le-vicomte,#mezzetin,#le-laqauis,#la-veuve,#isabelle,#colombine,#pierrot,#brocantin,#isabelle #colombine,#le-fiacre,#pasquariel,#arlequin,#le-docteur,#monsieur-bassinet
#le-vicomte,0.04918032786885246,0.13114754098360656,0.01639344262295082,0.19672131147540983,0.0,0.5245901639344263,0.0,0.0,0.0,0.06557377049180328,0.01639344262295082,0.0,0.0,0.0
#mezzetin,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0
#le-laqauis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-laqauis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#isabelle,0.0,0.0,0.0,0.017543859649122806,0.0,0.2807017543859649,0.12280701754385964,0.19298245614035087,0.0,0.0,0.0,0.03508771929824561,0.0,0.3508771929824561
#colombine,0.39285714285714285,0.011904761904761904,0.0,0.0,0.17857142857142858,0.011904761904761904,0.2261904761904762,0.13095238095238096,0.0,0.0,0.0,0.047619047619047616,0.0,0.0
#pierrot,0.0,0.02631578947368421,0.0,0.0,0.3157894736842105,0.42105263157894735,0.0,0.23684210526315788,0.0,0.0,0.0,0.0,0.0,0.0
#brocantin,0.0,0.0,0.0,0.0,0.21739130434782608,0.21739130434782608,0.2391304347826087,0.0,0.043478260869565216,0.0,0.0,0.2608695652173913,0.0,0.021739130434782608
#isabelle #colombine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-fiacre,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-laqauis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#arlequin,0.0,0.021739130434782608,0.0,0.0,0.0,0.13043478260869565,0.0,0.2608695652173913,0.0,0.0,0.0,0.021739130434782608,0.5217391304347826,0.043478260869565216
#le-docteur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.04,0.0
#monsieur-bassinet,0.0,0.0,0.0,0.0,0.8695652173913043,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.08695652173913043,0.0,0.0
