Pièce,Perso principal,genre,Première apparition,Fréquence(scène),Fréquence(répliques),Confrontation
anonyme-deroute-des-precieuses,#l-amour,Mascarade,TODO,0.16666666666666666,0.0,0.0
anonyme-dialogue-des-yeux-et-de-la-bouche,#les-yeux,Dialogue,TODO,1.0,0.0,0.5
anonyme-dialogue-rousseau-voltaire,#voltaire,Comédie,TODO,1.0,0.5714285714285714,0.5
anonyme-dialogue-sur-les-vacances,#clement,Dialogue,TODO,1.0,0.09090909090909091,0.14285714285714285
anonyme-jeu-d-esmoree,#robert,Drame,TODO,0.4444444444444444,0.0,0.19642857142857142
anonyme-jus-du-pelerin,#le-pelerin,Comédie,TODO,1.0,0.0,0.14285714285714285
anonyme-le-normand-et-le-gascon,#le-gascon,Dialogue,TODO,1.0,0.42105263157894735,0.5
anonyme-matinee-comedien-francais,#belval,Proverbe,TODO,1.0,0.0,0.38235294117647056
anonyme-melisse,#melisse,Tragi-comédie,TODO,0.5714285714285714,0.27868045297882815,0.21
anonyme-ouverture-de-la-seance,#eugene,Dialogue,TODO,0.5,0.0,0.14285714285714285
anonyme-pardonneur,#le-pardonneur,Farce,TODO,1.0,0.48036253776435045,0.375
anonyme-pont-aux-anes,#le-mari,Farce,TODO,1.0,0.5522875816993464,0.5
anonyme-portier-du-parnasse,#apollon,Comédie,TODO,0.9565217391304348,0.0,0.3548387096774194
anonyme-prix-d-un-moment,#louis,Comédie,TODO,1.0,0.2875816993464052,0.3
anonyme-reception-argenson,#le-genie-universel,Compliment,TODO,0.6666666666666666,0.0,0.09523809523809523
anonyme-resurrection-du-sauveur,#pilate,Drame liturgique,TODO,0.6666666666666666,0.0,0.19696969696969696
anonyme-resurrection-jenin-landore,#la-femme,Farce,TODO,1.0,0.15671641791044777,0.25
anonyme-sauvages-civilises,#otambo,Opéra,TODO,0.5,0.17278617710583152,0.09539473684210527
anonyme-serail-de-de-lys,#alcibiade,Comédie,TODO,1.0,0.5733333333333334,0.5
anonyme-sermon-joyeux,#le-precheur,Farce,TODO,1.0,0.6475409836065574,0.5
anonyme-vierges-folles-vierges-sages,#des-femmes,Drame liturgique,TODO,1.0,0.0,0.047619047619047616
anonyme-voila-bien-le-diable,#monsieur-pot-de-vin,Comédie,TODO,0.6666666666666666,0.525,0.13333333333333333
anonyme-zelamire,#germain,Comédie,TODO,0.625,0.26216814159292035,0.23076923076923078
anseaume-cendrillon,#cendrillon,Comédie,TODO,0.6666666666666666,0.2648539778449144,0.14583333333333334
anseaume-chinois,#zaïde,Intermède,TODO,1.0,0.22508591065292097,0.2413793103448276
anseaume-ressource-comique,#le-chevalier,Comédie,TODO,0.4074074074074074,0.0,0.1792452830188679
anseaume-tableau-parlant,#colombine,Comédie-parade,TODO,0.6666666666666666,0.27144120247568526,0.22727272727272727
arago-mademoiselle-lange,#julie,Vaudeville,TODO,0.7777777777777778,0.2191780821917808,0.2708333333333333
archambault-ce-n-est-pas,#janot,Proverbe,TODO,0.6956521739130435,0.0,0.11864406779661017
archambault-comedie-a-l-impromptu,#frontin,Comédie,TODO,0.9230769230769231,0.13333333333333333,0.15693430656934307
archambault-etrennes,#monsieur-de-saint-franc,Comédie,TODO,0.5238095238095238,0.3684895833333333,0.21428571428571427
archambault-hurlubrelu,#hurlubrelu,Comédie,TODO,0.7857142857142857,0.0,0.27450980392156865
archambault-janot-battus,#ragot,Proverbe,TODO,0.7727272727272727,1.0,0.28703703703703703
archambault-janot-degraisseur,#madame-simon,Proverbe,TODO,0.7058823529411765,0.0,0.24509803921568626
archambault-jocrisse-change,#jocrisse,Comédie,TODO,0.7272727272727273,0.0,0.21232876712328766
archambault-on-fait-ce-qu-on-peut,#franville,Proverbe,TODO,1.0,0.0,0.38235294117647056
aristophane-guepes,#bdelikleon,Comédie,TODO,0.75,0.0,0.23404255319148937
armand-cri-nature,#suzon,Comédie,TODO,0.7857142857142857,0.2135054617676266,0.16901408450704225
arnault-horatius-cocles,#horace,Acte lyrique,TODO,1.0,0.329153605015674,0.2169811320754717
arnault-lucrece,#sextus,Tragédie,TODO,0.5,0.28454172366621067,0.0755813953488372
artaud-centenaire-moliere,#momus,Comédie,TODO,0.76,0.17376681614349776,0.23333333333333334
aubignac-pucelle-prose,#le-comte,Tragédie,TODO,0.6875,0.0,0.16544117647058823
aubignac-pucelle,#le-comte,Tragédie,TODO,0.65625,0.19189511323003575,0.14625850340136054
aude-ecole-tragique,#cadet,Comédie,TODO,0.5862068965517241,0.21451104100946372,0.12827225130890052
audiffret-albert-durer,#durer,Pièce,TODO,0.5333333333333333,0.15789473684210525,0.1875
audiffret-comedie-au-chateau,#dolicard,Comédie,TODO,1.0,0.15151515151515152,0.2714285714285714
audinot-musicomanie,#le-baron,Comédie,TODO,0.8235294117647058,0.0,0.25
auger-mort-de-caton,#caton,Tragédie,TODO,0.5757575757575758,0.29811507936507936,0.2230769230769231
aure-dipne,#trophime,Tragédie,TODO,0.39285714285714285,0.08949933540097474,0.13068181818181818
aure-genevieve-69,#sifroy,Tragédie,TODO,0.4411764705882353,0.26277056277056277,0.2
aure-genevieve-70,#sifroy,Tragédie,TODO,0.4230769230769231,0.1696362286562732,0.12698412698412698
baculard-coligni,#hamilton,Tragédie,TODO,0.5333333333333333,0.3202668890742285,0.10365853658536585
balzac-vautrin,#vautrin,Drame,TODO,0.45901639344262296,0.0,0.13157894736842105
banville-feuilleton-d-aristophane,#aristophane,Comédie,TODO,0.9,0.26605504587155965,0.30405405405405406
banville-la-perle,#cleopatre,Comédie,TODO,0.8333333333333334,0.534521158129176,0.45
banville-le-beau-leandre,#leandre,Comédie,TODO,0.875,0.45098039215686275,0.35714285714285715
banville-les-fourberies-de-nerine,#scapin,Comédie,TODO,0.6666666666666666,0.5549872122762148,0.5
baptiste-du-moutier-mascara-de-foire-saint-germain,#trois-ramoneurs,Mascarade,TODO,0.2,0.2857142857142857,0.0
barante-arlequin-misanthrope,#arlequin,Comédie,TODO,0.9130434782608695,0.5,0.21578947368421053
barante-dufresny-fees,#octave,Comédie,TODO,0.42857142857142855,0.0,0.12222222222222222
barante-dufresny-pasquin-marforio,#pasquin,Comédie,TODO,0.7,0.3859275053304904,0.23846153846153847
barante-la-fontaine-de-sapience,#lisette,Comédie,TODO,0.875,0.013888888888888888,0.234375
barbier-faucon,#federic,Comédie,TODO,0.6666666666666666,0.3074626865671642,0.29411764705882354
barbier-mort-de-cesar,#brutus,Tragédie,TODO,0.42105263157894735,0.20677361853832443,0.21052631578947367
barbier-ombre-de-moliere,#mercure,Intermède,TODO,0.75,0.2463768115942029,0.3
baro-celinde,#celinde,Tragi-comédie,TODO,0.36666666666666664,0.0,0.1178343949044586
baro-clarimonde,#clarimonde,Tragi-comédie,TODO,0.5384615384615384,0.27193460490463217,0.17567567567567569
baro-clorise,#alidor,Tragi-comédie,TODO,0.5555555555555556,0.32026817947395564,0.16891891891891891
baro-parthenie,#alexandre,Tragi-comédie,TODO,0.6666666666666666,0.38553530751708426,0.23529411764705882
baro-prince-fugitif,#archestrate,Tragi-comédie,TODO,0.52,0.21626733921815888,0.1509433962264151
baro-saint-eustache,#teopiste,Tragédie,TODO,0.4782608695652174,0.21514423076923078,0.15263157894736842
barquebois-rapiniere,#jasmin,Comédie,TODO,0.5,0.14594843462246776,0.14375
barre-despres-piis-resnier-l-opera-de-province,#adelaïde,Parodie,TODO,0.5789473684210527,0.3131970260223048,0.17543859649122806
barre-radet-candide,#justin,Vaudeville,TODO,0.4375,0.15504807692307693,0.07142857142857142
barre-radet-desfontaines-colombine-mannequin,#gilles,Comédie-parade,TODO,0.6842105263157895,0.17275747508305647,0.23863636363636365
barre-radet-desfontaines-marige-de-scarron,#scarron,Vaudeville,TODO,0.6538461538461539,0.39634146341463417,0.1694915254237288
barriere-le-bout-d-elan-de-l-amour,#henri,Causerie,TODO,1.0,0.375,0.3333333333333333
barriere-le-jardinier-et-son-seigneur,#maclou,Opéra comique,TODO,0.6,0.11989795918367346,0.1276595744680851
barthe-amateur,#damon,Comédie,TODO,0.7058823529411765,0.3428943937418514,0.3333333333333333
bary-de-l-adresse,#lycante,Dialogue,TODO,1.0,0.0,0.5
bary-de-l-ajustement,#phenice,Dialogue,TODO,1.0,0.0,0.5
bary-de-l-art-de-se-faire-aimer,#flocille,Dialogue,TODO,1.0,0.0,0.3333333333333333
bary-de-l-entrevue-amoureuse,#le-prince,Dialogue,TODO,1.0,0.0,0.5
bary-de-l-entrevue-politique,#le-ministre-de-france,Dialogue,TODO,1.0,0.0,0.5
bary-de-l-exhortation,#l-abbe,Dialogue,TODO,1.0,0.0,0.5
bary-de-l-exil,#teracene,Dialogue,TODO,1.0,0.0,0.5
bary-de-l-inclination-bizarre,#almane,Dialogue,TODO,1.0,0.0,0.5
bary-de-l-indulgence,#emilian,Dialogue,TODO,1.0,0.0,0.5
bary-de-la-belle-resistance,#poleonte,Dialogue,TODO,1.0,0.0,0.5
bary-de-la-belle-taille,#celimente,Dialogue,TODO,1.0,0.0,0.5
bary-de-la-campagne,#polymonde,Dialogue,TODO,1.0,0.0,0.5
bary-de-la-ceremonie,#le-capitaine,Dialogue,TODO,1.0,0.0,0.25
bary-de-la-colere,#berine,Dialogue,TODO,1.0,0.0,0.5
bary-de-la-contrariete,#lysete,Dialogue,TODO,1.0,0.0,0.5
bary-de-la-curiosite,#une-dame,Dialogue,TODO,1.0,0.0,0.3333333333333333
bary-de-la-danse,#arcandre,Dialogue,TODO,1.0,0.0,0.5
bary-de-la-discretion,#crisomire,Dialogue,TODO,1.0,0.0,0.5
bary-de-la-dissimulation,#belise,Dialogue,TODO,1.0,0.0,0.3333333333333333
bary-de-la-feintise,#cesarion,Dialogue,TODO,1.0,0.0,0.25
bary-de-la-guerre,#artabale,Dialogue,TODO,1.0,0.0,0.5
bary-de-la-memoire,#arsace,Dialogue,TODO,1.0,0.0,0.5
bary-de-la-pudeur,#flavie,Dialogue,TODO,1.0,0.0,0.5
bary-de-la-raillerie,#tyfon,Dialogue,TODO,1.0,0.0,0.5
bary-de-la-roture,#messene,Dialogue,TODO,1.0,0.0,0.5
bary-de-la-simplicite-des-habits,#cypassis,Dialogue,TODO,1.0,0.0,0.5
bary-de-libre-abord,#tyrene,Dialogue,TODO,1.0,0.0,0.5
bary-des-beaux-cheveux,#alcipe,Dialogue,TODO,1.0,0.0,0.5
bary-des-beaux-yeux,#radamire,Dialogue,TODO,1.0,0.0,0.5
bary-des-belles-mains,#heroide,Dialogue,TODO,1.0,0.0,0.5
bary-des-fleurs,#tyrene,Dialogue,TODO,1.0,0.0,0.5
bary-des-fontaines-et-des-ruisseaux,#theodate,Dialogue,TODO,1.0,0.0,0.5
bary-des-tailles-contestees,#polixene,Dialogue,TODO,1.0,0.0,0.5
bary-des-vendanges,#theotyme,Dialogue,TODO,1.0,0.0,0.5
bary-du-badinage,#octavie,Dialogue,TODO,1.0,0.0,0.5
bary-du-bal,#carile,Dialogue,TODO,1.0,0.0,0.5
bary-du-beau-rendezvous,#lucine,Dialogue,TODO,1.0,0.0,0.5
bary-du-beau-sein,#tyrisias,Dialogue,TODO,1.0,0.0,0.5
bary-du-bel-esprit,#filandre,Dialogue,TODO,1.0,0.0,0.5
bary-du-bon-office,#tybaide,Dialogue,TODO,1.0,0.0,0.5
bary-du-comperage,#lysias,Dialogue,TODO,1.0,0.0,0.5
bary-du-compliment,#agesile,Dialogue,TODO,1.0,0.0,0.5
bary-du-cours,#ibere,Dialogue,TODO,1.0,0.0,0.5
bary-du-duel,#theonice,Dialogue,TODO,1.0,0.0,0.3333333333333333
bary-du-festin,#myssene,Dialogue,TODO,1.0,0.0,0.3333333333333333
bary-du-mauvais-choix,#adallas,Dialogue,TODO,1.0,0.0,0.5
bary-du-proces,#sulpicie,Dialogue,TODO,1.0,0.0,0.5
bary-du-retour-des-esprits,#clelie,Dialogue,TODO,1.0,0.0,0.3333333333333333
bary-du-roman,#mendose,Dialogue,TODO,1.0,0.0,0.3333333333333333
bayart-romieu-moliere-au-theatre,#moliere,Comédie,TODO,0.6923076923076923,0.3735926305015353,0.16417910447761194
beaumarchais-autre-tartuffe,#begearss,Drame,TODO,0.4507042253521127,0.0,0.1531791907514451
beaumarchais-barbier-de-seville,#bartholo,Comédie,TODO,0.5909090909090909,0.09448818897637795,0.211340206185567
beaunoir-amour-queteur,#l-amour,Comédie,TODO,0.7058823529411765,0.0,0.19767441860465115
beaunoir-cacophonie,#lucette,Comédie,TODO,0.45,0.0,0.14912280701754385
beaunoir-libellistes,#rothenberg,Drame,TODO,0.46511627906976744,0.0,0.1590909090909091
beaunoir-prince-ramoneur,#barogo,Comédie,TODO,0.7931034482758621,0.0,0.2111111111111111
beaunoir-sculpteur,#susanne,Comédie,TODO,0.6842105263157895,0.0,0.24285714285714285
beaunoir-venus,#venus,Comédie,TODO,0.7,0.0,0.2857142857142857
becque-corbeaux,#madame-vigneron,Drame,TODO,0.5869565217391305,0.0,0.19714285714285715
becque-domino-a-quatre,#blanchard,Comédie,TODO,1.0,0.0,0.2631578947368421
becque-enlevement,#emma,Comédie,TODO,0.5909090909090909,0.0,0.21428571428571427
becque-execution,#le-maire,Comédie,TODO,1.0,0.0,0.5
becque-les-honnetes-femmes,#madame-chevalier,Comédie,TODO,0.8,0.0,0.34615384615384615
becque-veuve,#clotilde,Comédie,TODO,1.0,0.0,0.3333333333333333
beissier-antigone,#hemon,Scène lyrique,TODO,1.0,0.44881889763779526,0.25
beissier-chasseurs-et-l-ours,#guignol,Comédie,TODO,0.8,0.0,0.3
beissier-docteur-cornibus,#guignol,Comédie,TODO,0.8888888888888888,0.0,0.5
beissier-guignol-en-enfer,#guignol,Comédie,TODO,1.0,1.0,0.3888888888888889
beissier-guignol-et-la-cabaretiere,#guignol,Comédie,TODO,0.875,0.5,0.29411764705882354
beissier-l-oiseau-bleu,#kou-mia,Saynète,TODO,0.875,0.0,0.35714285714285715
beissier-la-nuit-de-noel,#madame-de-lucenay,Saynète,TODO,0.8,0.0,0.35714285714285715
beissier-les-deux-pigeonnes,#jeannette,Saynète,TODO,0.75,0.0,0.5
beissier-les-noces-de-guignol,#guignol,Comédie,TODO,0.7,0.0,0.1728395061728395
beissier-locataire,#guignol,Comédie,TODO,0.8333333333333334,0.6666666666666666,0.2647058823529412
beissier-ma-soeur-claire,#nanon,Comédie,TODO,0.8,0.0,0.24
beissier-proprietaire-et-locataire,#guignol,Comédie,TODO,0.8333333333333334,0.6666666666666666,0.25
beissier-un-bon-placement,#berthe,Comédie,TODO,1.0,0.0,0.42857142857142855
benserade-cleopatre,#cleopatre,Tragédie,TODO,0.4074074074074074,0.25263157894736843,0.17708333333333334
benserade-mort-achille,#achille,Tragédie,TODO,0.5454545454545454,0.2572544642857143,0.18421052631578946
bergasse-journee-des-dupes,#la-peyrouse,Tragi-comédie,TODO,0.34615384615384615,0.0,0.08522727272727272
bergeret-l-album,#monsieur-verrieres,Comédie,TODO,0.55,0.0,0.2111111111111111
bernard-brutus,#brutus,Tragédie,TODO,0.3888888888888889,0.21814791796146674,0.20454545454545456
bernard-laodamie,#la-reine,Tragédie,TODO,0.525,0.2980900409276944,0.28125
bernardc-madame-de-vauldenaie,#barberin,Comédie,TODO,0.8064516129032258,0.37777777777777777,0.296875
bernardt-antoinette,#le-regisseur,Saynète,TODO,1.0,0.0,0.07142857142857142
bernardt-daisy,#charley,Pièce,TODO,0.75,0.8,0.23076923076923078
bernardt-deux-pecheurs,#deuxieme-pecheur,Comédie,TODO,1.0,0.0,0.5
bernardt-dramaturge-en-plein-labeur,#l-auteur,Comédie,TODO,1.0,0.0,0.5
bernardt-ecole-du-piston,#robert,Comédie,TODO,0.7,0.0,0.1896551724137931
bernardt-etrangleuse,#florestine,Pièce,TODO,0.8,0.24,0.2777777777777778
bernardt-garcon-de-dix-huit-ans,#prosper,Saynète,TODO,1.0,0.0,0.25
bernardt-homme-a-la-maison,#le-capitaine,Comédie,TODO,1.0,0.0,0.25
bernardt-je-vais-m-en-aller,#henri,Pièce,TODO,1.0,0.0,0.5
bernardt-la-petite-femme-de-loth,#melech,Pièce,TODO,0.75,0.2018140589569161,0.14917127071823205
bernardt-le-cambrioleur,#lafrappe,Saynète,TODO,0.6666666666666666,1.0,0.16666666666666666
bernardt-le-radeau-de-la-meduse,#olga,Comédie,TODO,0.6,0.0,0.07692307692307693
bernardt-le-seul-bandit-de-village,#arsene,Vaudeville,TODO,0.8,0.0,0.25
bernardt-maison-du-crime,#le-serrurier,Comédie,TODO,1.0,0.0,0.3333333333333333
bernardt-mystere,#roseleur,Comédie,TODO,1.0,0.0,0.16666666666666666
bernardt-narcotique,#madame-domas,Comédie,TODO,1.0,0.0,0.35714285714285715
bernardt-operation-magistrale,#julien,Comédie,TODO,1.0,0.0,0.16666666666666666
bernardt-partie-de-bridge,#dergos,Comédie,TODO,1.0,0.0,0.14285714285714285
bernardt-pieds-nickeles,#alain,Comédie,TODO,0.9166666666666666,0.0,0.35365853658536583
bernardt-plaisirs-du-dimanche,#larcadier,Comédie,TODO,1.0,0.0,0.25
bernardt-pretendant,#madame-racosse,Pièce,TODO,1.0,0.0,0.125
bernardt-sacoche,#emile,Pièce,TODO,1.0,0.3090909090909091,0.25
berquin-l-incendie,#adrien,Comédie,TODO,0.5625,0.0,0.22727272727272727
berquin-la-petite-glaneuse,#emilie,Comédie,TODO,0.7777777777777778,0.0,0.23076923076923078
berquin-la-vanite-punie,#valentin,Comédie,TODO,0.7058823529411765,0.0,0.17142857142857143
berquin-le-conge,#eugenie,Comédie,TODO,0.7,0.0,0.1693548387096774
berquin-le-deserteur,#la-terreur,Comédie,TODO,0.7142857142857143,0.0,0.15246636771300448
berquin-un-bon-coeur-fait-pardonner,#marianne,Comédie,TODO,0.6666666666666666,0.0,0.25
bertaut-le-jugement-de-job-et-d-uranie,#la-critique,Comédie,TODO,0.6666666666666666,0.40425531914893614,0.1282051282051282
bertin-d-andilly-l-anglais-a-paris,#porter,Comédie,TODO,0.9523809523809523,0.0,0.34
berton-homme-qui-a-tue-la-mort,#gauvain,Pièce dramatique,TODO,0.75,0.0,0.2
beys-celine,#celine,Tragi-comédie,TODO,0.6190476190476191,0.16655694535878868,0.15053763440860216
beze-abraham,#abraham,Tragédie,TODO,0.6153846153846154,0.37857142857142856,0.2857142857142857
biancolelli-ecole-galante,#arlequin,Comédie,TODO,0.375,0.26490066225165565,0.1511627906976744
biancolelli-riccoboni-romagnesi-comediens-esclaves,#acmet,Prologue,TODO,1.0,0.0,0.1527777777777778
biancolleli-enfants-trouves,#temire,Parodie,TODO,0.7058823529411765,0.27168576104746317,0.2727272727272727
biancollelli-agnes-de-chaillot,#le-bailly,Parodie,TODO,0.7272727272727273,0.3691275167785235,0.30303030303030304
biancollelli-arlequin-gentilhomme,#le-docteur,Comédie,TODO,0.43137254901960786,0.13205351948807445,0.1125
biancollelli-foire-galante,#arlequin,Comédie,TODO,0.56,0.43026706231454004,0.21774193548387097
biancollelli-oedipe-travesti,#trivelin,Parodie,TODO,0.6923076923076923,0.28114478114478114,0.23214285714285715
biancollelli-romagnesi-arcagambis,#arcagambis,Tragédie,TODO,0.7272727272727273,0.3415977961432507,0.2777777777777778
biancollelli-romagnesi-bonne-femme,#hypermnestre,Parodie,TODO,0.6111111111111112,0.3204819277108434,0.20212765957446807
bideau-de-montigny-semiramis,#l-interet,Parodie,TODO,0.5333333333333333,0.19865319865319866,0.12857142857142856
bievre-seducteur,#le-marquis,Comédie,TODO,0.631578947368421,0.40798922800718135,0.19696969696969696
bievre-vercingentorixe,#sylvie,Tragédie,TODO,0.7142857142857143,0.23161764705882354,0.13157894736842105
biez-le-premier-billet,#juliette,Monologue,TODO,1.0,0.0,0.3333333333333333
bilhaud-gustave,#gaston,Comédie,TODO,1.0,0.0,0.5
billard-pleureur-malgre-lui,#monsieur-jovial,Comédie,TODO,1.0,0.5206786850477201,0.2826086956521739
billardon-de-sauvigny-hirza,#hirza,Tragédie,TODO,0.5,0.2820919175911252,0.18292682926829268
billardon-de-sauvigny-vashington,#washington,Tragédie,TODO,0.4444444444444444,0.14850746268656717,0.15
bizet-boites,#subtil,Comédie-vaudeville,TODO,0.5294117647058824,0.44052863436123346,0.1810344827586207
blanc-druides,#emirene,Tragédie,TODO,0.6111111111111112,0.2838063439065108,0.265625
blemont-moliere-auteuil,#moliere,Comédie,TODO,0.875,0.3726851851851852,0.2692307692307692
blemont-moliere-en-bonne-fortune,#moliere,Prologue,TODO,0.8888888888888888,0.36023054755043227,0.1736111111111111
blemont-petite-rosange,#corneille,Poème,TODO,1.0,0.24498567335243554,0.18548387096774194
blemont-valade-barbier-de-moliere,#moliere,Comédie,TODO,0.9,0.37237237237237236,0.17346938775510204
bodard-de-tezay-arlequin-roi-dans-la-lune,#arlequin,Comédie,TODO,0.9047619047619048,1.0,0.22077922077922077
bohaire-jesus-christ,#jesus,Tragédie,TODO,0.2982456140350877,0.2116991643454039,0.20930232558139536
bohaire-siege-de-paris,#pothier,Tragédie,TODO,0.4074074074074074,0.21075581395348839,0.22
boileau-heros-de-roman,#minos,Dialogue des morts,TODO,1.0,0.0,0.05263157894736842
boisrobert-amant-ridicule,#leandre,Comédie,TODO,1.0,0.25757575757575757,0.29411764705882354
boisrobert-belle-invisible,#don-carlos,Tragi-comédie,TODO,0.5675675675675675,0.2987736900780379,0.20481927710843373
boisrobert-cassandre,#cassandre,Tragi-comédie,TODO,0.5,0.32578685808945335,0.1896551724137931
boisrobert-rivaux-amis,#liliane,Tragi-comédie,TODO,0.4444444444444444,0.11068909386869234,0.14361702127659576
boissy-apologie-du-siecle,#momus,Comédie,TODO,0.7142857142857143,0.31689088191330345,0.5
boissy-auteur-supersticieux,#arlequin,Comédie,TODO,0.875,0.1440922190201729,0.3333333333333333
boissy-babillard,#leandre,Comédie,TODO,0.8125,0.46029173419773095,0.16233766233766234
boissy-comte-de-neuilly,#lucie,Comédie héroïque,TODO,0.3333333333333333,0.11559778305621536,0.13333333333333333
boissy-critique-auteur-supersticieux,#arlequin,Comédie,TODO,0.47058823529411764,0.05725490196078432,0.21428571428571427
boissy-dehors-trompeurs,#le-baron,Comédie,TODO,0.5510204081632653,0.31290322580645163,0.22839506172839505
boissy-francais-a-londres,#le-marquis,Comédie,TODO,0.4074074074074074,0.0,0.21052631578947367
boissy-frivolite,#la-frivolite,Comédie,TODO,1.0,0.2895377128953771,0.3055555555555556
boissy-homme-du-jour,#le-baron,Comédie,TODO,0.58,0.31411439114391143,0.23809523809523808
boissy-je-ne-sais-quoi,#arlequin,Comédie,TODO,0.6666666666666666,0.2158703071672355,0.30434782608695654
boissy-medecin-par-occasion,#montval,Comédie,TODO,0.5476190476190477,0.23746397694524496,0.22
boissy-plagiaire,#le-baron,Comédie,TODO,0.5151515151515151,0.2626070409134158,0.2
boissy-rival-favorable,#marton,Comédie,TODO,0.5,0.1682013505217925,0.20625
boissy-vie-est-un-songe,#sigismond,Comédie héroïque,TODO,0.5172413793103449,0.4153082919914954,0.24358974358974358
bonhomme-anicroche,#beaucornet,Charade,TODO,0.9,1.0,0.26666666666666666
bonnetain-apres-le-divorce,#rene,Comédie,TODO,1.0,0.0,0.35714285714285715
borde-gentilhomme-campagnard,#la-baronne,Proverbe,TODO,1.0,0.0,0.2111111111111111
bornier-le-monde-renverse,#ernest,Comédie,TODO,0.8333333333333334,0.4121338912133891,0.5
bornier-quinze-janvier,#le-poete,À propos,TODO,1.0,0.2765151515151515,0.5
boucher-champagne-le-coiffeur,#cleandre,Comédie,TODO,0.6923076923076923,0.15625,0.19672131147540983
bouchor-michel-lando,#michel,Drame,TODO,0.5849056603773585,0.31224899598393574,0.08743633276740238
bouilly-descartes,#descartes,Trait historique,TODO,0.6551724137931034,0.0,0.19101123595505617
boursault-comedie-sans-titre,#oronte,Comédie,TODO,0.96875,0.2596253902185224,0.29473684210526313
boursault-deux-freres-gemeaux,#jacinte,Comédie,TODO,0.48214285714285715,0.1425800193986421,0.1810810810810811
boursault-esope,#esope,Comédie héroïque,TODO,0.7692307692307693,0.5360586193598149,0.27380952380952384
boursault-fete-de-la-seine,#l-ocean,Ballet,TODO,1.0,0.143646408839779,0.06204379562043796
boursault-germanicus,#agrippine,Tragédie,TODO,0.85,0.40388548057259716,0.3387096774193548
boursault-jaloux-endormi,#spadarille,Comédie,TODO,0.8666666666666667,0.5112994350282486,0.2625
