VALEUR,#icile,#sextus,#tarquin,#arons,#collatin,#spurius,#lucrece,#brutus,#valerius,#albin,#mutius,#horace,#les-conjures
#sextus,0.4077669902912621,0.019417475728155338,0.04854368932038835,0.0,0.0,0.0,0.2912621359223301,0.23300970873786409,0.0,0.0,0.0,0.0,0.0
#tarquin,0.16666666666666666,0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#arons,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#collatin,0.0,0.04,0.0,0.04,0.04,0.56,0.32,0.0,0.0,0.0,0.0,0.0,0.0
#spurius,0.0,0.0,0.0,0.0,0.7222222222222222,0.0,0.2222222222222222,0.0,0.05555555555555555,0.0,0.0,0.0,0.0
#lucrece,0.057692307692307696,0.5384615384615384,0.0,0.0,0.19230769230769232,0.057692307692307696,0.09615384615384616,0.057692307692307696,0.0,0.0,0.0,0.0,0.0
#brutus,0.0,0.7333333333333333,0.0,0.0,0.0,0.03333333333333333,0.13333333333333333,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.03333333333333333
#valerius,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0
#albin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
#mutius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
#horace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0
#les-conjures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
