VALEUR,#le-prince,#moron,#milord,#la-servante,#le-tailleur,#le-coiffeur,#le-maitre-d-hotel,#la-presidente,#mademoiselle-pouf,#v,#le-tailleur #le-coiffeur,#l-hotesse,#le-pirnce,#milady,#le-notaire,#mmoron,#la-baronne,#tous-les-acteurs,#un-officier-de-justice,#l-officier-de-justice,#le-maitre-d-hotel #le-tailleur #le-coiffeur
#v,0.1556756756756757,0.12577962577962573,1.1975051975051976,10.414414414414413,4.328828828828828,2.354354354354354,1.6609336609336605,1.6609336609336605,5.535135135135135,35.02702702702703,35.02702702702703,0.08108108108108109,0.02702702702702703,0.18918918918918917,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.02702702702702703
#l-hotesse,0.0003603603603603648,0.3773388773388771,1.0540540540540542,0.24324324324324326,0.542042042042042,2.2112112112112103,4.982800982800981,1.3767403767403767,0.8720720720720717,0.08108108108108109,0.08108108108108109,31.24324324324324,0.08108108108108109,0.5675675675675675,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.16216216216216217,0.08108108108108109
#le-pirnce,0.1556756756756757,0.12577962577962573,0.35135135135135137,0.08108108108108109,0.16216216216216217,0.24324324324324326,1.6609336609336605,0.2972972972972973,0.13513513513513514,0.02702702702702703,0.02702702702702703,0.08108108108108109,35.02702702702703,0.18918918918918917,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.02702702702702703
#milady,1.0897297297297297,0.7485892485892488,0.11880011880011872,0.5675675675675675,0.016087516087516077,0.05190905190905185,0.5616005616005616,0.0031590031590031636,0.003088803088803076,0.18918918918918917,0.18918918918918917,0.5675675675675675,0.18918918918918917,24.324324324324323,0.18918918918918917,3.4749034749034737,3.4749034749034737,3.4749034749034737,3.4749034749034737,1.021235521235521,0.18918918918918917
#le-notaire,0.6756756756756757,0.12577962577962573,0.35135135135135137,0.08108108108108109,0.16216216216216217,0.24324324324324326,0.2972972972972973,1.6609336609336605,0.13513513513513514,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.02702702702702703,0.18918918918918917,35.02702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.02702702702702703
#mmoron,0.1556756756756757,0.7027027027027027,0.35135135135135137,0.08108108108108109,0.16216216216216217,0.24324324324324326,0.2972972972972973,1.6609336609336605,0.13513513513513514,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.02702702702702703,3.4749034749034737,0.02702702702702703,35.02702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.02702702702702703
#la-baronne,0.1556756756756757,0.12577962577962573,1.1975051975051976,0.08108108108108109,4.328828828828828,2.354354354354354,1.6609336609336605,1.6609336609336605,5.535135135135135,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.02702702702702703,3.4749034749034737,0.02702702702702703,0.02702702702702703,35.02702702702703,35.02702702702703,35.02702702702703,16.554054054054053,0.02702702702702703
#la-baronne,0.1556756756756757,0.12577962577962573,1.1975051975051976,0.08108108108108109,4.328828828828828,2.354354354354354,1.6609336609336605,1.6609336609336605,5.535135135135135,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.02702702702702703,3.4749034749034737,0.02702702702702703,0.02702702702702703,35.02702702702703,35.02702702702703,35.02702702702703,16.554054054054053,0.02702702702702703
#la-baronne,0.1556756756756757,0.12577962577962573,1.1975051975051976,0.08108108108108109,4.328828828828828,2.354354354354354,1.6609336609336605,1.6609336609336605,5.535135135135135,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.02702702702702703,3.4749034749034737,0.02702702702702703,0.02702702702702703,35.02702702702703,35.02702702702703,35.02702702702703,16.554054054054053,0.02702702702702703
#l-officier-de-justice,0.3113513513513514,0.25155925155925146,0.12577962577962573,0.16216216216216217,8.657657657657657,4.708708708708708,3.321867321867321,0.27641277641277634,1.9702702702702701,0.05405405405405406,0.05405405405405406,0.16216216216216217,0.05405405405405406,1.021235521235521,0.05405405405405406,0.05405405405405406,16.554054054054053,16.554054054054053,16.554054054054053,33.108108108108105,16.554054054054053
#le-maitre-d-hotel #le-tailleur #le-coiffeur,0.1556756756756757,0.12577962577962573,0.35135135135135137,0.08108108108108109,4.328828828828828,2.354354354354354,1.6609336609336605,0.2972972972972973,0.13513513513513514,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.02702702702702703,0.18918918918918917,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,16.554054054054053,35.02702702702703
Successions,#le-prince,#moron,#milord,#la-servante,#le-tailleur,#le-coiffeur,#le-maitre-d-hotel,#la-presidente,#mademoiselle-pouf,#v,#le-tailleur #le-coiffeur,#l-hotesse,#le-pirnce,#milady,#le-notaire,#mmoron,#la-baronne,#tous-les-acteurs,#un-officier-de-justice,#l-officier-de-justice,#le-maitre-d-hotel #le-tailleur #le-coiffeur
#le-prince,0.007142857142857143,0.32142857142857145,0.05714285714285714,0.0,0.014285714285714285,0.07142857142857142,0.05,0.20714285714285716,0.02142857142857143,0.0,0.007142857142857143,0.007142857142857143,0.0,0.22142857142857142,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143
#moron,0.45217391304347826,0.0,0.017391304347826087,0.008695652173913044,0.017391304347826087,0.02608695652173913,0.08695652173913043,0.25217391304347825,0.02608695652173913,0.008695652173913044,0.0,0.0,0.0,0.09565217391304348,0.008695652173913044,0.0,0.0,0.0,0.0,0.0,0.0
#milord,0.38461538461538464,0.07692307692307693,0.038461538461538464,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-servante,0.0,0.09090909090909091,0.6363636363636364,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-tailleur,0.17391304347826086,0.08695652173913043,0.043478260869565216,0.0,0.0,0.08695652173913043,0.5217391304347826,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-coiffeur,0.21212121212121213,0.06060606060606061,0.0,0.0,0.30303030303030304,0.0,0.24242424242424243,0.030303030303030304,0.0,0.0,0.0,0.09090909090909091,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-maitre-d-hotel,0.10344827586206896,0.2413793103448276,0.06896551724137931,0.05172413793103448,0.05172413793103448,0.15517241379310345,0.017241379310344827,0.13793103448275862,0.08620689655172414,0.0,0.0,0.034482758620689655,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
#la-presidente,0.3333333333333333,0.37037037037037035,0.024691358024691357,0.0,0.024691358024691357,0.0,0.024691358024691357,0.0,0.1111111111111111,0.0,0.0,0.012345679012345678,0.0,0.037037037037037035,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.0,0.0
#mademoiselle-pouf,0.045454545454545456,0.18181818181818182,0.0,0.0,0.09090909090909091,0.18181818181818182,0.3181818181818182,0.09090909090909091,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0
#v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-hotesse,0.0,0.125,0.0,0.0,0.125,0.125,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pirnce,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#milady,0.625,0.22916666666666666,0.0,0.0,0.0,0.041666666666666664,0.0,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pirnce,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mmoron,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mmoron,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-officier-de-justice,0.2,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-maitre-d-hotel #le-tailleur #le-coiffeur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
