VALEUR,#monsieur-de-hauteroche,#mademoiselle-poisson,#le-baron,#le-poete,#bidache,#godenesche,#saint-georges,#monsieur-de-floridor,#mademoiselle-de-beauchasteau,#tous-les-comediens,#mademoiselle-de-brecourt,#scapin,#le-marquis,#agathe,#un-violon,#le-vieillard,#la-servante
#saint-georges,0.05844155844155843,0.10227272727272725,0.05844155844155843,0.2045454545454545,0.18181818181818182,0.36363636363636365,7.363636363636362,0.009090909090909097,1.1136363636363635,0.18181818181818182,3.681818181818181,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
#monsieur-de-floridor,0.01038961038961037,0.3681818181818183,0.21038961038961046,0.5113636363636361,0.4545454545454546,0.009090909090909073,0.009090909090909073,3.2727272727272734,1.3090909090909089,0.6545454545454544,0.6545454545454544,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.6545454545454544,0.6545454545454544
#mademoiselle-de-beauchasteau,0.05844155844155843,0.10227272727272725,0.4155844155844156,0.2045454545454545,0.18181818181818182,0.36363636363636365,1.1136363636363635,1.3090909090909089,7.363636363636362,0.18181818181818182,3.681818181818181,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
#tous-les-comediens,0.2077922077922078,0.36363636363636365,0.6363636363636364,0.10227272727272725,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.6545454545454544,0.18181818181818182,9.09090909090909,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
#mademoiselle-de-brecourt,0.2077922077922078,1.1136363636363635,0.2077922077922078,0.10227272727272725,0.09090909090909091,0.18181818181818182,3.681818181818181,0.6545454545454544,3.681818181818181,0.09090909090909091,9.09090909090909,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
#scapin,0.2077922077922078,0.36363636363636365,0.6363636363636364,0.10227272727272725,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.09090909090909091,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,0.09090909090909091,0.09090909090909091
#scapin,0.2077922077922078,0.36363636363636365,0.6363636363636364,0.10227272727272725,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.09090909090909091,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,0.09090909090909091,0.09090909090909091
#scapin,0.2077922077922078,0.36363636363636365,0.6363636363636364,0.10227272727272725,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.09090909090909091,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,0.09090909090909091,0.09090909090909091
#scapin,0.2077922077922078,0.36363636363636365,0.6363636363636364,0.10227272727272725,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.09090909090909091,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,0.09090909090909091,0.09090909090909091
#le-vieillard,0.2077922077922078,0.36363636363636365,0.2077922077922078,0.10227272727272725,0.09090909090909091,3.681818181818181,0.18181818181818182,0.6545454545454544,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,9.09090909090909,9.09090909090909
#le-vieillard,0.2077922077922078,0.36363636363636365,0.2077922077922078,0.10227272727272725,0.09090909090909091,3.681818181818181,0.18181818181818182,0.6545454545454544,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,9.09090909090909,9.09090909090909
Successions,#monsieur-de-hauteroche,#mademoiselle-poisson,#le-baron,#le-poete,#bidache,#godenesche,#saint-georges,#monsieur-de-floridor,#mademoiselle-de-beauchasteau,#tous-les-comediens,#mademoiselle-de-brecourt,#scapin,#le-marquis,#agathe,#un-violon,#le-vieillard,#la-servante
#monsieur-de-hauteroche,0.0,0.35294117647058826,0.20588235294117646,0.3235294117647059,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mademoiselle-poisson,0.4583333333333333,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-baron,0.27586206896551724,0.2413793103448276,0.0,0.2413793103448276,0.0,0.13793103448275862,0.0,0.034482758620689655,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-poete,0.16,0.04,0.12,0.013333333333333334,0.013333333333333334,0.28,0.04,0.24,0.013333333333333334,0.013333333333333334,0.02666666666666667,0.013333333333333334,0.0,0.0,0.013333333333333334,0.0,0.013333333333333334
#bidache,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#godenesche,0.037037037037037035,0.0,0.1111111111111111,0.7777777777777778,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#saint-georges,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-de-floridor,0.07692307692307693,0.038461538461538464,0.0,0.7307692307692307,0.0,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
#mademoiselle-de-beauchasteau,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#bidache,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mademoiselle-de-brecourt,0.2,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#scapin,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.5416666666666666,0.0,0.0,0.0
#le-marquis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,0.47368421052631576,0.0,0.0,0.0
#agathe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5909090909090909,0.4090909090909091,0.0,0.0,0.0,0.0
#bidache,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-vieillard,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
#la-servante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
