VALEUR,#precieuse,#la-vieille,#le-poete,#don-jean,#le-capitaine,#andres,#l-egyptien,#hipolite,#le-prevot,#un-archer,#isabelle,#ferdinand,#un-de-la-troupe,#le-senechal
#l-egyptien,0.05844155844155843,0.009090909090909097,7.363636363636362,0.24242424242424243,0.24242424242424243,0.0009469696969696953,29.12121212121212,0.30303030303030304,0.18181818181818182,0.06060606060606061,0.30303030303030304,0.30303030303030304,0.06060606060606061,0.06060606060606061
#hipolite,0.43896103896103883,0.7127272727272725,0.9090909090909092,0.6060606060606061,0.25606060606060604,0.13674242424242422,0.30303030303030304,23.757575757575754,5.254545454545454,4.751515151515152,0.7575757575757576,0.7575757575757576,0.15151515151515152,0.15151515151515152
#le-prevot,0.43290043290043295,0.09696969696969691,0.5454545454545454,0.36363636363636365,7.363636363636362,0.14204545454545456,0.18181818181818182,5.254545454545454,27.272727272727277,9.09090909090909,0.4545454545454546,0.6545454545454544,9.09090909090909,9.09090909090909
#un-archer,0.2077922077922078,0.6545454545454544,0.18181818181818182,0.12121212121212122,6.371212121212121,0.5473484848484849,0.06060606060606061,4.751515151515152,9.09090909090909,31.03030303030303,0.15151515151515152,0.15151515151515152,0.030303030303030304,0.030303030303030304
#isabelle,0.21038961038961046,0.2327272727272729,0.9090909090909092,0.6060606060606061,0.6060606060606061,0.8367424242424244,0.30303030303030304,0.7575757575757576,0.4545454545454546,0.15151515151515152,23.757575757575754,13.877575757575755,0.15151515151515152,0.15151515151515152
#ferdinand,0.01038961038961037,0.03272727272727267,0.9090909090909092,0.6060606060606061,0.25606060606060604,0.8367424242424244,0.30303030303030304,0.7575757575757576,0.6545454545454544,0.15151515151515152,13.877575757575755,23.757575757575754,4.751515151515152,4.751515151515152
#un-de-la-troupe,0.6363636363636364,0.45454545454545453,0.18181818181818182,0.12121212121212122,6.371212121212121,0.48484848484848486,0.06060606060606061,0.15151515151515152,9.09090909090909,0.030303030303030304,0.15151515151515152,4.751515151515152,31.03030303030303,31.03030303030303
#un-de-la-troupe,0.6363636363636364,0.45454545454545453,0.18181818181818182,0.12121212121212122,6.371212121212121,0.48484848484848486,0.06060606060606061,0.15151515151515152,9.09090909090909,0.030303030303030304,0.15151515151515152,4.751515151515152,31.03030303030303,31.03030303030303
Successions,#precieuse,#la-vieille,#le-poete,#don-jean,#le-capitaine,#andres,#l-egyptien,#hipolite,#le-prevot,#un-archer,#isabelle,#ferdinand,#un-de-la-troupe,#le-senechal
#precieuse,0.011764705882352941,0.27058823529411763,0.07058823529411765,0.07058823529411765,0.023529411764705882,0.36470588235294116,0.0,0.023529411764705882,0.0058823529411764705,0.0058823529411764705,0.09411764705882353,0.058823529411764705,0.0,0.0
#la-vieille,0.4634146341463415,0.0,0.07317073170731707,0.13414634146341464,0.024390243902439025,0.08536585365853659,0.0,0.0,0.024390243902439025,0.0,0.17073170731707318,0.024390243902439025,0.0,0.0
#le-poete,0.3181818181818182,0.09090909090909091,0.0,0.0,0.0,0.4318181818181818,0.1590909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#don-jean,0.5454545454545454,0.21212121212121213,0.0,0.0,0.24242424242424243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-capitaine,0.10526315789473684,0.10526315789473684,0.0,0.5263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.0,0.10526315789473684,0.0,0.0
#andres,0.49242424242424243,0.030303030303030304,0.14393939393939395,0.0,0.007575757575757576,0.03787878787878788,0.007575757575757576,0.17424242424242425,0.030303030303030304,0.0,0.022727272727272728,0.05303030303030303,0.0,0.0
#l-egyptien,0.125,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#hipolite,0.1111111111111111,0.027777777777777776,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.19444444444444445,0.0,0.0,0.0,0.0,0.0
#le-prevot,0.125,0.125,0.0,0.0,0.0625,0.125,0.0,0.5,0.0,0.0,0.0,0.0625,0.0,0.0
#un-archer,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#isabelle,0.34782608695652173,0.30434782608695654,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.021739130434782608,0.0,0.021739130434782608,0.2608695652173913,0.0,0.0
#ferdinand,0.2647058823529412,0.058823529411764705,0.0,0.0,0.029411764705882353,0.2647058823529412,0.0,0.0,0.029411764705882353,0.0,0.35294117647058826,0.0,0.0,0.0
#un-de-la-troupe,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-senechal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
