VALEUR,#xanthias,#aristophane,#thratta,#citoyens-d-athenes,#thalie,#tous,#realista,#la-peinture,#eglantine,#tabarin,#le-gamin-de-paris,#l-imprimerie,#le-roi-midas,#midas,#la-muse-du-theatre,#carolus,#la-musique,#tempesta,#la-fee-du-palais-de-cristal
#tabarin,1.2,0.02222222222222221,0.06666666666666667,0.06666666666666667,0.6666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,26.133333333333336,13.066666666666668,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667
#le-gamin-de-paris,0.6,0.011111111111111105,0.03333333333333333,0.03333333333333333,0.3333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,13.066666666666668,28.03333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333
#l-imprimerie,0.2666666666666667,0.011111111111111105,0.03333333333333333,0.03333333333333333,0.3333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,28.03333333333333,28.03333333333333,28.03333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333
#l-imprimerie,0.2666666666666667,0.011111111111111105,0.03333333333333333,0.03333333333333333,0.3333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,28.03333333333333,28.03333333333333,28.03333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333
#l-imprimerie,0.2666666666666667,0.011111111111111105,0.03333333333333333,0.03333333333333333,0.3333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,28.03333333333333,28.03333333333333,28.03333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333
#la-muse-du-theatre,0.2666666666666667,0.011111111111111105,0.03333333333333333,0.03333333333333333,1.3333333333333337,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,28.03333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333
#carolus,0.5333333333333334,0.02222222222222221,0.06666666666666667,0.06666666666666667,0.6666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,26.133333333333336,0.13333333333333333,0.13333333333333333,0.06666666666666667
#la-musique,0.03333333333333332,0.02222222222222221,0.06666666666666667,0.06666666666666667,0.6666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,26.133333333333336,5.633333333333334,0.06666666666666667
#tempesta,0.03333333333333332,0.02222222222222221,0.06666666666666667,0.06666666666666667,0.6666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,5.633333333333334,26.133333333333336,0.06666666666666667
#la-fee-du-palais-de-cristal,0.2666666666666667,0.011111111111111105,0.03333333333333333,0.03333333333333333,1.3333333333333337,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,28.03333333333333
Successions,#xanthias,#aristophane,#thratta,#citoyens-d-athenes,#thalie,#tous,#realista,#la-peinture,#eglantine,#tabarin,#le-gamin-de-paris,#l-imprimerie,#le-roi-midas,#midas,#la-muse-du-theatre,#carolus,#la-musique,#tempesta,#la-fee-du-palais-de-cristal
#xanthias,0.0,0.48333333333333334,0.0,0.0,0.08333333333333333,0.0,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.016666666666666666,0.0,0.0,0.03333333333333333,0.0,0.06666666666666667,0.08333333333333333,0.05,0.11666666666666667,0.0
#aristophane,0.27049180327868855,0.01639344262295082,0.03278688524590164,0.00819672131147541,0.16393442622950818,0.00819672131147541,0.05737704918032787,0.0,0.04918032786885246,0.13114754098360656,0.00819672131147541,0.040983606557377046,0.03278688524590164,0.0,0.040983606557377046,0.09836065573770492,0.00819672131147541,0.02459016393442623,0.00819672131147541
#thratta,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#citoyens-d-athenes,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#thalie,0.16666666666666666,0.7666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0
#tous,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#realista,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#thratta,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#eglantine,0.25,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tabarin,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-gamin-de-paris,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-imprimerie,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
#le-roi-midas,0.2222222222222222,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#midas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-muse-du-theatre,0.1,0.7,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#carolus,0.4117647058823529,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-musique,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
#tempesta,0.5454545454545454,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0
#thratta,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
