VALEUR,#la-sourdiere,#coronis,#carondas,#le-premier-joueur,#le-second-joueur,#le-chevalier,#l-abbe,#dorante,#la-fleche,#jobelin,#louison,#madame-jerome,#le-chevalier #coronis
#l-abbe,0.19841269841269843,0.19841269841269843,0.6944444444444445,0.6944444444444445,0.6944444444444445,0.027777777777777804,10.88888888888889,0.12698412698412698,0.01111111111111112,0.027777777777777804,0.8888888888888888,0.3333333333333334,0.2222222222222222
#dorante,2.7222222222222223,0.19160997732426308,0.7777777777777776,0.7777777777777776,0.7777777777777776,0.3968253968253966,0.12698412698412712,6.722222222222222,0.5730158730158728,0.00396825396825394,0.12698412698412712,0.04761904761904754,0.3888888888888888
#la-fleche,0.0015873015873015888,0.0015873015873015888,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.02222222222222224,0.01111111111111112,0.5730158730158731,9.38888888888889,0.27222222222222214,1.1111111111111112,0.06666666666666674,0.2777777777777778
#jobelin,0.0039682539682539715,1.4325396825396826,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6805555555555554,0.027777777777777804,0.0039682539682539715,0.27222222222222214,5.555555555555556,0.027777777777777804,0.6666666666666669,0.4444444444444444
#louison,1.5555555555555556,1.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.7777777777777777,0.8888888888888888,0.12698412698412698,1.1111111111111112,0.027777777777777804,10.88888888888889,0.3333333333333334,0.2222222222222222
#madame-jerome,0.04761904761904766,0.04761904761904766,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.1666666666666666,0.3333333333333334,0.04761904761904766,0.06666666666666664,0.6666666666666669,0.3333333333333334,8.0,0.3333333333333333
#le-chevalier #coronis,0.9603174603174605,0.9603174603174605,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6944444444444445,0.2222222222222222,0.3888888888888889,0.2777777777777778,0.4444444444444444,0.2222222222222222,0.3333333333333333,16.055555555555557
Successions,#la-sourdiere,#coronis,#carondas,#le-premier-joueur,#le-second-joueur,#le-chevalier,#l-abbe,#dorante,#la-fleche,#jobelin,#louison,#madame-jerome,#le-chevalier #coronis
#la-sourdiere,0.0,0.28,0.08,0.0,0.0,0.2,0.04,0.0,0.08,0.28,0.0,0.04,0.0
#coronis,0.24,0.0,0.08,0.0,0.0,0.28,0.08,0.12,0.08,0.0,0.0,0.12,0.0
#carondas,0.375,0.25,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-premier-joueur,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-second-joueur,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-chevalier,0.19230769230769232,0.15384615384615385,0.11538461538461539,0.0,0.0,0.0,0.15384615384615385,0.11538461538461539,0.038461538461538464,0.15384615384615385,0.0,0.038461538461538464,0.038461538461538464
#l-abbe,0.07692307692307693,0.15384615384615385,0.0,0.0,0.07692307692307693,0.23076923076923078,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,0.23076923076923078,0.0
#dorante,0.0,0.25925925925925924,0.0,0.0,0.0,0.1111111111111111,0.07407407407407407,0.037037037037037035,0.14814814814814814,0.1111111111111111,0.18518518518518517,0.07407407407407407,0.0
#la-fleche,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.32142857142857145,0.0,0.5,0.0,0.03571428571428571,0.0
#jobelin,0.17647058823529413,0.0,0.0,0.0,0.0,0.08823529411764706,0.058823529411764705,0.058823529411764705,0.4411764705882353,0.029411764705882353,0.058823529411764705,0.08823529411764706,0.0
#louison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.0,0.05263157894736842,0.0,0.6842105263157895,0.0
#madame-jerome,0.07142857142857142,0.03571428571428571,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.10714285714285714,0.42857142857142855,0.03571428571428571,0.0
#le-chevalier #coronis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
