VALEUR,#proserpine,#pluton,#mercure,#pasquin,#arlequin,#silvia,#cinthio,#pantalon,#violette,#rosette,#scaramouche,#un-paysan,#la-fille,#le-garçon,#caron,#mademoiselle-romanville,#mathanasius,#mademoiselle-decoulisses,#l-hotelier,#le-suisse
#cinthio,0.4000000000000001,0.9333333333333333,0.049999999999999975,0.26666666666666666,0.4023809523809524,8.066666666666668,22.533333333333335,1.7999999999999998,0.1666666666666667,0.8999999999999999,5.633333333333334,0.8999999999999999,0.13333333333333333,0.13333333333333333,0.8000000000000002,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
#pantalon,0.6000000000000001,1.4,0.03333333333333339,0.4000000000000001,0.014285714285714311,0.09999999999999995,1.7999999999999998,19.199999999999996,4.0,0.2666666666666665,3.2000000000000006,0.2666666666666665,0.20000000000000004,0.20000000000000004,1.2000000000000002,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#violette,0.5,0.5952380952380951,4.0,0.3333333333333333,0.19047619047619038,0.0833333333333333,0.1666666666666667,4.0,20.83333333333334,0.5,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
#rosette,0.30000000000000004,0.7,0.2666666666666665,0.20000000000000004,0.25714285714285723,6.050000000000001,0.8999999999999999,0.2666666666666665,0.5,24.3,0.10000000000000002,1.6333333333333329,0.10000000000000002,0.10000000000000002,0.6000000000000001,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#scaramouche,0.10000000000000002,0.23333333333333334,0.20000000000000004,0.06666666666666667,0.4666666666666667,2.016666666666667,5.633333333333334,3.2000000000000006,0.16666666666666666,0.10000000000000002,28.03333333333333,8.1,0.03333333333333333,0.03333333333333333,0.20000000000000004,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
#un-paysan,0.30000000000000004,0.7,0.6000000000000001,0.20000000000000004,0.11428571428571424,1.7999999999999998,0.8999999999999999,0.2666666666666665,0.5,1.6333333333333329,8.1,24.3,0.10000000000000002,0.10000000000000002,0.6000000000000001,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#la-fille,0.10000000000000002,0.23333333333333334,0.20000000000000004,0.06666666666666667,0.4666666666666667,0.26666666666666666,0.13333333333333333,0.20000000000000004,0.16666666666666666,0.10000000000000002,0.03333333333333333,0.10000000000000002,28.03333333333333,28.03333333333333,0.20000000000000004,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
#la-fille,0.10000000000000002,0.23333333333333334,0.20000000000000004,0.06666666666666667,0.4666666666666667,0.26666666666666666,0.13333333333333333,0.20000000000000004,0.16666666666666666,0.10000000000000002,0.03333333333333333,0.10000000000000002,28.03333333333333,28.03333333333333,0.20000000000000004,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
#caron,0.2666666666666665,0.11428571428571424,1.2000000000000002,0.4000000000000001,0.5142857142857145,1.6000000000000003,0.8000000000000002,1.2000000000000002,1.0,0.6000000000000001,0.20000000000000004,0.6000000000000001,0.20000000000000004,0.20000000000000004,19.199999999999996,3.2000000000000006,3.2000000000000006,0.20000000000000004,3.2000000000000006,3.2000000000000006
#mademoiselle-romanville,0.10000000000000002,0.23333333333333334,0.20000000000000004,0.06666666666666667,0.4666666666666667,0.26666666666666666,0.13333333333333333,0.20000000000000004,0.16666666666666666,0.10000000000000002,0.03333333333333333,0.10000000000000002,0.03333333333333333,0.03333333333333333,3.2000000000000006,28.03333333333333,28.03333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
#mademoiselle-romanville,0.10000000000000002,0.23333333333333334,0.20000000000000004,0.06666666666666667,0.4666666666666667,0.26666666666666666,0.13333333333333333,0.20000000000000004,0.16666666666666666,0.10000000000000002,0.03333333333333333,0.10000000000000002,0.03333333333333333,0.03333333333333333,3.2000000000000006,28.03333333333333,28.03333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
#mademoiselle-decoulisses,0.10000000000000002,0.23333333333333334,0.20000000000000004,0.06666666666666667,0.6095238095238095,0.26666666666666666,0.13333333333333333,0.20000000000000004,0.16666666666666666,0.10000000000000002,0.03333333333333333,0.10000000000000002,0.03333333333333333,0.03333333333333333,0.20000000000000004,0.03333333333333333,0.03333333333333333,28.03333333333333,0.03333333333333333,0.03333333333333333
#l-hotelier,0.10000000000000002,0.23333333333333334,0.20000000000000004,0.06666666666666667,0.6095238095238095,0.26666666666666666,0.13333333333333333,0.20000000000000004,0.16666666666666666,0.10000000000000002,0.03333333333333333,0.10000000000000002,0.03333333333333333,0.03333333333333333,3.2000000000000006,0.03333333333333333,0.03333333333333333,0.03333333333333333,28.03333333333333,28.03333333333333
#l-hotelier,0.10000000000000002,0.23333333333333334,0.20000000000000004,0.06666666666666667,0.6095238095238095,0.26666666666666666,0.13333333333333333,0.20000000000000004,0.16666666666666666,0.10000000000000002,0.03333333333333333,0.10000000000000002,0.03333333333333333,0.03333333333333333,3.2000000000000006,0.03333333333333333,0.03333333333333333,0.03333333333333333,28.03333333333333,28.03333333333333
Successions,#proserpine,#pluton,#mercure,#pasquin,#arlequin,#silvia,#cinthio,#pantalon,#violette,#rosette,#scaramouche,#un-paysan,#la-fille,#le-garçon,#caron,#mademoiselle-romanville,#mathanasius,#mademoiselle-decoulisses,#l-hotelier,#le-suisse
#proserpine,0.0,0.5769230769230769,0.0,0.0,0.4230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pluton,0.2833333333333333,0.03333333333333333,0.21666666666666667,0.0,0.21666666666666667,0.0,0.0,0.0,0.18333333333333332,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
#mercure,0.0,0.45161290322580644,0.0,0.0,0.41935483870967744,0.03225806451612903,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pasquin,0.0,0.0,0.08333333333333333,0.0,0.5833333333333334,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#arlequin,0.09183673469387756,0.1326530612244898,0.14285714285714285,0.08163265306122448,0.02040816326530612,0.0,0.0,0.14285714285714285,0.11224489795918367,0.02040816326530612,0.0,0.0,0.0,0.0,0.12244897959183673,0.0,0.0,0.05102040816326531,0.05102040816326531,0.030612244897959183
#silvia,0.0,0.0,0.0,0.06666666666666667,0.022222222222222223,0.0,0.6222222222222222,0.06666666666666667,0.0,0.2,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cinthio,0.0,0.0,0.0,0.0,0.0625,0.84375,0.0,0.0,0.0,0.03125,0.03125,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
#pantalon,0.0,0.0,0.041666666666666664,0.041666666666666664,0.5,0.08333333333333333,0.041666666666666664,0.0,0.20833333333333334,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#violette,0.0,0.36666666666666664,0.06666666666666667,0.0,0.43333333333333335,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#rosette,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.07142857142857142,0.21428571428571427,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#scaramouche,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-paysan,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-fille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
#le-garçon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#caron,0.041666666666666664,0.20833333333333334,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.041666666666666664,0.0,0.041666666666666664,0.0
#mademoiselle-romanville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
#mathanasius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
#mademoiselle-decoulisses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-hotelier,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
#le-suisse,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
