VALEUR,#locuteur-du-prologue,#brute,#premier-chef,#cassie,#titine,#le-genie,#porcie,#la-compagne,#marc-antoine,#second-chef,#troisieme-chef,#un-de-la-suite-d-antoine,#le-medecin,#pindare,#demetrie,#suite,#un-de-la-suite,#octave,#antoine,#le-soldat,#straton,#l-un-des-amis,#l-autre-ami,#premier-des-amis,#les-deux-amis
#demetrie,0.10000000000000002,1.0999999999999999,0.4000000000000001,6.400000000000001,0.5,0.10000000000000002,0.8000000000000002,0.30000000000000004,0.30000000000000004,0.20000000000000004,0.20000000000000004,0.10000000000000002,0.10000000000000002,16.2,24.3,0.10000000000000002,0.10000000000000002,0.2666666666666665,0.5,0.20000000000000004,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#suite,0.03333333333333333,1.093939393939394,0.13333333333333333,0.13333333333333333,4.166666666666668,0.03333333333333333,0.26666666666666666,0.10000000000000002,0.10000000000000002,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.10000000000000002,28.03333333333333,28.03333333333333,0.20000000000000004,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
#suite,0.03333333333333333,1.093939393939394,0.13333333333333333,0.13333333333333333,4.166666666666668,0.03333333333333333,0.26666666666666666,0.10000000000000002,0.10000000000000002,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.10000000000000002,28.03333333333333,28.03333333333333,0.20000000000000004,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
#octave,0.20000000000000004,2.1999999999999997,0.8000000000000002,0.8000000000000002,1.0,0.20000000000000004,1.6000000000000003,0.6000000000000001,0.2666666666666665,0.4000000000000001,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.2666666666666665,0.20000000000000004,0.20000000000000004,19.199999999999996,16.0,6.400000000000001,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#antoine,0.16666666666666666,1.8333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.16666666666666666,1.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,16.0,20.83333333333334,8.333333333333336,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
#le-soldat,0.06666666666666667,0.7333333333333333,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.06666666666666667,0.5333333333333333,0.20000000000000004,0.20000000000000004,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.20000000000000004,0.06666666666666667,0.06666666666666667,6.400000000000001,8.333333333333336,26.133333333333336,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
#straton,0.06666666666666667,2.187878787878788,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.06666666666666667,0.5333333333333333,0.20000000000000004,0.20000000000000004,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.20000000000000004,0.06666666666666667,0.06666666666666667,0.4000000000000001,0.3333333333333333,0.13333333333333333,26.133333333333336,13.066666666666668,13.066666666666668,0.06666666666666667,0.06666666666666667
#l-un-des-amis,0.03333333333333333,1.093939393939394,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.03333333333333333,0.26666666666666666,0.10000000000000002,0.10000000000000002,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.10000000000000002,0.03333333333333333,0.03333333333333333,0.20000000000000004,0.16666666666666666,0.06666666666666667,13.066666666666668,28.03333333333333,28.03333333333333,0.03333333333333333,0.03333333333333333
#l-un-des-amis,0.03333333333333333,1.093939393939394,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.03333333333333333,0.26666666666666666,0.10000000000000002,0.10000000000000002,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.10000000000000002,0.03333333333333333,0.03333333333333333,0.20000000000000004,0.16666666666666666,0.06666666666666667,13.066666666666668,28.03333333333333,28.03333333333333,0.03333333333333333,0.03333333333333333
#premier-des-amis,0.03333333333333333,0.36666666666666664,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.03333333333333333,2.016666666666667,0.10000000000000002,0.10000000000000002,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.10000000000000002,0.03333333333333333,0.03333333333333333,0.20000000000000004,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,28.03333333333333,28.03333333333333
#premier-des-amis,0.03333333333333333,0.36666666666666664,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.03333333333333333,2.016666666666667,0.10000000000000002,0.10000000000000002,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.10000000000000002,0.03333333333333333,0.03333333333333333,0.20000000000000004,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,28.03333333333333,28.03333333333333
Successions,#locuteur-du-prologue,#brute,#premier-chef,#cassie,#titine,#le-genie,#porcie,#la-compagne,#marc-antoine,#second-chef,#troisieme-chef,#un-de-la-suite-d-antoine,#le-medecin,#pindare,#demetrie,#suite,#un-de-la-suite,#octave,#antoine,#le-soldat,#straton,#l-un-des-amis,#l-autre-ami,#premier-des-amis,#les-deux-amis
#locuteur-du-prologue,,,,,,,,,,,,,,,,,,,,,,,,,
#brute,0.02564102564102564,0.0,0.05128205128205128,0.20512820512820512,0.1282051282051282,0.02564102564102564,0.28205128205128205,0.0,0.05128205128205128,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.10256410256410256,0.02564102564102564,0.02564102564102564,0.0,0.0
#premier-chef,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cassie,0.0,0.38095238095238093,0.0,0.0,0.2857142857142857,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#titine,0.0,0.38461538461538464,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-genie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#porcie,0.0,0.5416666666666666,0.0,0.0,0.0,0.0,0.041666666666666664,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664
#la-compagne,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#marc-antoine,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#second-chef,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#troisieme-chef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-de-la-suite-d-antoine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-medecin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pindare,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#demetrie,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#suite,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-genie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#octave,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.35714285714285715,0.21428571428571427,0.0,0.0,0.0,0.0,0.0
#antoine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
#le-soldat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0
#le-genie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-genie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-genie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-des-amis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#la-compagne,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
