VALEUR,#mercure,#la-cabale,#apollon,#l-auteur-comique,#l-auteur-tragique,#la-critique,#melpomene,#thalie,#le-genie-de-corneille,#le-genie-de-moliere,#l-acteur-tragique,#l-acteur-comique
#le-genie-de-corneille,0.013888888888888902,0.1111111111111111,0.1666666666666667,0.2222222222222222,0.2222222222222222,2.7222222222222223,2.7222222222222223,2.7222222222222223,7.111111111111111,7.111111111111111,0.1111111111111111,0.1111111111111111
#l-acteur-tragique,0.8888888888888888,0.1111111111111111,0.1666666666666667,0.2222222222222222,0.2222222222222222,0.2222222222222222,2.7222222222222223,2.7222222222222223,0.1111111111111111,0.1111111111111111,7.111111111111111,7.111111111111111
#l-acteur-tragique,0.8888888888888888,0.1111111111111111,0.1666666666666667,0.2222222222222222,0.2222222222222222,0.2222222222222222,2.7222222222222223,2.7222222222222223,0.1111111111111111,0.1111111111111111,7.111111111111111,7.111111111111111
Successions,#mercure,#la-cabale,#apollon,#l-auteur-comique,#l-auteur-tragique,#la-critique,#melpomene,#thalie,#le-genie-de-corneille,#le-genie-de-moliere,#l-acteur-tragique,#l-acteur-comique
#mercure,0.07692307692307693,0.3076923076923077,0.3076923076923077,0.11538461538461539,0.11538461538461539,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.0,0.0
#la-cabale,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#apollon,0.2916666666666667,0.0,0.041666666666666664,0.20833333333333334,0.041666666666666664,0.25,0.0,0.08333333333333333,0.0,0.041666666666666664,0.0,0.041666666666666664
#l-auteur-comique,0.3333333333333333,0.0,0.16666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-auteur-tragique,0.2,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-critique,0.2727272727272727,0.0,0.36363636363636365,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.0
#melpomene,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0
#thalie,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.5555555555555556,0.0,0.0,0.0,0.0,0.0
#la-cabale,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-genie-de-moliere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#l-acteur-tragique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#l-acteur-comique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
