VALEUR,#naquart,#le-tabellion,#monsieur-blandineau,#la-greffiere,#lisette,#madame-blandineau,#angelique,#lolive,#le-magister,#l-elue,#madame-carmin,#claudine,#le-comte,#premiere-paysanne,#un-paysan,#la-paysan,#seconde-paysanne
#angelique,0.00476190476190477,0.6095238095238095,0.9562770562770561,1.5727891156462583,1.376190476190476,1.1666666666666665,17.633333333333336,0.1285714285714285,0.7000000000000001,0.4666666666666667,0.23333333333333334,0.23333333333333334,3.429251700680272,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334
#lolive,0.8999999999999999,0.20000000000000004,1.0999999999999999,0.25714285714285723,0.22500000000000006,0.5,0.12857142857142861,24.3,1.6333333333333329,0.20000000000000004,0.10000000000000002,0.10000000000000002,2.4142857142857146,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#le-magister,0.8999999999999999,0.20000000000000004,1.0999999999999999,1.828571428571429,1.6000000000000003,0.5,0.7,1.6333333333333329,24.3,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.12857142857142861,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#l-elue,0.6,0.13333333333333333,0.7333333333333333,1.219047619047619,0.8166666666666668,8.333333333333336,0.4666666666666667,0.20000000000000004,0.20000000000000004,26.133333333333336,13.066666666666668,0.06666666666666667,0.4666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
#madame-carmin,0.3,0.06666666666666667,0.36666666666666664,0.6095238095238095,0.4083333333333334,4.166666666666668,0.23333333333333334,0.10000000000000002,0.10000000000000002,13.066666666666668,28.03333333333333,0.03333333333333333,0.23333333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
#claudine,1.633333333333333,0.06666666666666667,1.093939393939394,0.4666666666666667,0.5333333333333333,0.16666666666666666,0.23333333333333334,0.10000000000000002,0.10000000000000002,0.06666666666666667,0.03333333333333333,28.03333333333333,0.23333333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
#le-comte,0.3857142857142856,0.6095238095238095,0.9562770562770561,0.02176870748299319,0.1440476190476191,1.1666666666666665,3.429251700680272,2.4142857142857133,0.1285714285714285,0.4666666666666667,0.23333333333333334,0.23333333333333334,17.633333333333336,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334
#premiere-paysanne,0.3,0.06666666666666667,0.36666666666666664,0.4666666666666667,0.5333333333333333,0.16666666666666666,0.23333333333333334,0.10000000000000002,0.10000000000000002,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.23333333333333334,28.03333333333333,28.03333333333333,28.03333333333333,28.03333333333333
#premiere-paysanne,0.3,0.06666666666666667,0.36666666666666664,0.4666666666666667,0.5333333333333333,0.16666666666666666,0.23333333333333334,0.10000000000000002,0.10000000000000002,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.23333333333333334,28.03333333333333,28.03333333333333,28.03333333333333,28.03333333333333
#premiere-paysanne,0.3,0.06666666666666667,0.36666666666666664,0.4666666666666667,0.5333333333333333,0.16666666666666666,0.23333333333333334,0.10000000000000002,0.10000000000000002,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.23333333333333334,28.03333333333333,28.03333333333333,28.03333333333333,28.03333333333333
#premiere-paysanne,0.3,0.06666666666666667,0.36666666666666664,0.4666666666666667,0.5333333333333333,0.16666666666666666,0.23333333333333334,0.10000000000000002,0.10000000000000002,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.23333333333333334,28.03333333333333,28.03333333333333,28.03333333333333,28.03333333333333
Successions,#naquart,#le-tabellion,#monsieur-blandineau,#la-greffiere,#lisette,#madame-blandineau,#angelique,#lolive,#le-magister,#l-elue,#madame-carmin,#claudine,#le-comte,#premiere-paysanne,#un-paysan,#la-paysan,#seconde-paysanne
#naquart,0.0,0.044444444444444446,0.26666666666666666,0.24444444444444444,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.17777777777777778,0.0,0.0,0.0,0.0
#le-tabellion,0.5714285714285714,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-blandineau,0.2037037037037037,0.018518518518518517,0.0,0.2962962962962963,0.12962962962962962,0.3148148148148148,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0
#la-greffiere,0.11764705882352941,0.029411764705882353,0.14705882352941177,0.00980392156862745,0.23529411764705882,0.06862745098039216,0.00980392156862745,0.06862745098039216,0.09803921568627451,0.0392156862745098,0.058823529411764705,0.0,0.11764705882352941,0.0,0.0,0.0,0.0
#lisette,0.0,0.014492753623188406,0.15942028985507245,0.42028985507246375,0.0,0.043478260869565216,0.2753623188405797,0.014492753623188406,0.0,0.043478260869565216,0.014492753623188406,0.0,0.014492753623188406,0.0,0.0,0.0,0.0
#madame-blandineau,0.0,0.0,0.40540540540540543,0.24324324324324326,0.16216216216216217,0.0,0.0,0.0,0.0,0.05405405405405406,0.13513513513513514,0.0,0.0,0.0,0.0,0.0,0.0
#angelique,0.14634146341463414,0.0,0.0,0.024390243902439025,0.34146341463414637,0.0,0.0,0.14634146341463414,0.0,0.0,0.0,0.0,0.34146341463414637,0.0,0.0,0.0,0.0
