VALEUR,#l-ange,#la-pucelle,#le-garde,#le-comte,#le-duc,#destivet,#aronte,#la-comtesse,#dalinde,#canchon,#mide,#le-baron,#un-soldat,#un-du-peuple,#un-autre-soldat
#l-ange,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-pucelle,0.0967741935483871,0.0,0.0967741935483871,0.25806451612903225,0.1935483870967742,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.16129032258064516,0.0967741935483871,0.0,0.0,0.0,0.0
#le-garde,0.125,0.125,0.0,0.625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-comte,0.0,0.17307692307692307,0.09615384615384616,0.07692307692307693,0.3269230769230769,0.019230769230769232,0.038461538461538464,0.15384615384615385,0.019230769230769232,0.0,0.019230769230769232,0.057692307692307696,0.0,0.0,0.019230769230769232
#le-duc,0.0,0.24444444444444444,0.0,0.35555555555555557,0.022222222222222223,0.044444444444444446,0.0,0.1111111111111111,0.022222222222222223,0.044444444444444446,0.044444444444444446,0.08888888888888889,0.022222222222222223,0.0,0.0
#destivet,0.0,0.125,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
#aronte,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-comtesse,0.0,0.0,0.0,0.1875,0.1875,0.0,0.03125,0.0,0.25,0.125,0.09375,0.125,0.0,0.0,0.0
#dalinde,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.6153846153846154,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0
#canchon,0.0,0.2,0.0,0.13333333333333333,0.26666666666666666,0.0,0.0,0.26666666666666666,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
#mide,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
#le-baron,0.0,0.0,0.0,0.23076923076923078,0.3076923076923077,0.0,0.0,0.38461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
#un-soldat,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-du-peuple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#un-autre-soldat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
