VALEUR,#parnassot,#sauvelarime,#la-cesure,#l-etranger,#l-imperatif,#guillemet,#songecreux,#plusieurs-auteurs,#durimet,#pinceserre,#le-musicien,#le-perruquier,#plusieurs-particuliers,#le-tailleur,#un-creancier,#un-autre-creancier,#limedouce,#l-adepte,#l-auteur-tragique,#l-exempt,#un-acteur
#limedouce,0.08333333333333333,1.0416666666666667,2.25,0.5,0.5,2.25,0.25,0.125,0.5,0.5,0.125,0.125,0.125,0.125,0.125,0.125,6.125,6.125,6.125,0.125,0.125
#l-exempt,0.08333333333333333,0.375,0.25,0.5,0.5,0.25,0.25,0.125,0.5,0.5,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,6.125,6.125
#l-exempt,0.08333333333333333,0.375,0.25,0.5,0.5,0.25,0.25,0.125,0.5,0.5,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,6.125,6.125
Successions,#parnassot,#sauvelarime,#la-cesure,#l-etranger,#l-imperatif,#guillemet,#songecreux,#plusieurs-auteurs,#durimet,#pinceserre,#le-musicien,#le-perruquier,#plusieurs-particuliers,#le-tailleur,#un-creancier,#un-autre-creancier,#limedouce,#l-adepte,#l-auteur-tragique,#l-exempt,#un-acteur
#parnassot,0.0,0.12903225806451613,0.06451612903225806,0.25806451612903225,0.22580645161290322,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.12903225806451613,0.0
#sauvelarime,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-cesure,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-etranger,0.1320754716981132,0.018867924528301886,0.0,0.0,0.6226415094339622,0.03773584905660377,0.1509433962264151,0.0,0.018867924528301886,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-imperatif,0.1323529411764706,0.0,0.0,0.5588235294117647,0.0,0.04411764705882353,0.17647058823529413,0.0,0.029411764705882353,0.014705882352941176,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0
#guillemet,0.0,0.0,0.0,0.125,0.375,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0
#songecreux,0.0,0.0,0.0,0.16,0.64,0.08,0.0,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#plusieurs-auteurs,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#durimet,0.0,0.0,0.0,0.0,0.25,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0
#pinceserre,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.1111111111111111,0.3611111111111111,0.0,0.3055555555555556,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0
#le-musicien,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.25,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-perruquier,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,0.058823529411764705,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#plusieurs-particuliers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-tailleur,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.6470588235294118,0.0,0.17647058823529413,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
#un-creancier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-autre-creancier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#limedouce,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-adepte,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
#l-auteur-tragique,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
#l-exempt,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-acteur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
