VALEUR,#ombre,#cleomene,#panthee,#choeur,#cratesiclea,#stratonice,#archidamie,#agis,#leonidas,#pausanias,#pheax,#damoiselle,#ptolomee,#messager
#cratesiclea,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.0,0.8000000000000003,0.03333333333333339,0.2666666666666665,0.8000000000000003,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.6000000000000001,0.6000000000000001
#leonidas,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.0,0.2666666666666667,0.4000000000000001,0.20000000000000004,0.2666666666666667,3.2000000000000006,3.2000000000000006,3.2000000000000006,0.20000000000000004,0.20000000000000004,0.20000000000000004
#leonidas,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.0,0.2666666666666667,0.4000000000000001,0.20000000000000004,0.2666666666666667,3.2000000000000006,3.2000000000000006,3.2000000000000006,0.20000000000000004,0.20000000000000004,0.20000000000000004
#leonidas,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.0,0.2666666666666667,0.4000000000000001,0.20000000000000004,0.2666666666666667,3.2000000000000006,3.2000000000000006,3.2000000000000006,0.20000000000000004,0.20000000000000004,0.20000000000000004
#damoiselle,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.0,0.2666666666666667,0.4000000000000001,0.20000000000000004,0.2666666666666667,0.20000000000000004,0.20000000000000004,0.20000000000000004,3.2000000000000006,0.20000000000000004,0.20000000000000004
#ptolomee,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.0,0.6,0.8999999999999999,0.20000000000000004,0.6,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,3.2000000000000006,3.2000000000000006
#ptolomee,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.0,0.6,0.8999999999999999,0.20000000000000004,0.6,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,3.2000000000000006,3.2000000000000006
Successions,#ombre,#cleomene,#panthee,#choeur,#cratesiclea,#stratonice,#archidamie,#agis,#leonidas,#pausanias,#pheax,#damoiselle,#ptolomee,#messager
#ombre,,,,,,,,,,,,,,
#cleomene,0.05555555555555555,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#panthee,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur,0.0,0.0,0.02631578947368421,0.5263157894736842,0.2631578947368421,0.02631578947368421,0.0,0.05263157894736842,0.0,0.0,0.0,0.02631578947368421,0.02631578947368421,0.05263157894736842
#cratesiclea,0.0,0.0,0.0,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.2631578947368421,0.0,0.0,0.0
#stratonice,0.0,0.0,0.0,0.125,0.125,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#archidamie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#agis,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
#leonidas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pausanias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#leonidas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leonidas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ptolomee,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ptolomee,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
