VALEUR,#le-chevalier,#julie,#le-marquis,#le-domestique,#martin,#le-baron,#la-comtesse,#la-comtesse #le-marquis,#julie #le-chevalier,#choeur,#tous-quatre-ensemble,#la-comtesse #julie,#le-marquis #le-chevalier
#la-comtesse #le-marquis,1.6712962962962965,1.3333333333333337,1.0703703703703706,0.037037037037037035,7.111111111111111,2.7222222222222223,0.5584045584045586,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704
#la-comtesse #le-marquis,1.6712962962962965,1.3333333333333337,1.0703703703703706,0.037037037037037035,7.111111111111111,2.7222222222222223,0.5584045584045586,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704
#la-comtesse #le-marquis,1.6712962962962965,1.3333333333333337,1.0703703703703706,0.037037037037037035,7.111111111111111,2.7222222222222223,0.5584045584045586,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704
Successions,#le-chevalier,#julie,#le-marquis,#le-domestique,#martin,#le-baron,#la-comtesse,#la-comtesse #le-marquis,#julie #le-chevalier,#choeur,#tous-quatre-ensemble,#la-comtesse #julie,#le-marquis #le-chevalier
#le-chevalier,0.044444444444444446,0.6888888888888889,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
#julie,0.7560975609756098,0.04878048780487805,0.024390243902439025,0.0,0.0,0.04878048780487805,0.0975609756097561,0.0,0.0,0.024390243902439025,0.0,0.0,0.0
#le-marquis,0.017857142857142856,0.017857142857142856,0.10714285714285714,0.017857142857142856,0.08928571428571429,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0
#le-domestique,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#martin,0.0,0.0,0.6,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1
#le-baron,0.02564102564102564,0.02564102564102564,0.7435897435897436,0.0,0.0,0.0,0.1794871794871795,0.0,0.02564102564102564,0.0,0.0,0.0,0.0
#la-comtesse,0.25,0.11363636363636363,0.29545454545454547,0.0,0.09090909090909091,0.18181818181818182,0.045454545454545456,0.0,0.0,0.022727272727272728,0.0,0.0,0.0
#la-comtesse #le-marquis,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#julie #le-chevalier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#choeur,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
#tous-quatre-ensemble,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-comtesse #julie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#le-marquis #le-chevalier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
