VALEUR,#eole,#un-triton,#tous-les-tritons,#un-amour,#un-autre-amour,#choeur,#clitidas,#sostrate,#aristione,#timocles,#iphicrate,#anaxarque,#cleonice,#eriphile,#chorebe,#la-nymphe-de-tempe,#tircis,#lycaste,#menandre,#lycaste #menandre,#caliste,#tircis #lycaste #menandre,#premier-satyre,#deuxieme-satyre,#tous,#philinte,#climene,#tous-deux,#tous-les-acteurs,#bergers #bergeres,#venus,#cleon,#la-pretresse,#une-grecque-2,#autre-grecque-1,#autre-grecque-2,#tous-ensemble,#le-choeur,#apollon
#sostrate,0.0,0.0,0.0,0.0,0.0,0.0,0.5,14.285714285714286,0.5,1.7285714285714284,1.7285714285714284,1.5238095238095237,0.1285714285714286,0.23376623376623382,1.7857142857142858,0.0,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
#aristione,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.5,15.75,2.45,2.45,2.0833333333333335,1.25,0.5681818181818182,0.25,0.0,0.75,0.5,0.5,0.5,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,2.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
#timocles,0.0,0.0,0.0,0.0,0.0,0.0,2.45,1.7285714285714293,2.45,18.89285714285714,18.89285714285714,4.002380952380953,0.8928571428571429,0.47337662337662334,0.17857142857142855,0.0,0.5357142857142857,0.3571428571428571,0.3571428571428571,0.3571428571428571,0.5357142857142857,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855
#timocles,0.0,0.0,0.0,0.0,0.0,0.0,2.45,1.7285714285714293,2.45,18.89285714285714,18.89285714285714,4.002380952380953,0.8928571428571429,0.47337662337662334,0.17857142857142855,0.0,0.5357142857142857,0.3571428571428571,0.3571428571428571,0.3571428571428571,0.5357142857142857,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855
#anaxarque,0.0,0.0,0.0,0.0,0.0,0.0,2.0833333333333335,1.5238095238095237,2.0833333333333335,4.002380952380953,4.002380952380953,22.321428571428577,0.5357142857142857,0.027056277056277066,0.10714285714285714,0.0,0.3214285714285714,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.3214285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,7.440476190476192,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714
#cleonice,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.12857142857142848,1.25,0.8928571428571429,0.8928571428571429,0.5357142857142857,18.89285714285714,2.1097402597402595,0.17857142857142855,0.0,0.5357142857142857,0.3571428571428571,0.3571428571428571,0.3571428571428571,0.5357142857142857,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.17857142857142855
#eriphile,0.0,0.0,0.0,0.0,0.0,0.0,0.5681818181818182,0.23376623376623382,0.5681818181818182,0.4733766233766235,0.4733766233766235,0.027056277056277066,2.109740259740259,10.321428571428573,0.39285714285714285,0.0,1.1785714285714286,0.7857142857142857,0.7857142857142857,0.7857142857142857,1.1785714285714286,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285
#chorebe,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.7857142857142858,0.25,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.39285714285714285,26.03571428571429,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#eole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tircis,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.8571428571428571,0.75,0.5357142857142857,0.5357142857142857,0.3214285714285714,0.5357142857142857,1.1785714285714286,0.10714285714285714,0.0,22.321428571428577,14.880952380952383,14.880952380952383,14.880952380952383,1.4325396825396828,7.440476190476192,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714
#lycaste,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5714285714285714,0.5,0.35714285714285715,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.7857142857142857,0.07142857142857142,0.0,14.880952380952383,24.142857142857146,24.142857142857146,24.142857142857146,2.880952380952381,12.071428571428573,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
#lycaste,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5714285714285714,0.5,0.35714285714285715,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.7857142857142857,0.07142857142857142,0.0,14.880952380952383,24.142857142857146,24.142857142857146,24.142857142857146,2.880952380952381,12.071428571428573,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
#lycaste,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5714285714285714,0.5,0.35714285714285715,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.7857142857142857,0.07142857142857142,0.0,14.880952380952383,24.142857142857146,24.142857142857146,24.142857142857146,2.880952380952381,12.071428571428573,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
#caliste,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.8571428571428571,0.75,0.5357142857142857,0.5357142857142857,0.3214285714285714,0.5357142857142857,1.1785714285714286,0.10714285714285714,0.0,1.4325396825396828,2.880952380952381,2.880952380952381,2.880952380952381,22.321428571428577,7.440476190476192,7.440476190476192,7.440476190476192,7.440476190476192,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714
#tircis #lycaste #menandre,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.25,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.0,7.440476190476192,12.071428571428573,12.071428571428573,12.071428571428573,7.440476190476192,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#premier-satyre,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.25,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,7.440476190476192,0.03571428571428571,26.03571428571429,26.03571428571429,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#premier-satyre,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.25,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,7.440476190476192,0.03571428571428571,26.03571428571429,26.03571428571429,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#premier-satyre,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.25,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,7.440476190476192,0.03571428571428571,26.03571428571429,26.03571428571429,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#philinte,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.25,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#philinte,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.25,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#philinte,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.25,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#philinte,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.25,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#philinte,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.25,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#venus,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,2.25,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#cleon,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.25,0.17857142857142858,0.17857142857142858,7.440476190476192,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#la-pretresse,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.25,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429
#la-pretresse,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.25,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429
#la-pretresse,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.25,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429
#la-pretresse,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.25,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429
#la-pretresse,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.25,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429
#la-pretresse,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.25,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429
#la-pretresse,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.25,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429
Successions,#eole,#un-triton,#tous-les-tritons,#un-amour,#un-autre-amour,#choeur,#clitidas,#sostrate,#aristione,#timocles,#iphicrate,#anaxarque,#cleonice,#eriphile,#chorebe,#la-nymphe-de-tempe,#tircis,#lycaste,#menandre,#lycaste #menandre,#caliste,#tircis #lycaste #menandre,#premier-satyre,#deuxieme-satyre,#tous,#philinte,#climene,#tous-deux,#tous-les-acteurs,#bergers #bergeres,#venus,#cleon,#la-pretresse,#une-grecque-2,#autre-grecque-1,#autre-grecque-2,#tous-ensemble,#le-choeur,#apollon
#eole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#un-triton,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous-les-tritons,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-amour,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-autre-amour,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#clitidas,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.013513513513513514,0.28378378378378377,0.05405405405405406,0.05405405405405406,0.04054054054054054,0.06756756756756757,0.013513513513513514,0.4594594594594595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
