VALEUR,#charlemagne,#nymes,#aymon,#beatrix,#renaud,#la-roque,#bradamante,#leon,#roger,#hippalque,#la-montagne,#marphise,#charles,#aymon #beatrix,#basile,#ambassadeurs,#melisse
#roger,0.03571428571428571,0.25,0.03571428571428571,0.03571428571428571,0.25,0.25,0.5,2.892857142857143,13.5,1.0,0.25,0.08333333333333333,0.5,0.25,0.25,0.5,0.25
#hippalque,0.02380952380952383,0.16666666666666666,1.1666666666666667,1.1666666666666667,0.16666666666666666,0.16666666666666666,5.333333333333335,1.1666666666666667,1.0,16.66666666666667,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666
#la-montagne,0.2916666666666667,0.041666666666666664,1.720238095238095,1.720238095238095,0.041666666666666664,0.041666666666666664,0.3333333333333333,0.2916666666666667,0.25,0.16666666666666666,22.04166666666667,0.125,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664
#marphise,0.017857142857142856,0.125,1.4464285714285714,1.4464285714285714,0.125,0.125,0.0,1.4464285714285714,0.08333333333333333,0.5,0.125,18.375,2.25,6.125,0.125,2.25,0.125
#charles,0.5833333333333334,0.08333333333333333,3.44047619047619,3.44047619047619,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.29761904761904756,0.5,0.3333333333333333,0.08333333333333333,2.25,20.166666666666664,10.083333333333332,0.08333333333333333,0.16666666666666666,0.08333333333333333
#aymon #beatrix,0.2916666666666667,0.041666666666666664,1.720238095238095,1.720238095238095,0.041666666666666664,0.041666666666666664,0.3333333333333333,1.720238095238095,0.25,0.16666666666666666,0.041666666666666664,6.125,10.083333333333332,22.04166666666667,0.041666666666666664,0.08333333333333333,0.041666666666666664
#basile,0.2916666666666667,0.041666666666666664,0.2916666666666667,0.2916666666666667,0.041666666666666664,0.041666666666666664,0.3333333333333333,1.720238095238095,0.25,0.16666666666666666,0.041666666666666664,0.125,0.08333333333333333,0.041666666666666664,22.04166666666667,0.08333333333333333,0.041666666666666664
#ambassadeurs,3.44047619047619,0.08333333333333333,0.29761904761904756,0.29761904761904756,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.29761904761904756,0.5,0.3333333333333333,0.08333333333333333,2.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,20.166666666666664,0.08333333333333333
#melisse,0.2916666666666667,0.041666666666666664,0.2916666666666667,0.2916666666666667,0.041666666666666664,0.041666666666666664,0.3333333333333333,0.2916666666666667,0.25,0.16666666666666666,0.041666666666666664,0.125,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.08333333333333333,22.04166666666667
Successions,#charlemagne,#nymes,#aymon,#beatrix,#renaud,#la-roque,#bradamante,#leon,#roger,#hippalque,#la-montagne,#marphise,#charles,#aymon #beatrix,#basile,#ambassadeurs,#melisse
