VALEUR,#le-tambour,#un-amour,#l-amour,#mars,#venus,#bellone,#vulcain,#cupidon,#le-laquais,#un-des-amours,#plutus,#mercure,#momus,#les-dieux,#junon,#jupiter,#l-ocean,#diane,#pluton,#bacchus
#momus,0.125,0.25,0.125,0.25,0.0,0.125,0.5,0.25,0.125,0.125,0.125,0.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125
#momus,0.125,0.25,0.125,0.25,0.0,0.125,0.5,0.25,0.125,0.125,0.125,0.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125
#momus,0.125,0.25,0.125,0.25,0.0,0.125,0.5,0.25,0.125,0.125,0.125,0.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125
#momus,0.125,0.25,0.125,0.25,0.0,0.125,0.5,0.25,0.125,0.125,0.125,0.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125
#momus,0.125,0.25,0.125,0.25,0.0,0.125,0.5,0.25,0.125,0.125,0.125,0.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125
Successions,#le-tambour,#un-amour,#l-amour,#mars,#venus,#bellone,#vulcain,#cupidon,#le-laquais,#un-des-amours,#plutus,#mercure,#momus,#les-dieux,#junon,#jupiter,#l-ocean,#diane,#pluton,#bacchus
#le-tambour,0.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-amour,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-amour,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mars,0.23529411764705882,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#venus,0.0,0.03333333333333333,0.0,0.06666666666666667,0.0,0.0,0.3,0.4,0.03333333333333333,0.03333333333333333,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333
#l-amour,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#vulcain,0.0,0.0,0.0,0.23404255319148937,0.23404255319148937,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.1276595744680851,0.0851063829787234,0.0425531914893617,0.06382978723404255,0.0851063829787234,0.02127659574468085,0.02127659574468085,0.0425531914893617,0.0
#cupidon,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-laquais,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-laquais,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-laquais,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mercure,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#momus,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
#les-dieux,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#junon,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
#jupiter,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
#l-ocean,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-ocean,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-ocean,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-ocean,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
