VALEUR,#genevieve,#benoni,#orismond,#lisandre,#cleon,#premier-amour,#second-amour,#troisieme-amour,#quatrieme-amour,#lysis,#echo,#tous-trois-ensemble,#leris,#sifroy,#golo,#le-sommeil,#le-choeur-des-anges,#l-amour,#une-voix-du-choeur,#le-choeur,#troupe-des-nymphes,#siroy
#premier-amour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-amour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-amour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-amour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-amour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-amour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leris,1.9117647058823528,0.735294117647059,0.1505882352941177,1.3235294117647058,0.026470588235294128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.735294117647058,0.2858823529411763,2.1752941176470584,0.0,0.0,0.0,0.0,0.0,0.0,0.14705882352941177
#sifroy,0.012217194570135826,0.019215686274509834,1.31843137254902,0.00021786492374727514,0.07941176470588233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2858823529411763,10.61764705882353,0.019215686274509834,0.0,0.0,0.0,0.0,0.0,0.0,0.4411764705882353
#golo,0.43484162895927597,0.735294117647059,0.1505882352941177,0.07908496732026142,1.1764705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1752941176470584,0.019215686274509834,24.735294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.14705882352941177
#premier-amour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-amour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-amour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-amour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-amour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-amour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#siroy,0.3823529411764706,0.14705882352941177,0.29411764705882354,0.2647058823529412,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14705882352941177,0.4411764705882353,0.14705882352941177,0.0,0.0,0.0,0.0,0.0,0.0,32.029411764705884
Successions,#genevieve,#benoni,#orismond,#lisandre,#cleon,#premier-amour,#second-amour,#troisieme-amour,#quatrieme-amour,#lysis,#echo,#tous-trois-ensemble,#leris,#sifroy,#golo,#le-sommeil,#le-choeur-des-anges,#l-amour,#une-voix-du-choeur,#le-choeur,#troupe-des-nymphes,#siroy
#genevieve,0.008,0.224,0.216,0.024,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488,0.016,0.0,0.0,0.0,0.0,0.008,0.0,0.008
#benoni,0.6904761904761905,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#orismond,0.36585365853658536,0.04878048780487805,0.012195121951219513,0.15853658536585366,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.2682926829268293,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lisandre,0.06451612903225806,0.0,0.20967741935483872,0.0,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27419354838709675,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cleon,0.06060606060606061,0.0,0.12121212121212122,0.3939393939393939,0.030303030303030304,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.030303030303030304,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-amour,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#second-amour,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#troisieme-amour,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#quatrieme-amour,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lysis,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.8260869565217391,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#echo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#echo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leris,0.0,0.0,0.03225806451612903,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8064516129032258,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sifroy,0.32044198895027626,0.049723756906077346,0.11602209944751381,0.08839779005524862,0.0718232044198895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143646408839779,0.0055248618784530384,0.19889502762430938,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0
#golo,0.03125,0.0,0.109375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-sommeil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur-des-anges,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-amour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.5,0.3333333333333333,0.0,0.0
#une-voix-du-choeur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0
#le-choeur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0
#troupe-des-nymphes,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#siroy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
