VALEUR,#henriette,#licaste,#frontin,#lisette,#madame-mananville,#ragotin,#listte,#colas,#monsieur-mananville,#jasmin,#fontaubin,#le-baron,#premier-musicien,#second-musicien,#troisieme-musicien,#crispin,#le-choeur
#premier-musicien,2.7901785714285716,0.125,0.15625,1.0416666666666667,0.40625,0.15625,0.03125,1.0416666666666667,0.8677884615384616,0.03125,1.5125,0.0625,30.03125,30.03125,30.03125,0.03125,0.03125
#crispin,0.21875,0.125,0.15625,1.0416666666666667,0.40625,0.15625,0.03125,0.375,0.40625,0.03125,0.3125,0.0625,0.03125,0.03125,0.03125,30.03125,30.03125
#crispin,0.21875,0.125,0.15625,1.0416666666666667,0.40625,0.15625,0.03125,0.375,0.40625,0.03125,0.3125,0.0625,0.03125,0.03125,0.03125,30.03125,30.03125
Successions,#henriette,#licaste,#frontin,#lisette,#madame-mananville,#ragotin,#listte,#colas,#monsieur-mananville,#jasmin,#fontaubin,#le-baron,#premier-musicien,#second-musicien,#troisieme-musicien,#crispin,#le-choeur
#henriette,0.0,0.3684210526315789,0.15789473684210525,0.21052631578947367,0.21052631578947367,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#licaste,0.35,0.05,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
#frontin,0.1388888888888889,0.3055555555555556,0.0,0.19444444444444445,0.1111111111111111,0.0,0.0,0.027777777777777776,0.1111111111111111,0.0,0.08333333333333333,0.027777777777777776,0.0,0.0,0.0,0.0,0.0
#lisette,0.08571428571428572,0.0,0.17142857142857143,0.0,0.17142857142857143,0.0,0.0,0.02857142857142857,0.2857142857142857,0.0,0.22857142857142856,0.0,0.0,0.0,0.0,0.02857142857142857,0.0
#madame-mananville,0.06976744186046512,0.0,0.09302325581395349,0.13953488372093023,0.2558139534883721,0.046511627906976744,0.023255813953488372,0.20930232558139536,0.09302325581395349,0.0,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.0
#ragotin,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.2,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
#listte,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#colas,0.0,0.0,0.05555555555555555,0.0,0.2222222222222222,0.027777777777777776,0.0,0.0,0.6111111111111112,0.027777777777777776,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-mananville,0.01818181818181818,0.0,0.09090909090909091,0.16363636363636364,0.10909090909090909,0.10909090909090909,0.0,0.34545454545454546,0.0,0.01818181818181818,0.10909090909090909,0.0,0.0,0.01818181818181818,0.01818181818181818,0.0,0.0
#jasmin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#fontaubin,0.0,0.038461538461538464,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.038461538461538464,0.0,0.11538461538461539,0.3076923076923077,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0
#le-baron,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#jasmin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#second-musicien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#troisieme-musicien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#crispin,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
#le-choeur,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6
