VALEUR,#choeur,#ariane,#miss-clustenbrut,#pasiphaë,#minos,#un-garde,#thesee,#le-choeur,#tous,#pasipiiaë,#pasiphae,#ariane #thesee,#v
#thesee,1.0666666666666669,0.5333333333333331,0.5633333333333335,0.016666666666666666,0.1,0.8333333333333333,4.083333333333332,0.8166666666666669,1.6333333333333337,0.8166666666666669,0.8166666666666669,0.8166666666666669,0.8166666666666669
#le-choeur,1.3333333333333337,0.1666666666666667,0.8166666666666664,0.08333333333333333,0.5,0.16666666666666666,0.8166666666666664,10.083333333333332,4.166666666666668,10.083333333333332,10.083333333333332,0.08333333333333333,0.08333333333333333
#tous,2.6666666666666674,0.0833333333333333,0.03333333333333332,0.16666666666666666,1.0,0.3333333333333333,1.6333333333333329,4.166666666666668,8.333333333333336,4.166666666666668,4.166666666666668,0.16666666666666666,0.16666666666666666
#le-choeur,1.3333333333333337,0.1666666666666667,0.8166666666666664,0.08333333333333333,0.5,0.16666666666666666,0.8166666666666664,10.083333333333332,4.166666666666668,10.083333333333332,10.083333333333332,0.08333333333333333,0.08333333333333333
#le-choeur,1.3333333333333337,0.1666666666666667,0.8166666666666664,0.08333333333333333,0.5,0.16666666666666666,0.8166666666666664,10.083333333333332,4.166666666666668,10.083333333333332,10.083333333333332,0.08333333333333333,0.08333333333333333
#ariane #thesee,0.3333333333333333,0.1666666666666667,0.4166666666666667,0.75,0.5,0.16666666666666666,0.8166666666666664,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,10.083333333333332,0.08333333333333333
#v,1.3333333333333337,0.6666666666666666,0.4166666666666667,0.08333333333333333,0.5,0.16666666666666666,0.8166666666666664,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,10.083333333333332
Successions,#choeur,#ariane,#miss-clustenbrut,#pasiphaë,#minos,#un-garde,#thesee,#le-choeur,#tous,#pasipiiaë,#pasiphae,#ariane #thesee,#v
#choeur,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
#ariane,0.012195121951219513,0.012195121951219513,0.3048780487804878,0.18292682926829268,0.14634146341463414,0.012195121951219513,0.3170731707317073,0.0,0.012195121951219513,0.0,0.0,0.0,0.0
#miss-clustenbrut,0.0,0.8620689655172413,0.0,0.06896551724137931,0.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.0,0.0
#pasiphaë,0.0,0.2647058823529412,0.04411764705882353,0.014705882352941176,0.36764705882352944,0.0,0.27941176470588236,0.0,0.0,0.0,0.0,0.014705882352941176,0.014705882352941176
#minos,0.034482758620689655,0.20689655172413793,0.0,0.4482758620689655,0.0,0.017241379310344827,0.2413793103448276,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.0,0.0,0.0
#un-garde,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#thesee,0.046153846153846156,0.35384615384615387,0.015384615384615385,0.3230769230769231,0.2,0.0,0.0,0.0,0.015384615384615385,0.0,0.03076923076923077,0.015384615384615385,0.0
#le-choeur,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-garde,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pasiphae,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#v,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
