VALEUR,#ninon,#germain,#saint-pol,#un-domestique,#moliere,#le-laquais,#saint-evremont,#madame-de-lafayette,#madame-de-coulanges,#d-estrees,#tous,#longueville,#delaunay,#ensemble,#madame-de-saint-pol,#le-domestique,#madame-de-saint-pol #longueville #moliere
#saint-evremont,0.0723981900452489,6.617647058823529,0.19251336898395718,0.058823529411764705,1.6941176470588233,6.617647058823529,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764,2.485294117647059,15.058823529411764,0.058823529411764705,0.29411764705882354,0.058823529411764705,0.058823529411764705
#longueville,0.0011312217194570057,0.5955882352941178,0.7700534759358287,0.23529411764705882,0.5764705882352941,0.5955882352941178,2.485294117647059,2.485294117647059,2.485294117647059,2.485294117647059,2.485294117647059,9.941176470588236,2.485294117647059,0.23529411764705882,0.026470588235294128,0.23529411764705882,2.485294117647059
#saint-evremont,0.0723981900452489,6.617647058823529,0.19251336898395718,0.058823529411764705,1.6941176470588233,6.617647058823529,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764,2.485294117647059,15.058823529411764,0.058823529411764705,0.29411764705882354,0.058823529411764705,0.058823529411764705
#ensemble,0.0723981900452489,0.11764705882352941,0.19251336898395718,0.058823529411764705,0.29411764705882354,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.058823529411764705,15.058823529411764,0.29411764705882354,0.058823529411764705,0.058823529411764705
#madame-de-saint-pol,0.17737556561085965,0.5882352941176471,0.01711229946524065,0.29411764705882354,0.19058823529411756,0.5882352941176471,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.026470588235294128,0.29411764705882354,0.29411764705882354,8.470588235294116,1.6941176470588233,1.6941176470588233
#le-domestique,0.0723981900452489,0.11764705882352941,0.19251336898395718,0.058823529411764705,1.6941176470588233,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.058823529411764705,1.6941176470588233,15.058823529411764,0.058823529411764705
#madame-de-saint-pol #longueville #moliere,0.0723981900452489,0.11764705882352941,0.19251336898395718,0.058823529411764705,1.6941176470588233,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,2.485294117647059,0.058823529411764705,0.058823529411764705,1.6941176470588233,0.058823529411764705,15.058823529411764
Successions,#ninon,#germain,#saint-pol,#un-domestique,#moliere,#le-laquais,#saint-evremont,#madame-de-lafayette,#madame-de-coulanges,#d-estrees,#tous,#longueville,#delaunay,#ensemble,#madame-de-saint-pol,#le-domestique,#madame-de-saint-pol #longueville #moliere
#ninon,0.0,0.020942408376963352,0.581151832460733,0.0,0.12041884816753927,0.005235602094240838,0.005235602094240838,0.010471204188481676,0.005235602094240838,0.02617801047120419,0.010471204188481676,0.05235602094240838,0.02617801047120419,0.005235602094240838,0.13089005235602094,0.0,0.0
#germain,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#saint-pol,0.7517241379310344,0.0,0.013793103448275862,0.006896551724137931,0.027586206896551724,0.0,0.0,0.0,0.0,0.0,0.006896551724137931,0.06896551724137931,0.0,0.0,0.11724137931034483,0.0,0.006896551724137931
#un-domestique,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#moliere,0.5897435897435898,0.0,0.05128205128205128,0.0,0.02564102564102564,0.05128205128205128,0.10256410256410256,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.0,0.02564102564102564,0.05128205128205128,0.0,0.0,0.02564102564102564,0.0
#le-laquais,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
#saint-evremont,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
#madame-de-lafayette,0.25,0.0,0.0,0.0,0.0,0.125,0.25,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-de-coulanges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#d-estrees,0.5384615384615384,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0
#tous,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#longueville,0.25,0.0,0.5,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0
#delaunay,0.2222222222222222,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
#ensemble,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-de-saint-pol,0.6511627906976745,0.0,0.3488372093023256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-domestique,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-domestique,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
