VALEUR,#marton,#bartolin,#belise,#garbatacase,#celide,#valere,#frontin,#la-comtesse,#clitandre,#jasmin,#la-marquise,#le-caissier,#l-intendante,#eraste,#le-marquis,#choeur,#ensemble,#merlin
#frontin,0.29757085020242935,0.057109557109557084,0.0168690958164642,5.128205128205127,1.2564102564102562,13.96153846153846,20.346153846153843,0.057109557109557084,0.0014245014245014146,0.11538461538461539,0.04578754578754578,0.11538461538461539,0.11538461538461539,5.128205128205127,2.5641025641025634,6.782051282051281,0.0,0.0
#la-comtesse,0.0001840264998159722,0.5877304513668152,0.4786529260213472,0.28321678321678334,0.043706293706293795,0.28321678321678334,0.05710955710955717,8.653846153846152,7.080419580419581,0.7867132867132864,3.117382617382618,0.7867132867132864,0.7867132867132864,1.01048951048951,0.02797202797202793,0.7867132867132864,0.0,0.0
#clitandre,0.05060728744939267,0.17132867132867127,0.8927125506072877,0.10683760683760682,0.21367521367521364,0.10683760683760682,0.0014245014245014306,7.080419580419581,11.115384615384617,1.235042735042735,5.280219780219781,1.235042735042735,1.235042735042735,1.8846153846153848,0.13675213675213677,1.235042735042735,0.0,0.0
#jasmin,0.7307692307692306,0.4230769230769231,0.09919028340080975,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.11538461538461539,0.7867132867132866,1.235042735042735,24.038461538461537,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.0,0.0
#la-marquise,0.24320416425679567,0.3641358641358641,0.6943319838056684,0.0054945054945055175,0.6181318681318684,0.0054945054945055175,0.04578754578754578,3.117382617382617,5.280219780219781,0.2692307692307693,13.884615384615383,1.983516483516483,1.983516483516483,3.4340659340659325,0.3956043956043954,1.983516483516483,0.0,0.0
#le-caissier,0.7307692307692306,0.4230769230769231,0.09919028340080975,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.11538461538461539,0.7867132867132866,1.235042735042735,0.038461538461538464,1.983516483516484,24.038461538461537,24.038461538461537,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.0,0.0
#le-caissier,0.7307692307692306,0.4230769230769231,0.09919028340080975,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.11538461538461539,0.7867132867132866,1.235042735042735,0.038461538461538464,1.983516483516484,24.038461538461537,24.038461538461537,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.0,0.0
#eraste,0.0020242914979757176,0.05594405594405595,0.396761133603239,3.115384615384615,0.04326923076923079,3.115384615384615,5.128205128205127,1.0104895104895106,1.8846153846153848,0.15384615384615385,3.4340659340659343,0.15384615384615385,0.15384615384615385,18.615384615384613,9.307692307692307,4.653846153846153,0.0,0.0
#le-marquis,0.1983805668016195,0.027972027972027975,0.1983805668016195,1.5576923076923075,0.6153846153846154,1.5576923076923075,2.5641025641025634,0.027972027972027975,0.13675213675213677,0.07692307692307693,0.3956043956043957,0.07692307692307693,0.07692307692307693,9.307692307692307,22.153846153846157,0.07692307692307693,0.0,0.0
#choeur,0.09919028340080975,0.7867132867132866,0.09919028340080975,4.653846153846153,1.5576923076923075,4.653846153846153,6.782051282051281,0.7867132867132866,1.235042735042735,0.038461538461538464,1.983516483516484,0.038461538461538464,0.038461538461538464,4.653846153846153,0.07692307692307693,24.038461538461537,0.0,0.0
#ensemble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ensemble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Successions,#marton,#bartolin,#belise,#garbatacase,#celide,#valere,#frontin,#la-comtesse,#clitandre,#jasmin,#la-marquise,#le-caissier,#l-intendante,#eraste,#le-marquis,#choeur,#ensemble,#merlin
#marton,0.0,0.2,0.2571428571428571,0.02857142857142857,0.17142857142857143,0.04285714285714286,0.07142857142857142,0.12857142857142856,0.014285714285714285,0.0,0.07142857142857142,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0
#bartolin,0.2727272727272727,0.0,0.45454545454545453,0.13636363636363635,0.0,0.022727272727272728,0.0,0.022727272727272728,0.022727272727272728,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0
#belise,0.1728395061728395,0.2345679012345679,0.0,0.12345679012345678,0.04938271604938271,0.04938271604938271,0.012345679012345678,0.09876543209876543,0.08641975308641975,0.012345679012345678,0.07407407407407407,0.06172839506172839,0.0,0.024691358024691357,0.0,0.0,0.0,0.0
#garbatacase,0.06451612903225806,0.0967741935483871,0.3870967741935484,0.0,0.0,0.06451612903225806,0.22580645161290322,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0
#celide,0.45454545454545453,0.0,0.22727272727272727,0.045454545454545456,0.0,0.13636363636363635,0.09090909090909091,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#valere,0.15625,0.03125,0.0625,0.0625,0.125,0.0,0.375,0.0,0.0,0.0,0.03125,0.0,0.0,0.09375,0.03125,0.03125,0.0,0.0
#frontin,0.08823529411764706,0.08823529411764706,0.029411764705882353,0.17647058823529413,0.058823529411764705,0.47058823529411764,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0
#la-comtesse,0.36585365853658536,0.0,0.14634146341463414,0.0,0.0,0.0,0.0,0.0,0.14634146341463414,0.0,0.07317073170731707,0.07317073170731707,0.0,0.12195121951219512,0.07317073170731707,0.0,0.0,0.0
#clitandre,0.11538461538461539,0.0,0.07692307692307693,0.038461538461538464,0.0,0.0,0.038461538461538464,0.3076923076923077,0.0,0.0,0.07692307692307693,0.19230769230769232,0.0,0.11538461538461539,0.038461538461538464,0.0,0.0,0.0
#jasmin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-marquise,0.14285714285714285,0.03571428571428571,0.17857142857142858,0.03571428571428571,0.0,0.03571428571428571,0.10714285714285714,0.21428571428571427,0.10714285714285714,0.0,0.0,0.03571428571428571,0.0,0.07142857142857142,0.03571428571428571,0.0,0.0,0.0
#le-caissier,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.21428571428571427,0.21428571428571427,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0
#l-intendante,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#eraste,0.0,0.09523809523809523,0.14285714285714285,0.047619047619047616,0.0,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.0,0.19047619047619047,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0
#le-marquis,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.1,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0
#choeur,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#jasmin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#merlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
