VALEUR,#poquelin,#monsieur-astringent,#jean-baptiste,#françois,#madeleine,#françois #madeleine,#le-charlatan,#fritelin,#maitre-bejart,#toinette,#tous,#le-docteur-sans-pareil,#les-enfants,#maitre-bejard
#le-charlatan,0.01111111111111112,0.013888888888888902,0.3333333333333334,1.388888888888889,2.6666666666666674,0.2222222222222222,5.444444444444445,5.444444444444445,0.1666666666666667,0.1666666666666667,0.6944444444444445,2.7222222222222223,2.7222222222222223,2.7222222222222223
#le-charlatan,0.01111111111111112,0.013888888888888902,0.3333333333333334,1.388888888888889,2.6666666666666674,0.2222222222222222,5.444444444444445,5.444444444444445,0.1666666666666667,0.1666666666666667,0.6944444444444445,2.7222222222222223,2.7222222222222223,2.7222222222222223
#maitre-bejart,1.0666666666666667,0.3333333333333334,0.5,0.0833333333333333,0.0,0.3333333333333333,0.1666666666666667,0.1666666666666667,4.0,4.0,2.6666666666666674,1.3333333333333337,1.3333333333333337,1.3333333333333337
#maitre-bejart,1.0666666666666667,0.3333333333333334,0.5,0.0833333333333333,0.0,0.3333333333333333,0.1666666666666667,0.1666666666666667,4.0,4.0,2.6666666666666674,1.3333333333333337,1.3333333333333337,1.3333333333333337
#tous,0.711111111111111,1.388888888888889,0.0833333333333333,0.013888888888888902,0.1666666666666667,0.2222222222222222,0.6944444444444445,0.6944444444444445,2.6666666666666674,2.6666666666666674,5.444444444444445,2.7222222222222223,2.7222222222222223,2.7222222222222223
#le-docteur-sans-pareil,0.3555555555555555,0.6944444444444445,0.1666666666666667,0.6944444444444445,1.3333333333333337,0.1111111111111111,2.7222222222222223,2.7222222222222223,1.3333333333333337,1.3333333333333337,2.7222222222222223,7.111111111111111,7.111111111111111,7.111111111111111
#le-docteur-sans-pareil,0.3555555555555555,0.6944444444444445,0.1666666666666667,0.6944444444444445,1.3333333333333337,0.1111111111111111,2.7222222222222223,2.7222222222222223,1.3333333333333337,1.3333333333333337,2.7222222222222223,7.111111111111111,7.111111111111111,7.111111111111111
#le-docteur-sans-pareil,0.3555555555555555,0.6944444444444445,0.1666666666666667,0.6944444444444445,1.3333333333333337,0.1111111111111111,2.7222222222222223,2.7222222222222223,1.3333333333333337,1.3333333333333337,2.7222222222222223,7.111111111111111,7.111111111111111,7.111111111111111
Successions,#poquelin,#monsieur-astringent,#jean-baptiste,#françois,#madeleine,#françois #madeleine,#le-charlatan,#fritelin,#maitre-bejart,#toinette,#tous,#le-docteur-sans-pareil,#les-enfants,#maitre-bejard
#poquelin,0.0,0.5625,0.015625,0.015625,0.015625,0.0,0.0,0.09375,0.140625,0.15625,0.0,0.0,0.0,0.0
#monsieur-astringent,0.7727272727272727,0.0,0.045454545454545456,0.022727272727272728,0.0,0.0,0.0,0.0,0.06818181818181818,0.045454545454545456,0.022727272727272728,0.0,0.0,0.022727272727272728
#jean-baptiste,0.028985507246376812,0.043478260869565216,0.0,0.6086956521739131,0.21739130434782608,0.014492753623188406,0.028985507246376812,0.057971014492753624,0.0,0.0,0.0,0.0,0.0,0.0
#françois,0.0,0.0,0.7090909090909091,0.0,0.21818181818181817,0.0,0.0,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.0,0.01818181818181818,0.0,0.0
#madeleine,0.0,0.0,0.5862068965517241,0.3448275862068966,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
#françois #madeleine,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-charlatan,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0
#fritelin,0.23809523809523808,0.047619047619047616,0.3333333333333333,0.0,0.047619047619047616,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#maitre-bejart,0.8421052631578947,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0
#toinette,0.4,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.4,0.0,0.0,0.0,0.0,0.0
#tous,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-docteur-sans-pareil,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#les-enfants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#maitre-bejard,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
