VALEUR,#ormene,#cassandre,#hecube,#tiridate,#pharnabase,#phraarte,#orosmane,#polixene,#tigrane,#garde,#citoyen,#euphorbe,#troile
#euphorbe,0.27586206896551724,0.2413793103448276,0.10344827586206896,0.4827586206896552,0.20689655172413793,2.38423645320197,0.3793103448275862,0.3793103448275862,0.3793103448275862,0.06896551724137931,0.034482758620689655,27.034482758620694,0.034482758620689655
#troile,1.9008620689655176,0.2413793103448276,0.10344827586206896,0.5541871921182264,3.040229885057472,2.38423645320197,1.0156739811912228,1.0156739811912228,1.0156739811912228,0.06896551724137931,0.034482758620689655,0.034482758620689655,27.034482758620694
Successions,#ormene,#cassandre,#hecube,#tiridate,#pharnabase,#phraarte,#orosmane,#polixene,#tigrane,#garde,#citoyen,#euphorbe,#troile
#ormene,0.0,0.13636363636363635,0.1590909090909091,0.3181818181818182,0.022727272727272728,0.0,0.0,0.022727272727272728,0.3181818181818182,0.0,0.0,0.0,0.022727272727272728
#cassandre,0.4444444444444444,0.0,0.1111111111111111,0.1111111111111111,0.0,0.05555555555555555,0.16666666666666666,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
#hecube,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
#tiridate,0.15873015873015872,0.047619047619047616,0.0,0.015873015873015872,0.2857142857142857,0.06349206349206349,0.15873015873015872,0.14285714285714285,0.047619047619047616,0.015873015873015872,0.0,0.0,0.06349206349206349
#pharnabase,0.0,0.0,0.0,0.9473684210526315,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0
#phraarte,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.21428571428571427,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.0
#orosmane,0.09090909090909091,0.030303030303030304,0.0,0.21212121212121213,0.0,0.030303030303030304,0.0,0.24242424242424243,0.2727272727272727,0.0,0.09090909090909091,0.0,0.030303030303030304
#polixene,0.05405405405405406,0.02702702702702703,0.0,0.24324324324324326,0.0,0.02702702702702703,0.21621621621621623,0.0,0.43243243243243246,0.0,0.0,0.0,0.0
#tigrane,0.3333333333333333,0.06666666666666667,0.022222222222222223,0.044444444444444446,0.0,0.1111111111111111,0.1111111111111111,0.28888888888888886,0.0,0.0,0.0,0.0,0.022222222222222223
#garde,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#citoyen,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
#garde,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#troile,0.14285714285714285,0.0,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
