VALEUR,#josephine,#ariste,#d-harcourt,#epimenide,#gorgi,#madame-brochure,#rature,#fatras,#dharcourt,#crisante,#nicolas,#l-abbe,#cabriole,#damon,#un-tailleur,#le-tailleur,#le-procureur,#le-notaire
#dharcourt,1.0,1.0,0.5333333333333334,0.05294117647058825,1.633333333333333,0.8999999999999999,0.10000000000000002,0.10000000000000002,16.2,8.1,16.2,1.633333333333333,3.2000000000000006,0.10000000000000002,8.1,8.1,8.1,8.1
#crisante,0.5,0.5,0.2666666666666667,0.026470588235294124,0.15,0.20000000000000004,0.05000000000000001,0.05000000000000001,8.1,18.049999999999997,8.1,0.15,0.10000000000000002,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001
#dharcourt,1.0,1.0,0.5333333333333334,0.05294117647058825,1.633333333333333,0.8999999999999999,0.10000000000000002,0.10000000000000002,16.2,8.1,16.2,1.633333333333333,3.2000000000000006,0.10000000000000002,8.1,8.1,8.1,8.1
#l-abbe,1.5,1.5,0.8000000000000003,0.07941176470588242,0.6722222222222224,3.2666666666666657,0.15000000000000002,0.15000000000000002,1.6333333333333329,0.15000000000000002,1.6333333333333329,14.450000000000001,1.6333333333333329,4.8166666666666655,4.8166666666666655,4.8166666666666655,4.8166666666666655,4.8166666666666655
#cabriole,0.0,1.0,0.5333333333333334,0.05294117647058825,1.633333333333333,0.8999999999999999,0.10000000000000002,0.10000000000000002,3.2000000000000006,0.10000000000000002,3.2000000000000006,1.633333333333333,16.2,0.10000000000000002,8.1,8.1,8.1,8.1
#damon,0.5,0.5,0.2666666666666667,0.026470588235294124,0.15,3.2000000000000006,0.05000000000000001,0.05000000000000001,0.10000000000000002,0.05000000000000001,0.10000000000000002,4.816666666666666,0.10000000000000002,18.049999999999997,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001
#un-tailleur,0.5,0.5,0.2666666666666667,0.026470588235294124,4.816666666666666,3.2000000000000006,0.05000000000000001,0.05000000000000001,8.1,0.05000000000000001,8.1,4.816666666666666,8.1,0.05000000000000001,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997
#un-tailleur,0.5,0.5,0.2666666666666667,0.026470588235294124,4.816666666666666,3.2000000000000006,0.05000000000000001,0.05000000000000001,8.1,0.05000000000000001,8.1,4.816666666666666,8.1,0.05000000000000001,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997
#un-tailleur,0.5,0.5,0.2666666666666667,0.026470588235294124,4.816666666666666,3.2000000000000006,0.05000000000000001,0.05000000000000001,8.1,0.05000000000000001,8.1,4.816666666666666,8.1,0.05000000000000001,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997
#un-tailleur,0.5,0.5,0.2666666666666667,0.026470588235294124,4.816666666666666,3.2000000000000006,0.05000000000000001,0.05000000000000001,8.1,0.05000000000000001,8.1,4.816666666666666,8.1,0.05000000000000001,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997
Successions,#josephine,#ariste,#d-harcourt,#epimenide,#gorgi,#madame-brochure,#rature,#fatras,#dharcourt,#crisante,#nicolas,#l-abbe,#cabriole,#damon,#un-tailleur,#le-tailleur,#le-procureur,#le-notaire
#josephine,0.0,0.23809523809523808,0.3333333333333333,0.21428571428571427,0.0,0.047619047619047616,0.0,0.023809523809523808,0.023809523809523808,0.0,0.0,0.07142857142857142,0.0,0.047619047619047616,0.0,0.0,0.0,0.0
#ariste,0.2647058823529412,0.029411764705882353,0.058823529411764705,0.38235294117647056,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.08823529411764706,0.0,0.0,0.0,0.0
#d-harcourt,0.325,0.1,0.0,0.175,0.025,0.05,0.2,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.025
#epimenide,0.13114754098360656,0.21311475409836064,0.08196721311475409,0.01639344262295082,0.06557377049180328,0.08196721311475409,0.08196721311475409,0.03278688524590164,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.06557377049180328,0.09836065573770492,0.03278688524590164,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.0
#gorgi,0.1,0.0,0.1,0.3,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
#madame-brochure,0.1875,0.0,0.125,0.3125,0.1875,0.0625,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0
#rature,0.0,0.0,0.6153846153846154,0.3076923076923077,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#fatras,0.0,0.2,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dharcourt,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#crisante,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nicolas,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-abbe,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.2,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0
#cabriole,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
#damon,0.2,0.1,0.2,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
#un-tailleur,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-tailleur,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
