VALEUR,#parmenon,#phedrie,#thais,#gnaton,#pamphile,#cheree,#thrason,#damis,#pythie,#dorus,#dorie,#chremes,#syrisce,#sanga,#donax
#thrason,0.38844086021505375,0.5987292277614857,0.038231780167263966,7.694220430107527,0.7741935483870968,0.022401433691756237,20.16129032258065,0.7741935483870968,0.7741935483870968,0.1935483870967742,0.3870967741935484,0.022401433691756237,3.3602150537634405,3.3602150537634405,3.3602150537634405
#damis,1.8145161290322582,0.23753665689149553,0.022401433691756293,1.032258064516129,0.45362903225806456,1.9408602150537635,0.7741935483870968,23.516129032258064,0.5161290322580645,0.12903225806451613,0.25806451612903225,1.9408602150537635,0.12903225806451613,0.12903225806451613,0.12903225806451613
#pythie,2.064516129032258,0.23753665689149553,2.9112903225806446,1.032258064516129,0.5161290322580645,0.7741935483870968,0.7741935483870968,0.5161290322580645,23.516129032258064,5.879032258064516,2.1330645161290325,0.06586021505376345,0.12903225806451613,0.12903225806451613,0.12903225806451613
#dorus,0.5161290322580645,1.1730205278592374,1.734767025089606,0.25806451612903225,0.12903225806451613,0.1935483870967742,0.1935483870967742,0.12903225806451613,5.879032258064516,29.03225806451613,0.06451612903225806,0.1935483870967742,0.03225806451612903,0.03225806451612903,0.03225806451612903
#dorie,1.032258064516129,0.11876832844574776,0.3028673835125447,0.5161290322580645,0.25806451612903225,0.3870967741935484,0.3870967741935484,0.25806451612903225,2.1330645161290325,0.06451612903225806,27.12903225806452,0.9704301075268817,0.06451612903225806,0.06451612903225806,0.06451612903225806
#chremes,0.0030241935483870915,1.6441837732160316,0.316009557945042,0.19422043010752688,0.06586021505376345,6.939068100358425,0.022401433691756237,1.9408602150537635,0.06586021505376345,0.1935483870967742,0.9704301075268817,20.16129032258065,3.3602150537634405,3.3602150537634405,3.3602150537634405
#syrisce,0.5161290322580645,1.1730205278592374,0.2903225806451613,2.1330645161290325,0.12903225806451613,3.3602150537634405,3.3602150537634405,0.12903225806451613,0.12903225806451613,0.03225806451612903,0.06451612903225806,3.3602150537634405,29.03225806451613,29.03225806451613,29.03225806451613
#syrisce,0.5161290322580645,1.1730205278592374,0.2903225806451613,2.1330645161290325,0.12903225806451613,3.3602150537634405,3.3602150537634405,0.12903225806451613,0.12903225806451613,0.03225806451612903,0.06451612903225806,3.3602150537634405,29.03225806451613,29.03225806451613,29.03225806451613
#syrisce,0.5161290322580645,1.1730205278592374,0.2903225806451613,2.1330645161290325,0.12903225806451613,3.3602150537634405,3.3602150537634405,0.12903225806451613,0.12903225806451613,0.03225806451612903,0.06451612903225806,3.3602150537634405,29.03225806451613,29.03225806451613,29.03225806451613
Successions,#parmenon,#phedrie,#thais,#gnaton,#pamphile,#cheree,#thrason,#damis,#pythie,#dorus,#dorie,#chremes,#syrisce,#sanga,#donax
#parmenon,0.05194805194805195,0.2662337662337662,0.07142857142857142,0.18181818181818182,0.006493506493506494,0.3051948051948052,0.012987012987012988,0.09090909090909091,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0
#phedrie,0.5057471264367817,0.011494252873563218,0.22988505747126436,0.04597701149425287,0.0,0.022988505747126436,0.05747126436781609,0.0,0.05747126436781609,0.04597701149425287,0.0,0.022988505747126436,0.0,0.0,0.0
#thais,0.07692307692307693,0.35384615384615387,0.0,0.13846153846153847,0.015384615384615385,0.0,0.03076923076923077,0.03076923076923077,0.3076923076923077,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,0.0
#gnaton,0.35443037974683544,0.06329113924050633,0.0759493670886076,0.012658227848101266,0.0,0.0,0.4810126582278481,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0
#pamphile,0.03225806451612903,0.0,0.0,0.0,0.0,0.8709677419354839,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0
#cheree,0.5227272727272727,0.022727272727272728,0.011363636363636364,0.011363636363636364,0.3068181818181818,0.0,0.056818181818181816,0.045454545454545456,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0
#thrason,0.0625,0.0625,0.03125,0.546875,0.0,0.109375,0.046875,0.015625,0.0,0.0,0.0,0.03125,0.015625,0.0625,0.015625
#damis,0.47058823529411764,0.0,0.029411764705882353,0.029411764705882353,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.38235294117647056,0.0,0.0,0.0
#pythie,0.0,0.06818181818181818,0.5,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,0.0,0.0,0.0
#dorus,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dorie,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
#chremes,0.06382978723404255,0.0425531914893617,0.0425531914893617,0.0,0.02127659574468085,0.0425531914893617,0.06382978723404255,0.2765957446808511,0.3829787234042553,0.0,0.0425531914893617,0.02127659574468085,0.0,0.0,0.0
#syrisce,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#syrisce,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#syrisce,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
