VALEUR,#lisis,#clarimond,#adrian,#anselme,#charite,#lucide,#montenor,#angelique,#motenor,#hircan,#satyre,#sinope,#clorise
#sinope,0.7681818181818179,1.1818181818181817,0.2727272727272727,0.0,0.09696969696969691,0.8181818181818181,0.040404040404040435,0.05844155844155843,0.09090909090909091,0.5454545454545454,0.09090909090909091,27.272727272727277,27.272727272727277
Successions,#lisis,#clarimond,#adrian,#anselme,#charite,#lucide,#montenor,#angelique,#motenor,#hircan,#satyre,#sinope,#clorise
#lisis,0.02030456852791878,0.15736040609137056,0.05583756345177665,0.04060913705583756,0.26903553299492383,0.07614213197969544,0.06091370558375635,0.08629441624365482,0.0,0.04568527918781726,0.005076142131979695,0.13705583756345177,0.04568527918781726
#clarimond,0.32558139534883723,0.011627906976744186,0.06976744186046512,0.09302325581395349,0.27906976744186046,0.011627906976744186,0.011627906976744186,0.18604651162790697,0.011627906976744186,0.0,0.0,0.0,0.0
#adrian,0.55,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
#anselme,0.2631578947368421,0.15789473684210525,0.02631578947368421,0.02631578947368421,0.10526315789473684,0.05263157894736842,0.02631578947368421,0.18421052631578946,0.0,0.15789473684210525,0.0,0.0,0.0
#charite,0.48214285714285715,0.20535714285714285,0.0,0.03571428571428571,0.008928571428571428,0.08928571428571429,0.008928571428571428,0.14285714285714285,0.0,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.0
#lucide,0.4,0.0,0.0,0.025,0.3,0.0,0.175,0.1,0.0,0.0,0.0,0.0,0.0
#montenor,0.48148148148148145,0.0,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.25925925925925924,0.0,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.0
#angelique,0.21333333333333335,0.24,0.013333333333333334,0.12,0.17333333333333334,0.06666666666666667,0.04,0.013333333333333334,0.0,0.09333333333333334,0.02666666666666667,0.0,0.0
#motenor,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#hircan,0.44,0.0,0.0,0.2,0.04,0.0,0.04,0.24,0.0,0.04,0.0,0.0,0.0
#satyre,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0
#sinope,0.8064516129032258,0.0,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,0.06451612903225806
#clorise,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0
