VALEUR,#la-france,#la-victoire,#mars,#la-paix,#la-discorde,#l-envie,#l-hymenee,#choeur-de-musique,#medee,#chalciope,#aaete,#absyrte,#jason,#pelee,#iphite,#orphee,#iris,#junon,#pallas,#sirenes,#hypsipyle,#glauque,#voix,#amour,#zethes,#calais,#soleil,#jupiter
#l-hymenee,18.843137254901958,6.617647058823529,0.058823529411764705,18.843137254901958,15.058823529411764,15.058823529411764,30.11764705882353,15.058823529411764,0.7058823529411765,0.11764705882352941,0.5882352941176471,0.5294117647058824,0.8235294117647058,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.5294117647058824,0.058823529411764705,0.058823529411764705,0.6470588235294118,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705
#la-discorde,9.421568627450979,0.058823529411764705,0.029411764705882353,9.421568627450979,32.029411764705884,32.029411764705884,15.058823529411764,32.029411764705884,0.35294117647058826,0.058823529411764705,0.29411764705882354,0.2647058823529412,0.4117647058823529,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.2647058823529412,0.029411764705882353,0.029411764705882353,0.3235294117647059,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353
#medee,1.0588235294117647,0.7058823529411764,0.3529411764705882,1.0588235294117647,0.3529411764705882,0.3529411764705882,0.7058823529411764,0.3529411764705882,14.235294117647058,0.1225490196078432,0.07941176470588233,0.4357298474945535,0.22689075630252092,0.7058823529411764,0.3529411764705882,0.1225490196078432,0.3529411764705882,0.009803921568627479,0.3529411764705882,1.1862745098039218,0.20053475935828893,1.1862745098039218,0.3529411764705882,0.3529411764705882,2.3725490196078436,1.1862745098039218,0.3529411764705882,0.3529411764705882
#chalciope,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.1225490196078431,30.11764705882353,0.28823529411764703,0.41830065359477125,0.8235294117647058,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.5294117647058824,0.058823529411764705,0.058823529411764705,0.6470588235294118,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705
#aaete,0.8823529411764707,0.5882352941176471,0.29411764705882354,0.8823529411764707,0.29411764705882354,0.29411764705882354,0.5882352941176471,0.29411764705882354,0.07941176470588245,0.28823529411764703,16.941176470588232,0.047058823529411785,0.0033613445378151024,0.5882352941176471,0.29411764705882354,0.28823529411764703,0.29411764705882354,0.15816993464052284,0.29411764705882354,0.29411764705882354,0.18074866310160426,0.29411764705882354,0.29411764705882354,0.29411764705882354,3.3882352941176466,1.6941176470588233,1.6941176470588233,1.6941176470588233
#absyrte,0.7941176470588235,0.5294117647058824,0.2647058823529412,0.7941176470588235,0.2647058823529412,0.2647058823529412,0.5294117647058824,0.2647058823529412,0.4357298474945535,0.41830065359477125,0.047058823529411785,18.38235294117647,0.7852474323062556,0.5294117647058824,0.2647058823529412,0.5294117647058824,0.2647058823529412,0.16013071895424838,0.2647058823529412,2.0424836601307192,1.4976232917409382,2.0424836601307192,0.2647058823529412,0.2647058823529412,0.5294117647058824,0.2647058823529412,0.2647058823529412,0.2647058823529412
#jason,1.2352941176470589,0.8235294117647058,0.4117647058823529,1.2352941176470589,0.4117647058823529,0.4117647058823529,0.8235294117647058,0.4117647058823529,0.22689075630252092,0.8235294117647058,0.0033613445378151527,0.7852474323062559,11.764705882352938,1.6806722689075633,0.8403361344537816,0.037815126050420186,0.8403361344537816,1.4201680672268906,0.8403361344537816,0.8403361344537816,0.0618792971734148,0.8403361344537816,0.4117647058823529,0.8403361344537816,0.037815126050420186,0.4117647058823529,0.4117647058823529,0.4117647058823529
#pelee,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.7058823529411765,0.11764705882352941,0.5882352941176471,0.5294117647058824,1.6806722689075633,30.11764705882353,15.058823529411764,6.617647058823529,15.058823529411764,0.41830065359477125,15.058823529411764,0.058823529411764705,0.6470588235294118,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705
#iphite,0.08823529411764706,0.058823529411764705,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.35294117647058826,0.058823529411764705,0.29411764705882354,0.2647058823529412,0.8403361344537816,15.058823529411764,32.029411764705884,0.058823529411764705,0.029411764705882353,0.2647058823529412,0.029411764705882353,0.029411764705882353,0.3235294117647059,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353
#orphee,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.1225490196078431,0.11764705882352941,0.28823529411764703,0.5294117647058824,0.037815126050420186,6.617647058823529,0.058823529411764705,30.11764705882353,15.058823529411764,0.41830065359477125,15.058823529411764,0.058823529411764705,0.6470588235294118,0.058823529411764705,0.058823529411764705,0.058823529411764705,6.617647058823529,15.058823529411764,0.058823529411764705,0.058823529411764705
#iris,0.08823529411764706,0.058823529411764705,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.35294117647058826,0.058823529411764705,0.29411764705882354,0.2647058823529412,0.8403361344537816,15.058823529411764,0.029411764705882353,15.058823529411764,32.029411764705884,2.0424836601307192,32.029411764705884,0.029411764705882353,0.3235294117647059,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353
#junon,0.7941176470588235,0.5294117647058824,0.2647058823529412,0.7941176470588235,0.2647058823529412,0.2647058823529412,0.5294117647058824,0.2647058823529412,0.009803921568627479,0.5294117647058824,0.15816993464052284,0.16013071895424838,1.4201680672268913,0.41830065359477125,0.2647058823529412,0.41830065359477125,2.0424836601307192,18.38235294117647,2.0424836601307192,2.0424836601307192,0.28550207961972685,2.0424836601307192,0.2647058823529412,2.0424836601307192,0.5294117647058824,0.2647058823529412,2.0424836601307192,2.0424836601307192
#iris,0.08823529411764706,0.058823529411764705,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.35294117647058826,0.058823529411764705,0.29411764705882354,0.2647058823529412,0.8403361344537816,15.058823529411764,0.029411764705882353,15.058823529411764,32.029411764705884,2.0424836601307192,32.029411764705884,0.029411764705882353,0.3235294117647059,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353
#sirenes,0.08823529411764706,0.058823529411764705,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,1.1862745098039214,0.058823529411764705,0.29411764705882354,2.0424836601307192,0.8403361344537816,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.029411764705882353,2.0424836601307192,0.029411764705882353,32.029411764705884,1.414438502673797,32.029411764705884,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353
#hypsipyle,0.9705882352941178,0.6470588235294118,0.3235294117647059,0.9705882352941178,0.3235294117647059,0.3235294117647059,0.6470588235294118,0.3235294117647059,0.20053475935828893,0.6470588235294118,0.18074866310160426,1.497623291740939,0.0618792971734148,0.6470588235294118,0.3235294117647059,0.6470588235294118,0.3235294117647059,0.2855020796197266,0.3235294117647059,1.414438502673797,15.558823529411764,1.414438502673797,1.414438502673797,0.3235294117647059,0.19251336898395718,0.3235294117647059,1.414438502673797,1.414438502673797
#sirenes,0.08823529411764706,0.058823529411764705,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,1.1862745098039214,0.058823529411764705,0.29411764705882354,2.0424836601307192,0.8403361344537816,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.029411764705882353,2.0424836601307192,0.029411764705882353,32.029411764705884,1.414438502673797,32.029411764705884,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353
#voix,0.08823529411764706,0.058823529411764705,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.35294117647058826,0.058823529411764705,0.29411764705882354,0.2647058823529412,0.4117647058823529,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.2647058823529412,0.029411764705882353,0.029411764705882353,1.414438502673797,0.029411764705882353,32.029411764705884,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353
#amour,0.08823529411764706,0.058823529411764705,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.35294117647058826,0.058823529411764705,0.29411764705882354,0.2647058823529412,0.8403361344537816,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.029411764705882353,2.0424836601307192,0.029411764705882353,0.029411764705882353,0.3235294117647059,0.029411764705882353,0.029411764705882353,32.029411764705884,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353
#zethes,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,2.3725490196078427,0.11764705882352941,3.3882352941176466,0.5294117647058824,0.037815126050420186,0.11764705882352941,0.058823529411764705,6.617647058823529,0.058823529411764705,0.5294117647058824,0.058823529411764705,0.058823529411764705,0.19251336898395718,0.058823529411764705,0.058823529411764705,0.058823529411764705,30.11764705882353,15.058823529411764,0.058823529411764705,0.058823529411764705
#calais,0.08823529411764706,0.058823529411764705,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,1.1862745098039214,0.058823529411764705,1.6941176470588233,0.2647058823529412,0.4117647058823529,0.058823529411764705,0.029411764705882353,15.058823529411764,0.029411764705882353,0.2647058823529412,0.029411764705882353,0.029411764705882353,0.3235294117647059,0.029411764705882353,0.029411764705882353,0.029411764705882353,15.058823529411764,32.029411764705884,0.029411764705882353,0.029411764705882353
#soleil,0.08823529411764706,0.058823529411764705,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.35294117647058826,0.058823529411764705,1.6941176470588233,0.2647058823529412,0.4117647058823529,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.029411764705882353,2.0424836601307192,0.029411764705882353,0.029411764705882353,1.414438502673797,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,32.029411764705884,32.029411764705884
#soleil,0.08823529411764706,0.058823529411764705,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.35294117647058826,0.058823529411764705,1.6941176470588233,0.2647058823529412,0.4117647058823529,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.029411764705882353,2.0424836601307192,0.029411764705882353,0.029411764705882353,1.414438502673797,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,32.029411764705884,32.029411764705884
Successions,#la-france,#la-victoire,#mars,#la-paix,#la-discorde,#l-envie,#l-hymenee,#choeur-de-musique,#medee,#chalciope,#aaete,#absyrte,#jason,#pelee,#iphite,#orphee,#iris,#junon,#pallas,#sirenes,#hypsipyle,#glauque,#voix,#amour,#zethes,#calais,#soleil,#jupiter
#la-france,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-victoire,0.6,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mars,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-paix,0.2,0.2,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-discorde,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-envie,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-hymenee,0.3333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur-de-musique,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#medee,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.03389830508474576,0.05084745762711865,0.05084745762711865,0.06779661016949153,0.2033898305084746,0.0,0.0,0.01694915254237288,0.0,0.15254237288135594,0.0,0.0,0.3728813559322034,0.0,0.0,0.0,0.01694915254237288,0.01694915254237288,0.0,0.0
#chalciope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#aaete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06666666666666667,0.1,0.26666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#absyrte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.19230769230769232,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.038461538461538464,0.46153846153846156,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0
#jason,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32558139534883723,0.0,0.23255813953488372,0.023255813953488372,0.0,0.023255813953488372,0.0,0.0,0.0,0.16279069767441862,0.023255813953488372,0.0,0.20930232558139536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pelee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pelee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#orphee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#iris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#junon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391304347826087,0.0,0.043478260869565216,0.0,0.391304347826087,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0
#pallas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pallas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#hypsipyle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.1,0.26,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.02,0.0
#glauque,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#glauque,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pallas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#zethes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#calais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#soleil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
#pallas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
