VALEUR,#lariffardiere,#alain,#dramantour,#lahausse,#malingre,#dandinville,#malingre #dandinville,#tous,#adele,#choeur,#tantmieux,#geronte
#tantmieux,0.04010025062656633,0.631578947368421,0.2819548872180453,0.4298245614035089,1.2894736842105268,1.1695906432748542,0.3157894736842105,0.21491228070175444,0.11228070175438594,1.4824561403508774,8.894736842105264,1.4486215538847123
#geronte,0.25993555316863587,0.7368421052631579,0.7830290010741139,0.1522556390977443,0.07581453634085225,0.010025062656641583,0.3684210526315789,0.09398496240601507,0.7278195488721805,0.3684210526315789,1.4486215538847123,7.57894736842105
Successions,#lariffardiere,#alain,#dramantour,#lahausse,#malingre,#dandinville,#malingre #dandinville,#tous,#adele,#choeur,#tantmieux,#geronte
#lariffardiere,0.01818181818181818,0.00909090909090909,0.01818181818181818,0.22727272727272727,0.2545454545454545,0.02727272727272727,0.0,0.00909090909090909,0.14545454545454545,0.0,0.01818181818181818,0.2727272727272727
#alain,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dramantour,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.15384615384615385,0.11538461538461539,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.2692307692307692
#lahausse,0.6756756756756757,0.0,0.16216216216216217,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.0,0.0,0.02702702702702703,0.0,0.05405405405405406,0.0
#malingre,0.4,0.016666666666666666,0.08333333333333333,0.016666666666666666,0.0,0.016666666666666666,0.0,0.016666666666666666,0.03333333333333333,0.016666666666666666,0.23333333333333334,0.16666666666666666
#dandinville,0.1111111111111111,0.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
#malingre #dandinville,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
#adele,0.75,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.05
#choeur,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tantmieux,0.16666666666666666,0.0,0.03333333333333333,0.06666666666666667,0.36666666666666664,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.3333333333333333
#geronte,0.4915254237288136,0.0,0.1016949152542373,0.01694915254237288,0.1864406779661017,0.0,0.0,0.0,0.01694915254237288,0.0,0.1864406779661017,0.0
