VALEUR,#camille,#valerie,#le-page,#diocletian,#maximin,#genest,#decorateur,#marcele,#voix-du-ciel,#plancien,#adrian,#flavie,#geolier,#natalie,#garde,#anthyme,#lentule,#soldat,#sergeste,#octave,#albin
#garde,0.3684210526315789,0.631578947368421,0.10526315789473684,0.631578947368421,0.5263157894736842,0.145748987854251,0.10526315789473684,0.42631578947368426,0.05263157894736842,2.0631578947368427,0.5847953216374271,1.0827067669172932,0.21052631578947367,0.21052631578947367,34.10526315789474,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.05263157894736842,2.960526315789474,0.05263157894736842
#anthyme,0.18421052631578946,1.4824561403508774,0.05263157894736842,1.4824561403508774,0.2631578947368421,0.34210526315789475,0.05263157894736842,2.0631578947368427,0.02631578947368421,0.13157894736842105,2.4590643274853803,0.18421052631578946,0.10526315789473684,0.10526315789473684,0.05263157894736842,36.02631578947369,10.74561403508772,0.02631578947368421,0.02631578947368421,0.10526315789473684,0.02631578947368421
#lentule,0.36215538847117806,1.1695906432748542,0.15789473684210525,1.1695906432748542,0.05614035087719297,0.0006747638326585737,0.15789473684210525,6.189473684210524,0.07894736842105263,6.528070175438595,0.1179337231968811,0.5526315789473684,0.3157894736842105,0.3157894736842105,0.15789473684210525,10.74561403508772,32.23684210526316,0.07894736842105263,10.74561403508772,1.4824561403508774,10.74561403508772
#soldat,3.6127819548872178,0.3157894736842105,0.05263157894736842,0.3157894736842105,0.2631578947368421,0.34210526315789475,0.05263157894736842,2.0631578947368427,0.02631578947368421,0.13157894736842105,0.23684210526315788,3.6127819548872178,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.02631578947368421,0.07894736842105263,36.02631578947369,0.02631578947368421,0.10526315789473684,0.02631578947368421
#sergeste,3.6127819548872178,1.4824561403508774,0.05263157894736842,1.4824561403508774,2.0631578947368427,1.265182186234818,0.05263157894736842,2.0631578947368427,0.02631578947368421,5.731578947368422,0.23684210526315788,0.18421052631578946,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.02631578947368421,10.74561403508772,0.02631578947368421,36.02631578947369,0.10526315789473684,0.02631578947368421
#octave,0.7368421052631579,0.4298245614035089,0.21052631578947367,0.4298245614035089,0.0026315789473684154,0.09919028340080974,0.21052631578947367,8.252631578947371,0.10526315789473684,11.626315789473686,0.9473684210526315,0.09398496240601507,0.42105263157894735,0.42105263157894735,2.960526315789474,0.10526315789473684,1.4824561403508774,0.10526315789473684,0.10526315789473684,30.42105263157895,7.605263157894737
#albin,0.18421052631578946,0.3157894736842105,0.05263157894736842,0.3157894736842105,0.2631578947368421,0.34210526315789475,0.05263157894736842,2.0631578947368427,0.02631578947368421,5.731578947368422,0.23684210526315788,0.18421052631578946,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.02631578947368421,10.74561403508772,0.02631578947368421,0.02631578947368421,7.605263157894737,36.02631578947369
Successions,#camille,#valerie,#le-page,#diocletian,#maximin,#genest,#decorateur,#marcele,#voix-du-ciel,#plancien,#adrian,#flavie,#geolier,#natalie,#garde,#anthyme,#lentule,#soldat,#sergeste,#octave,#albin
#camille,0.0,0.375,0.125,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#valerie,0.1875,0.0,0.125,0.3125,0.1875,0.125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-page,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#diocletian,0.0,0.17391304347826086,0.043478260869565216,0.0,0.08695652173913043,0.43478260869565216,0.0,0.043478260869565216,0.0,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0
#maximin,0.047619047619047616,0.23809523809523808,0.0,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.0,0.0,0.0,0.047619047619047616,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#genest,0.07894736842105263,0.0,0.0,0.18421052631578946,0.07894736842105263,0.05263157894736842,0.05263157894736842,0.34210526315789475,0.02631578947368421,0.07894736842105263,0.0,0.0,0.02631578947368421,0.02631578947368421,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0
#decorateur,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#marcele,0.0,0.0,0.0,0.08695652173913043,0.0,0.5217391304347826,0.0,0.0,0.0,0.13043478260869565,0.043478260869565216,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.08695652173913043,0.0
#decorateur,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#plancien,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,0.21428571428571427,0.07142857142857142
#adrian,0.0,0.0,0.0,0.02127659574468085,0.1702127659574468,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.46808510638297873,0.0,0.23404255319148937,0.02127659574468085,0.0425531914893617,0.0,0.0,0.0,0.0,0.0
#flavie,0.0,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.0,0.7419354838709677,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0
#geolier,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#natalie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.25,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#garde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#anthyme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lentule,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0
#soldat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sergeste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#octave,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.4444444444444444,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0
#albin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
