VALEUR,#lincoln,#macdal,#washington,#l-aide-de-camp,#johnson,#laurens,#soldats,#lismor,#madame-nelson,#madame-laurens,#le-secretaire,#l-orateur,#le-peuple,#les-senateurs,#le-depute,#l-ambassadeur
#lismor,3.259259259259259,0.8888888888888888,1.8368055555555554,0.2962962962962963,0.5601851851851853,0.0868055555555555,0.2962962962962963,13.370370370370372,0.8402777777777779,0.28009259259259267,0.028935185185185164,0.28009259259259267,1.6712962962962965,1.6712962962962965,0.2962962962962963,0.2962962962962963
#madame-nelson,2.444444444444444,0.6666666666666666,2.6666666666666665,0.2222222222222222,0.013888888888888902,1.0416666666666665,0.2222222222222222,0.8402777777777779,16.33333333333334,5.444444444444445,0.013888888888888902,0.6944444444444445,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
#madame-laurens,0.8148148148148148,0.2222222222222222,0.8888888888888888,0.07407407407407407,0.2962962962962963,0.8888888888888888,0.07407407407407407,0.28009259259259267,5.444444444444445,23.148148148148152,0.2962962962962963,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
#le-secretaire,0.2432659932659932,0.4444444444444444,1.7777777777777777,0.14814814814814814,0.5925925925925926,0.8402777777777779,0.14814814814814814,0.028935185185185164,0.013888888888888902,0.2962962962962963,19.59259259259259,9.796296296296296,0.14814814814814814,0.14814814814814814,4.898148148148148,0.14814814814814814
#l-orateur,0.8148148148148148,0.2222222222222222,0.8888888888888888,0.07407407407407407,0.2962962962962963,1.388888888888889,0.07407407407407407,0.28009259259259267,0.6944444444444445,0.14814814814814814,9.796296296296296,23.148148148148152,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
#le-peuple,0.4074074074074074,0.1111111111111111,0.4444444444444444,0.037037037037037035,4.898148148148148,0.6944444444444445,0.037037037037037035,1.6712962962962965,0.2222222222222222,0.07407407407407407,0.14814814814814814,0.07407407407407407,25.03703703703704,25.03703703703704,0.037037037037037035,0.037037037037037035
#le-peuple,0.4074074074074074,0.1111111111111111,0.4444444444444444,0.037037037037037035,4.898148148148148,0.6944444444444445,0.037037037037037035,1.6712962962962965,0.2222222222222222,0.07407407407407407,0.14814814814814814,0.07407407407407407,25.03703703703704,25.03703703703704,0.037037037037037035,0.037037037037037035
#le-depute,0.8619528619528619,0.1111111111111111,0.4444444444444444,0.037037037037037035,0.14814814814814814,0.4444444444444444,0.037037037037037035,0.2962962962962963,0.2222222222222222,0.07407407407407407,4.898148148148148,0.07407407407407407,0.037037037037037035,0.037037037037037035,25.03703703703704,0.037037037037037035
#l-ambassadeur,0.4074074074074074,0.1111111111111111,0.6944444444444445,0.037037037037037035,0.14814814814814814,0.6944444444444445,0.037037037037037035,0.2962962962962963,0.2222222222222222,0.07407407407407407,0.14814814814814814,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,25.03703703703704
Successions,#lincoln,#macdal,#washington,#l-aide-de-camp,#johnson,#laurens,#soldats,#lismor,#madame-nelson,#madame-laurens,#le-secretaire,#l-orateur,#le-peuple,#les-senateurs,#le-depute,#l-ambassadeur
#lincoln,0.0,0.28,0.24,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.12,0.0
#macdal,0.7777777777777778,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#washington,0.28,0.08,0.08,0.04,0.16,0.2,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
#l-aide-de-camp,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#johnson,0.0,0.0,0.29411764705882354,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.47058823529411764,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0
#laurens,0.18518518518518517,0.0,0.18518518518518517,0.0,0.037037037037037035,0.07407407407407407,0.0,0.14814814814814814,0.037037037037037035,0.0,0.18518518518518517,0.07407407407407407,0.0,0.037037037037037035,0.0,0.037037037037037035
#soldats,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lismor,0.0,0.0,0.125,0.0,0.08333333333333333,0.041666666666666664,0.0,0.0,0.625,0.08333333333333333,0.0,0.041666666666666664,0.0,0.0,0.0,0.0
#madame-nelson,0.03125,0.0,0.03125,0.0,0.25,0.0,0.0,0.4375,0.03125,0.21875,0.0,0.0,0.0,0.0,0.0,0.0
#madame-laurens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-secretaire,0.125,0.0,0.0,0.0,0.125,0.625,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
#l-orateur,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
#le-peuple,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-peuple,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#soldats,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-ambassadeur,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
